	Division of Regulations Legislation and Interpretation US Department of Labor Wage and Hour Division 200 Constitution Avenue NW Room S– 81197 Federal Register 	Costs with Overtime Work in US	Does the Statutory Overtime Premium Discourage Long Workweeks’’ Industrial and Labor Relations Review 563 530– 81221	Census Bureau Center for Economic Studies Business Dynamics Statistics Firm Age by Firm Size Available at httpwwwcescensusgov indexphpbdsbdsdatabaselist Accessed	National Population Projections Table 2 Projections of the Population by Selected Age Groups and Sex for the United States	Occupational Outlook Handbook 2010–11 Edition Home Health Aides and Personal and Home Care Aides on the Internet at httpwwwbls	81244 Federal Register 	The authority citation for part 552 continues to read as follows Authority 29 USC 213a15 b21 88 stat 62 Sec 29b of the Fair Labor Standards Act Amendments of
New Options and Risks in Home Care for Elderly	0.8260869565217391	0.782608695652174	0.8278688524590164	0.8385093167701864	0.7786885245901639	0.7578125	0.8478260869565217	0.8343949044585988
ReThinking Fiscal Multipliers	0.8944099378881988	0.9	0.8688524590163934	0.8881987577639752	0.8688524590163934	0.8828125	0.7586206896551724	0.8980891719745223
Labor Demand	0.9316770186335404	0.8666666666666667	0.9262295081967213	0.937888198757764	0.9344262295081968	0.9375	0.8695652173913043	0.9426751592356688
2008 National Population Projections	0.8571428571428571	0.8333333333333334	0.8442622950819673	0.8944099378881988	0.7868852459016393	0.8203125	0.8611111111111112	0.8662420382165605
BLS Occupational Employment Statistics	0.8633540372670807	0.868421052631579	0.8524590163934426	0.8571428571428571	0.819672131147541	0.8203125	0.8157894736842105	0.8662420382165605
Business Dynamics Statistics Firm Age by Firm Size	0.8198757763975155	0.76	0.8524590163934426	0.6894409937888198	0.8032786885245902	0.8359375	0.84	0.8471337579617835
National Employment MatrixSearch by Occupation	0.84472049689441	0.8478260869565217	0.8524590163934426	0.8509316770186336	0.7540983606557377	0.8125	0.8695652173913043	0.8407643312101911
Standard Occupational Classification	0.8633540372670807	0.8611111111111112	0.8360655737704918	0.8757763975155279	0.8524590163934426	0.859375	0.8333333333333334	0.8726114649681529
US Census Bureau Health Care and Social Assistance Estimated YeartoYear Change in Revenue for Employer Firms by Source	0.7701863354037267	0.8305084745762712	0.8688524590163934	0.7204968944099379	0.8360655737704918	0.8203125	0.8898305084745762	0.802547770700637
2011 Statistical Abstract	0.906832298136646	0.8666666666666667	0.8770491803278688	0.8881987577639752	0.8852459016393442	0.8515625	0.84	0.8853503184713376
Characteristics of Supplemental Nutrition Assistance Program Households Fiscal Year 2009	0.7701863354037267	0.8068181818181818	0.819672131147541	0.7950310559006211	0.7950819672131147	0.78125	0.8522727272727273	0.7770700636942676
Overtime and extended work shifts Recent findings on illnesses injuries and health behaviors	0.7701863354037267	0.8369565217391305	0.7786885245901639	0.8012422360248447	0.7459016393442623	0.75	0.8478260869565217	0.802547770700637
The Changing Demographic Profile of the United States	0.8260869565217391	0.8113207547169812	0.8114754098360656	0.8136645962732919	0.7131147540983607	0.78125	0.8113207547169812	0.7961783439490446
The Medicare Payment Advisory Commission MedPAC	0.8198757763975155	0.7872340425531915	0.8278688524590164	0.8509316770186336	0.8360655737704918	0.8359375	0.851063829787234	0.8343949044585988
2011 Annual Report of the Boards of Trustees of the Federal Hospital Insurance and Federal Supplementary Medical Insurance Trust Funds	0.8136645962732919	0.8656716417910447	0.8059701492537313	0.7950310559006211	0.7835820895522388	0.7761194029850746	0.8805970149253731	0.802547770700637
Background Report on the US Home Care and Personal Assistance Workforce and Industry Forthcoming	0.7515527950310559	0.8229166666666666	0.7950819672131147	0.7888198757763976	0.7622950819672131	0.6953125	0.8541666666666666	0.7770700636942676
Californias DirectCare Workforce	0.8819875776397516	0.6875	0.860655737704918	0.8757763975155279	0.8442622950819673	0.8671875	0.875	0.8598726114649682
Fair Pay for Home Care Workers	0.8695652173913043	0.8333333333333334	0.8524590163934426	0.8881987577639752	0.8442622950819673	0.828125	0.8333333333333334	0.8726114649681529
Family caregiving in the US Findings from a national study	0.7950310559006211	0.7931034482758621	0.8032786885245902	0.8322981366459627	0.7622950819672131	0.78125	0.8620689655172413	0.8152866242038217
Home Health Study Report Literature Review	0.84472049689441	0.7380952380952381	0.7950819672131147	0.8571428571428571	0.8278688524590164	0.8046875	0.8095238095238095	0.8535031847133758
Meals on Wheels of Contra Costa County	0.8509316770186336	0.8157894736842105	0.8442622950819673	0.8757763975155279	0.8032786885245902	0.828125	0.868421052631579	0.8471337579617835
Medicare and Home Health Care	0.8819875776397516	0.9	0.860655737704918	0.8881987577639752	0.8524590163934426	0.8203125	0.8275862068965517	0.8726114649681529
The PHI Matching Services Project	0.9006211180124224	0.8181818181818182	0.860655737704918	0.8819875776397516	0.8524590163934426	0.875	0.8181818181818182	0.8789808917197452
Who Pays for Home Care Services	0.8757763975155279	0.8064516129032258	0.860655737704918	0.8633540372670807	0.8442622950819673	0.84375	0.8387096774193549	0.8662420382165605
15 Million Oregon Private Pay Homecare Registry for Sale	0.8074534161490683	0.7678571428571429	0.7950819672131147	0.84472049689441	0.7213114754098361	0.765625	0.7678571428571429	0.8280254777070064
2009 BLS Occupational Employment Survey employment and Wages for SOC codes 399021 and 311011	0.7639751552795031	0.8478260869565217	0.7868852459016393	0.8136645962732919	0.7540983606557377	0.765625	0.9021739130434783	0.8089171974522293
BLS National Compensation Survey	0.8695652173913043	0.90625	0.8524590163934426	0.8881987577639752	0.819672131147541	0.84375	0.84375	0.8789808917197452
Brief of Amici Curiae City of New York	0.8633540372670807	0.8157894736842105	0.8524590163934426	0.8571428571428571	0.8360655737704918	0.859375	0.8421052631578947	0.8535031847133758
Consumer Direction and Family Caregiving Results from a National Survey	0.7701863354037267	0.7746478873239436	0.7786885245901639	0.782608695652174	0.7377049180327869	0.7890625	0.8169014084507042	0.8152866242038217
Experienced Home Care Registry About Us	0.8633540372670807	0.7948717948717948	0.8360655737704918	0.8571428571428571	0.819672131147541	0.8125	0.6923076923076923	0.8662420382165605
FY 2011 Budget	0.9440993788819876	0.9	0.9508196721311475	0.9565217391304348	0.9344262295081968	0.9296875	0.8695652173913043	0.9490445859872612
Golden Care Co Inc Billing Policy	0.8695652173913043	0.8787878787878788	0.860655737704918	0.8757763975155279	0.8524590163934426	0.875	0.8484848484848485	0.89171974522293
Home care aides voices from the field Job experiences of personal support specialists	0.782608695652174	0.8235294117647058	0.7868852459016393	0.7639751552795031	0.7377049180327869	0.765625	0.8588235294117647	0.7707006369426752
Home Care Services for Seniors in Tolland and Hartford Counties in Connecticut	0.782608695652174	0.8205128205128205	0.7377049180327869	0.8012422360248447	0.7540983606557377	0.7578125	0.8717948717948718	0.7961783439490446
Interview of Michael Elsas President and Adria Powell Executive Vice President of Cooperative Health Care Associates by Calvin Franz and Lauren Jankovic of ERG	0.8198757763975155	0.8805031446540881	0.8113207547169812	0.8509316770186336	0.7610062893081762	0.7672955974842768	0.9056603773584906	0.8490566037735849
Minimum Wage	0.937888198757764	0.8666666666666667	0.9344262295081968	0.9440993788819876	0.9426229508196722	0.9375	0.8695652173913043	0.9554140127388535
The Personal Assistance Services and DirectSupport Workforce A Literature Review	0.7888198757763976	0.7875	0.7704918032786885	0.7888198757763976	0.7622950819672131	0.7578125	0.8625	0.7961783439490446
The State of the States in Family Caregiver Support A 50State Study	0.8136645962732919	0.7910447761194029	0.7786885245901639	0.7950310559006211	0.7704918032786885	0.7734375	0.835820895522388	0.7770700636942676
Understanding Medicaid Home and Community Services A Primer	0.8074534161490683	0.7966101694915254	0.8032786885245902	0.8322981366459627	0.8032786885245902	0.7734375	0.8305084745762712	0.8280254777070064
A Data Book Healthcare Spending and the Medicare Program	0.8260869565217391	0.8035714285714286	0.8032786885245902	0.8322981366459627	0.7950819672131147	0.7578125	0.8214285714285714	0.8407643312101911
Occupational Outlook Handbook 201011 Edition	0.8385093167701864	0.8409090909090909	0.860655737704918	0.9006211180124224	0.8278688524590164	0.65625	0.9090909090909091	0.8535031847133758
Federal Register 2011 p 5481	0.8944099378881988	0.9	0.8770491803278688	0.9130434782608695	0.8934426229508197	0.8828125	0.6071428571428571	0.9044585987261147
Requirements for MedicaidFunded Personal Care Service Attendants	0.8074534161490683	0.828125	0.7950819672131147	0.7577639751552795	0.7704918032786885	0.71875	0.796875	0.7961783439490446
Job Perceptions and Intent to Leave Among Direct Care Workers Evidence From the Better Jobs Better Care Demonstrations	0.7329192546583851	0.8305084745762712	0.8114754098360656	0.7888198757763976	0.7786885245901639	0.796875	0.8898305084745762	0.732484076433121
The Effects of Overtime Pay Regulation on Worker Compensation	0.7950310559006211	0.7213114754098361	0.7295081967213115	0.8385093167701864	0.7704918032786885	0.8046875	0.8032786885245902	0.8089171974522293
Organizing home care Lowwaged workers in the welfare state	0.7888198757763976	0.7758620689655172	0.7868852459016393	0.8260869565217391	0.7704918032786885	0.765625	0.8103448275862069	0.821656050955414
The impact of overtime and long work hours on occupational injuries and illnesses new evidence from the United States	0.7453416149068323	0.8376068376068376	0.7622950819672131	0.7888198757763976	0.6557377049180327	0.75	0.8888888888888888	0.7452229299363057
The association between continuity of care and outcomes a systematic and critical review	0.7204968944099379	0.8295454545454546	0.7295081967213115	0.7950310559006211	0.7295081967213115	0.7578125	0.8636363636363636	0.7070063694267515
Effects of extended work shifts and shift work on patient safety productivity and employee health	0.7577639751552795	0.8350515463917526	0.8032786885245902	0.782608695652174	0.7622950819672131	0.8046875	0.8762886597938144	0.7961783439490446
Quits and job changes among home care workers in Maine The role of wages hours and benefits	0.7701863354037267	0.8351648351648352	0.7868852459016393	0.7515527950310559	0.7213114754098361	0.71875	0.8791208791208791	0.7515923566878981
Does the Statutory Overtime Premium Discourage Long Workweeks	0.7950310559006211	0.6721311475409836	0.5	0.8260869565217391	0.7704918032786885	0.8125	0.8524590163934426	0.8089171974522293
The Structure of Labor Costs with Overtime Work in US Jobs	0.8074534161490683	0.4827586206896552	0.7868852459016393	0.8260869565217391	0.7704918032786885	0.796875	0.8620689655172413	0.7961783439490446
The labor market for home care workers Demand supply and institutional barriers	0.7577639751552795	0.8354430379746836	0.7377049180327869	0.782608695652174	0.7704918032786885	0.7421875	0.8481012658227848	0.7579617834394905
Psychosocial factors contributing to occupational injuries among direct care workers	0.782608695652174	0.8095238095238095	0.7950819672131147	0.7888198757763976	0.7295081967213115	0.765625	0.8690476190476191	0.7770700636942676
