	State of the Vending Industry Report” httpwwwvendingmarketwatchcomcontentreports accessed	National Automatic Merchandising Association “Comments of The National Automatic Merchandising Association” Docket No	Business Administration “Table of Small Business Size Standards Matched to North American Industry Classification System Codes” Effective	Operators Find Todayaposs Patrons Favor aposBetterForYouapos Food Selections In	Is the Obesity Epidemic a Public Health Problem A Decade	Strategies for Promoting Healthier Food Choices” American Economic Review Papers and Proceedings	Doing it Now or	Will all Americans Become Overweight or Obese Estimating the Progression and	Prevalence of Overweight Obesity and Extreme Obesity Among Adults United States	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US” Obesity	Social Network and Weight Misperception Among Adolescents” Southern Economic Journal Forthcoming	Size Matters The Influence of Adolescent’s Weight and	Body Weight SelfPerception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity Payer	The Growth of Obesity and Technological Change A Theoretical and Empirical Examination”	The LongRun Growth in Obesity as a Function of Technological Change”	An Economic Analysis of Adult Obesity Results from the Behavioral Risk Factor Surveillance System”	A Pricing Strategy to Promote LowFat Snack Choices through Vending Machines”	Department of Agriculture Economic Research Service “Table 15 Sales of meals and snacks away from home by type of outlet” Food CPI and Expenditures Food Expenditure Tables httpwwwersusdagovBriefingCPIFoodAndExpendituresData Accessed 1082010	Testing Laboratory “Quality Nutrition Analysis” httpwwwrlfoodtestinglaboratorycomservicesasp accessed	Evaluation of Recordkeeping Costs for Food Manufacturers Final Report” Prepared for Andy Estrin and Cristina McLaughlin of FDAaposs Center for Food Safety and Applied Nutrition Prepared by Aylin Sertkaya Ayesha Berlind and Seda Erdem Contract No 223012461 Task Order Number 5	City’s Soda Cost Millions Monthly Tax on Soft Drinks	Taxing Food Implications for Public	Ounces of Prevention — The Public Policy Case for Taxes on Sugared Beverages” New England	The Effects of Soft Drink Taxes on Child and Adolescent Consumption and Weight Outcomes”	Schoolchildren’s Consumption of Competitive Foods and Beverages Excluding à la	Choose Beverages and Foods to Moderate your Intake of Sugars Measurement Requires Quantification	Measuring the Health of the US	ObesityRelated QualityAdusted Life Years Lost in the US from 19932008”	Trends in QualityAdjusted LifeYears Lost Contributed by Smoking and Obesity”	Statistical Abstract of the United States	Separating what We Eat from where	Calorie Labeling And Food Choices A First Look At The Effects On LowIncome People In New York City	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information”	Do Nutrition Labels Improve Dietary Outcomes	Mandatory Menu Labeling in One FastFood Chain in King County	Child and Adolescent FastFood Choice and the Influence of Calorie Labeling	Nutrition Menu Labeling May Lead to LowerCalorie Restaurant Meal Choices for Children Pediatrics	Modeling weightloss maintenance to help prevent body weight regain”	School Vending Machine Use and FastFood Restaurant Use Are Associated with Sugar Sweetened Beverage Intake in Youth”
Table 15 Sales of meals and snacks away from home by type of outlet	0.8131868131868132	0.8016528925619835	0.7588652482269503	0.8227848101265823	0.7761194029850746	0.7448979591836735	0.8955223880597015	0.8421052631578947	0.7721518987341772	0.7476635514018691	0.8163265306122449	0.8059701492537313	0.8208955223880597	0.7910447761194029	0.8059701492537313	0.7640449438202247	0.8571428571428571	0.74	0.782051282051282	0.7254098360655737	0.8	0.8411552346570397	0.7910447761194029	0.7761194029850746	0.7849462365591398	0.7333333333333333	0.8518518518518519	0.75	0.8059701492537313	0.8194444444444444	0.782051282051282	0.7611940298507462	0.7761194029850746	0.7755102040816326	0.7631578947368421	0.8059701492537313	0.7611940298507462	0.7702702702702703	0.7604166666666666	0.855072463768116	0.7542372881355932
Evaluation of Recordkeeping Costs for Food Manufacturers Final Report	0.7912087912087912	0.7768595041322314	0.8014184397163121	0.7848101265822784	0.8260869565217391	0.7755102040816326	0.8405797101449275	0.8421052631578947	0.810126582278481	0.7850467289719626	0.7346938775510204	0.8115942028985508	0.7681159420289855	0.8405797101449275	0.782608695652174	0.7752808988764045	0.8428571428571429	0.74	0.8333333333333334	0.8319672131147541	0.7904761904761904	0.7509025270758123	0.782608695652174	0.7681159420289855	0.7634408602150538	0.7777777777777778	0.7654320987654321	0.78125	0.8115942028985508	0.8888888888888888	0.8205128205128205	0.7681159420289855	0.7681159420289855	0.7857142857142857	0.7368421052631579	0.8115942028985508	0.6956521739130435	0.8243243243243243	0.7604166666666666	0.8695652173913043	0.788135593220339
Prevalence of Overweight Obesity and Extreme Obesity Among Adults United States Trends 1976�1980 Through 2007�2008	0.8157894736842105	0.8429752066115702	0.8368794326241135	0.8333333333333334	0.7807017543859649	0.7982456140350878	0.9122807017543859	0.7894736842105263	0.30701754385964913	0.7543859649122807	0.7280701754385965	0.7894736842105263	0.7982456140350878	0.8596491228070176	0.8070175438596491	0.7368421052631579	0.7631578947368421	0.8157894736842105	0.8070175438596491	0.7991803278688525	0.8771929824561403	0.8014440433212996	0.8421052631578947	0.8596491228070176	0.7894736842105263	0.7807017543859649	0.8070175438596491	0.7982456140350878	0.8508771929824561	0.7456140350877193	0.7894736842105263	0.7807017543859649	0.8333333333333334	0.8157894736842105	0.8596491228070176	0.8245614035087719	0.7807017543859649	0.7982456140350878	0.8508771929824561	0.7631578947368421	0.8305084745762712
Statistical Abstract of the United States 2011 	0.7802197802197802	0.768595041322314	0.8085106382978723	0.7848101265822784	0.8571428571428571	0.7755102040816326	0.8723404255319149	0.7763157894736842	0.759493670886076	0.7850467289719626	0.7959183673469388	0.8	0.78	0.7446808510638298	0.7924528301886793	0.8089887640449438	0.8142857142857143	0.76	0.782051282051282	0.860655737704918	0.819047619047619	0.8592057761732852	0.7777777777777778	0.8723404255319149	0.7956989247311828	0.8	0.7777777777777778	0.8125	0.723404255319149	0.75	0.7564102564102564	0.1276595744680851	0.7446808510638298	0.7959183673469388	0.7719298245614035	0.8723404255319149	0.7833333333333333	0.7702702702702703	0.8020833333333334	0.7681159420289855	0.7796610169491526
City�s Soda Cost Millions Monthly Tax on Soft Drinks in Manhattan and Bronx in February and March is 465445	0.794392523364486	0.7768595041322314	0.7659574468085106	0.7850467289719626	0.822429906542056	0.794392523364486	0.9065420560747663	0.794392523364486	0.822429906542056	0.8411214953271028	0.8037383177570093	0.8130841121495327	0.8037383177570093	0.8785046728971962	0.822429906542056	0.8037383177570093	0.8037383177570093	0.8504672897196262	0.7663551401869159	0.8155737704918032	0.8504672897196262	0.7725631768953068	0.5420560747663551	0.8504672897196262	0.794392523364486	0.7757009345794392	0.7757009345794392	0.794392523364486	0.8598130841121495	0.822429906542056	0.7850467289719626	0.8130841121495327	0.822429906542056	0.8317757009345794	0.8070175438596491	0.8037383177570093	0.7757009345794392	0.7757009345794392	0.7663551401869159	0.794392523364486	0.7966101694915254
2010 State of the Vending Industry Report	0.6593406593406593	0.8181818181818182	0.8014184397163121	0.8481012658227848	0.8571428571428571	0.8163265306122449	0.8048780487804879	0.8157894736842105	0.7721518987341772	0.8037383177570093	0.8163265306122449	0.7454545454545455	0.76	0.7317073170731707	0.8113207547169812	0.797752808988764	0.8285714285714286	0.82	0.7692307692307693	0.8852459016393442	0.8380952380952381	0.9025270758122743	0.8333333333333334	0.8536585365853658	0.8387096774193549	0.7888888888888889	0.8271604938271605	0.7916666666666666	0.7804878048780488	0.8194444444444444	0.8076923076923077	0.8536585365853658	0.8048780487804879	0.8163265306122449	0.8070175438596491	0.8181818181818182	0.8166666666666667	0.7702702702702703	0.8333333333333334	0.782608695652174	0.8220338983050848
Comments of The National Automatic Merchandising Association	0.8131868131868132	0.5041322314049587	0.7801418439716312	0.7721518987341772	0.8	0.7653061224489796	0.85	0.8026315789473685	0.759493670886076	0.7570093457943925	0.7755102040816326	0.8	0.8	0.8	0.85	0.7191011235955056	0.8285714285714286	0.76	0.782051282051282	0.8565573770491803	0.7904761904761904	0.8628158844765343	0.8166666666666667	0.8	0.7634408602150538	0.7777777777777778	0.7901234567901234	0.7291666666666666	0.8333333333333334	0.8472222222222222	0.7948717948717948	0.7833333333333333	0.7833333333333333	0.8061224489795918	0.7368421052631579	0.8333333333333334	0.8333333333333334	0.7837837837837838	0.7708333333333334	0.8115942028985508	0.788135593220339
Is the Obesity Epidemic a Public Health Problem A Decade of Research on the Economics of Obesity	0.7916666666666666	0.8099173553719008	0.7801418439716312	0.8125	0.4166666666666667	0.826530612244898	0.90625	0.7708333333333334	0.8125	0.7102803738317757	0.8163265306122449	0.7916666666666666	0.8020833333333334	0.8333333333333334	0.8125	0.7708333333333334	0.7604166666666666	0.79	0.78125	0.8073770491803278	0.7904761904761904	0.8194945848375451	0.8020833333333334	0.8333333333333334	0.7916666666666666	0.8333333333333334	0.84375	0.8333333333333334	0.8020833333333334	0.71875	0.7708333333333334	0.7604166666666666	0.8125	0.7755102040816326	0.8157894736842105	0.7708333333333334	0.8020833333333334	0.78125	0.84375	0.8125	0.788135593220339
Menucalc Plans	0.9230769230769231	0.9090909090909091	0.9290780141843972	0.8987341772151899	0.8392857142857143	0.8979591836734694	0.9333333333333333	0.8947368421052632	0.9113924050632911	0.9158878504672897	0.9081632653061225	0.8181818181818182	0.86	0.8333333333333334	0.8490566037735849	0.8876404494382022	0.8714285714285714	0.9	0.8974358974358975	0.9467213114754098	0.9142857142857143	0.9530685920577617	0.8703703703703703	0.8285714285714286	0.8924731182795699	0.9	0.9135802469135802	0.90625	0.8	0.9166666666666666	0.8974358974358975	0.8292682926829268	0.8787878787878788	0.9183673469387755	0.9298245614035088	0.8636363636363636	0.85	0.8648648648648649	0.8854166666666666	0.8695652173913043	0.923728813559322
Operators Find Todays Patrons Favor BetterForYou Food Selections In Vending	0.8241758241758241	0.7768595041322314	0.7801418439716312	0.25316455696202533	0.84	0.7142857142857143	0.8666666666666667	0.8421052631578947	0.8607594936708861	0.7476635514018691	0.7551020408163265	0.7866666666666666	0.8	0.8533333333333334	0.8	0.7865168539325843	0.8266666666666667	0.79	0.8205128205128205	0.8155737704918032	0.7904761904761904	0.8267148014440433	0.7733333333333333	0.7733333333333333	0.7526881720430108	0.8111111111111111	0.7777777777777778	0.75	0.8133333333333334	0.8533333333333334	0.8333333333333334	0.7733333333333333	0.7866666666666666	0.7755102040816326	0.7017543859649122	0.7866666666666666	0.72	0.8266666666666667	0.75	0.8133333333333334	0.7796610169491526
