	U.S. Organic Agriculture, 1992–2008, data set available at http:// www.ers.usda.gov/data/organicERS. 42 Ibid.	Department of Agriculture, Economic Research Service,	44 Organic Trade Association,	Consumer Aspects of the Organic Milk Market/LDP–M–155–01.	rangeland.41 The number of certified 53 Sundale Research,	Emerging Issues in the U.S. Organic Industry.	Acting Administrator, Agricultural Marketing Service.	2012–354 Filed 1–11–12; 8:45 am] AGENCY: Agricultural Marketing Service, USDA. ACTION: Proposed rule.	SUMMARY: This proposed rule would address recommendations submitted to the Secretary of Agriculture (Secretary) by the National Organic Standards Board (NOSB) on	These recommendations pertain to the 2012 Sunset Review of substances on the U.S. Department of Agriculture’s (USDA) National List of Allowed and Prohibited Substances (National List). Consistent with the NOSB • Federal eRulemaking Portal: http:// www.regulations.gov. Follow the instructions for submitting comments.	Agricultural Marketing Specialist, National Organic Program, USDA–AMS–NOP, 1400 Independence Ave. SW., Room 2646– So., Ag Stop 0268, Washington, DC 20250. Instructions: All submissions received must include the docket number AMS– NOP–09–0074; NOP–09–01, and/or Regulatory Information Number (RIN) 0581–AC96 for this rulemaking. without change to http:// www.regulations.gov.	Docket: For access to the docket to read background documents or comments received, go to http:// www.regulations.gov. Comments submitted in response to this proposed rule will also be available for viewing in person at USDA–AMS,	Background The Organic Foods Production Act of
Final Rule	0.7777777777777778	0.6666666666666667	0.75	0.7878787878787878	0.6923076923076923	0.7391304347826086	0.6818181818181819	0.8181818181818181	0.75	0.7857142857142857	0.8333333333333334	0.7575757575757576	0.7083333333333333
Federalism	0.8108108108108107	0.72	0.6842105263157895	0.7878787878787878	0.6923076923076923	0.6818181818181819	0.6190476190476191	0.7906976744186046	0.75	0.7857142857142857	0.8333333333333334	0.71875	0.7083333333333333
2104	0.8857142857142857	1.0	0.9473684210526316	0.9393939393939394	0.9259259259259259	1.0	1.0	0.9069767441860466	1.0	0.9302325581395349	0.9148936170212766	1.0	1.0
2108	0.8857142857142857	1.0	1.0	0.9393939393939394	0.9642857142857143	1.0	1.0	0.9069767441860466	1.0	0.9302325581395349	0.9148936170212766	1.0	1.0
2115b	0.9166666666666666	1.0	1.0	0.9393939393939394	0.8846153846153846	1.0	1.0	0.9318181818181819	0.9705882352941176	0.9302325581395349	0.9148936170212766	0.9714285714285714	1.0
2120f	0.9166666666666666	0.9615384615384616	1.0	0.90625	0.9259259259259259	1.0	1.0	0.9318181818181819	0.9705882352941176	0.9047619047619048	0.9148936170212766	0.9714285714285714	0.96
Egg Products Inspection Act	0.5555555555555556	0.46153846153846156	0.4285714285714286	0.5882352941176471	0.6	0.45833333333333337	0.45833333333333337	0.6046511627906976	0.5882352941176471	0.6590909090909092	0.6666666666666667	0.6	0.43999999999999995
Federal Meat Inspection Act	0.5945945945945945	0.5185185185185186	0.4285714285714286	0.5882352941176471	0.6	0.5769230769230769	0.3913043478260869	0.6046511627906976	0.5454545454545454	0.6590909090909092	0.6666666666666667	0.5151515151515151	0.5
Organic Foods Production Act of 1990	0.5526315789473684	0.5666666666666667	0.4347826086956522	0.5	0.5483870967741935	0.5714285714285714	0.5185185185185186	0.6	0.5833333333333333	0.5581395348837209	0.6041666666666667	0.5945945945945945	0.31999999999999995
Poultry Products Inspection Act	0.5945945945945945	0.5185185185185186	0.5	0.5882352941176471	0.6	0.52	0.45833333333333337	0.6363636363636364	0.5454545454545454	0.6590909090909092	0.6382978723404256	0.6	0.5
Quantifying Costs and Benefits	0.725	0.6071428571428572	0.5454545454545454	0.6571428571428571	0.5862068965517242	0.56	0.56	0.7446808510638299	0.5757575757575757	0.6818181818181819	0.7142857142857143	0.6285714285714286	0.48
Regulatory Flexibility Act of 1980	0.5384615384615384	0.5483870967741935	0.6428571428571428	0.6052631578947368	0.53125	0.6875	0.6	0.6734693877551021	0.5675675675675675	0.6086956521739131	0.5918367346938775	0.6153846153846154	0.5806451612903225
