	Regulatory Impact Analysis Heavy‐Duty Engine and Vehicle Standards and Highway Diesel Fuel Sulfur Control Requirements US Environmental Protection Agency Office of Transportation and Air Quality Assessment and Standards Division	Environmental Protection Agency EPA 2005a Clean Air Interstate Rule Emissions Inventory Technical Support Document US Environmental Protection Agency Office of Air Quality Planning and Standards	Emissions Inventory and Emissions Processing for the Clean Air Mercury Rule CAMR US Environmental Protection Agency Office of Air Quality Planning and Standards	Environmental Protection Agency EPA 2007b Proposed Emission Standards for New Nonroad Spark‐Ignition Engines Equipment and Vessels	Environmental Protection Agency EPA 2008a Air Quality Modeling Platform for the Ozone National Ambient Air Quality Standard Final Rule Regulatory Impact Analysis North Carolina	Environmental Protection Agency EPA 2008b Final Ozone NAAQS Regulatory Impact Analysis US Environmental Protection Agency Office of Air Quality Planning and Standards	Environmental Protection Agency EPA	Development and applications of a standard visual index	Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US Environ Sci Technol	Oxidants and Asthmatics in Los Angeles A Benefits Analysis  Executive Summary Prepared for US Environmental Protection Agency Office of Policy Analysis Prepared by Energy and Resource Consultants	Ambient air pollution and asthma exacerbations in children an eightcity analysis	Guidelines for Preparing Economic Analyses	Letter to Recipients of Third Draft EPA PM Criteria Document National Center for Environmental Assessment	Air Quality Criteria for Particulate Matter Volume I	Regulatory Impact Analysis for the Final Clean Air Interstate Rule	Regulatory Impact Analysis	Willingness to Pay for Environmental	Forest Inventory and Analysis National Program Forest Inventory Data Online Online database US Department of Agriculture Forest Service Forest Inventory and Analysis	Investigations and Monitoring of Mercury in Indiana by the US Geological Survey	Episodic acidification of small streams in the northeastern United States Fish mortality in field bioassays	Pricing Environmental Health Risks Survey Assessments of RiskRisk and RiskDollar TradeOffs for Chronic Bronchitis”	The Value of a Statistical Life A Critical Review of Market Estimates throughout the World”	Effect of shortterm exposure to low levels of gaseous pollutants on chronic obstructive pulmonary disease hospitalizations	Association between ozone and respiratory admissions among children and the elderly in Vancouver	Chapter 6 Cost Analysis Approach and Results Commercial and Institutional	Pechan and Associates and Industrial Economics Direct Cost Estimates for the Clean Air Act Second Section 812 Prospective Analysis Draft Report prepared for US EPA Office of Air and Radiation	Learning and Cost Reductions for Generating Technologies in the National Energy Modeling System NEMS	Proposed Approach for Expanding the Treatment of Learning Curve Impacts for the Second Section 812 Prospective Analysis Memorandum prepared for US EPA Office of Air and Radiation	Sulfur Dioxide Control by Electric Utilities What Are the Gains from Trade”	Ex Post Evaluation of Tradable Permits The US	Testimony of Jeffrey Holmstead Assistant Administrator Office of Air	Are the costs of proposed environmental regulations overestimated	The Clean Air Act Amendment Spurring Innovation and Growth While Cleaning the Air	Incorporating Technological Learning in the Coal Utility Environmental Cost CUECost Model Estimating the Future Cost Trends of SO2 NOx and Mercury Control Technologies” Prepared for ARCADIS Geraghty and Miller Research Triangle Park NC 27711 Available at httpstepsucdaviseduPeopleslyehsyeh‐ resourcesDrft20Fnl20Rpt20Lrng20for20CUECostv3pdf	Census Bureau	f No data on budget or revenues for this NAICS code is included
Air Pollution and Daily Deaths and Hospital Admissions in Los Angeles and Cook Counties	0.3125	0.288135593220339	0.2962962962962963	0.3666666666666667	0.34426229508196726	0.38983050847457623	0.31707317073170727	0.3023255813953488	0.23076923076923073	0.29824561403508776	0.25	0.19999999999999996	0.24444444444444446	0.23076923076923073	0.36363636363636365	0.23404255319148937	0.2558139534883721	0.33333333333333337	0.28301886792452835	0.375	0.34782608695652173	0.24137931034482762	0.3571428571428571	0.30612244897959184	0.25	0.21739130434782605	0.2857142857142857	0.2941176470588235	0.30000000000000004	0.34545454545454546	0.36170212765957444	0.31818181818181823	0.2272727272727273	0.30612244897959184	0.36111111111111116	0.5151515151515151	0.3191489361702128
Air pollution and hospital admissions for diseases of the circulatory system in three US metropolitan areas	0.3114754098360656	0.25	0.21568627450980393	0.33333333333333337	0.31034482758620685	0.2857142857142857	0.3157894736842105	0.19999999999999996	0.30612244897959184	0.2222222222222222	0.2075471698113207	0.1428571428571429	0.19047619047619047	0.26530612244897955	0.31707317073170727	0.18181818181818177	0.19999999999999996	0.33333333333333337	0.19999999999999996	0.19999999999999996	0.11627906976744184	0.3090909090909091	0.3584905660377359	0.21739130434782605	0.19999999999999996	0.16279069767441856	0.2075471698113207	0.25	0.26315789473684215	0.23076923076923073	0.2272727272727273	0.2195121951219512	0.12195121951219512	0.26086956521739135	0.3913043478260869	0.5333333333333333	0.2272727272727273
An Empirical Bayes Approach to Combining Estimates of the Value of Statistical Life for Environmental Policy Analysis	0.2647058823529411	0.23809523809523814	0.2068965517241379	0.25	0.23076923076923073	0.2698412698412699	0.24444444444444446	0.3191489361702128	0.25	0.180327868852459	0.09999999999999998	0.22448979591836737	0.22448979591836737	0.2142857142857143	0.29166666666666663	0.21568627450980393	0.276595744680851	0.26086956521739135	0.22807017543859653	0.2692307692307693	0.24	0.22580645161290325	0.2666666666666667	0.2075471698113207	0.1923076923076923	0.28	0.23333333333333328	0.23636363636363633	0.21875	0.288135593220339	0.2549019607843137	0.375	0.20833333333333337	0.28301886792452835	0.3157894736842105	0.5135135135135135	0.21568627450980393
Deposition and cycling of sulfur controls mercury accumulation in Isle Royale fish	0.29032258064516125	0.22807017543859653	0.23076923076923073	0.3448275862068966	0.288135593220339	0.29824561403508776	0.33333333333333337	0.1707317073170732	0.31999999999999995	0.2727272727272727	0.2592592592592593	0.16279069767441856	0.2093023255813954	0.24	0.33333333333333337	0.11111111111111116	0.12195121951219512	0.30000000000000004	0.21568627450980393	0.21739130434782605	0.2272727272727273	0.2857142857142857	0.37037037037037035	0.19148936170212771	0.21739130434782605	0.13636363636363635	0.2222222222222222	0.22448979591836737	0.27586206896551724	0.3207547169811321	0.33333333333333337	0.2857142857142857	0.1428571428571429	0.276595744680851	0.37142857142857144	0.5483870967741935	0.24444444444444446
Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter	0.2753623188405797	0.25	0.18644067796610164	0.29230769230769227	0.18181818181818177	0.25	0.30434782608695654	0.29166666666666663	0.1578947368421053	0.06451612903225812	0.180327868852459	0.16000000000000003	0.19999999999999996	0.22807017543859653	0.26530612244897955	0.15384615384615385	0.25	0.3191489361702128	0.2068965517241379	0.24528301886792447	0.21568627450980393	0.3015873015873016	0.34426229508196726	0.18518518518518523	0.24528301886792447	0.21568627450980393	0.24590163934426235	0.25	0.19999999999999996	0.2666666666666667	0.2692307692307693	0.30612244897959184	0.22448979591836737	0.2962962962962963	0.2727272727272727	0.5789473684210527	0.23076923076923073
Recovery of mercurycontaminated fisheries	0.3793103448275862	0.3207547169811321	0.25	0.40740740740740744	0.34545454545454546	0.3584905660377359	0.3142857142857143	0.18918918918918914	0.3913043478260869	0.33333333333333337	0.28	0.23076923076923073	0.28205128205128205	0.26086956521739135	0.368421052631579	0.2195121951219512	0.2432432432432432	0.2777777777777778	0.3191489361702128	0.23809523809523814	0.25	0.3076923076923077	0.36	0.2093023255813954	0.23809523809523814	0.19999999999999996	0.28	0.24444444444444446	0.33333333333333337	0.34693877551020413	0.2682926829268293	0.26315789473684215	0.1578947368421053	0.34883720930232553	0.4545454545454546	0.4814814814814815	0.2682926829268293
Contingent valuation of forest ecosystem protection	0.35593220338983056	0.2962962962962963	0.26530612244897955	0.34545454545454546	0.3214285714285714	0.33333333333333337	0.2222222222222222	0.1578947368421053	0.276595744680851	0.2692307692307693	0.2549019607843137	0.19999999999999996	0.19999999999999996	0.276595744680851	0.28205128205128205	0.1428571428571429	0.1578947368421053	0.18918918918918914	0.25	0.2558139534883721	0.2682926829268293	0.3207547169811321	0.37254901960784315	0.18181818181818177	0.2093023255813954	0.2195121951219512	0.2941176470588235	0.26086956521739135	0.3090909090909091	0.36	0.33333333333333337	0.28205128205128205	0.1282051282051282	0.2727272727272727	0.4328358208955224	0.4285714285714286	0.23809523809523814
A Study of Ambient Air Contaminants and Asthma in New York City	0.39682539682539686	0.3793103448275862	0.3207547169811321	0.3220338983050848	0.33333333333333337	0.3793103448275862	0.44999999999999996	0.38095238095238093	0.4117647058823529	0.3214285714285714	0.3090909090909091	0.2727272727272727	0.36363636363636365	0.33333333333333337	0.39534883720930236	0.30434782608695654	0.38095238095238093	0.41463414634146345	0.3076923076923077	0.3191489361702128	0.28888888888888886	0.33333333333333337	0.34545454545454546	0.29166666666666663	0.276595744680851	0.28888888888888886	0.34545454545454546	0.28	0.38983050847457623	0.2962962962962963	0.30434782608695654	0.34883720930232553	0.3023255813953488	0.33333333333333337	0.4084507042253521	0.5	0.21739130434782605
Air Quality Criteria for Particulate Matter	0.4385964912280702	0.3846153846153846	0.276595744680851	0.4716981132075472	0.37037037037037035	0.42307692307692313	0.2941176470588235	0.38888888888888884	0.33333333333333337	0.36	0.3877551020408163	0.368421052631579	0.3157894736842105	0.33333333333333337	0.08108108108108103	0.30000000000000004	0.33333333333333337	0.37142857142857144	0.3913043478260869	0.36585365853658536	0.4358974358974359	0.4117647058823529	0.4285714285714286	0.4285714285714286	0.41463414634146345	0.33333333333333337	0.3877551020408163	0.36363636363636365	0.39622641509433965	0.41666666666666663	0.44999999999999996	0.3513513513513513	0.3513513513513513	0.4285714285714286	0.5076923076923077	0.5384615384615384	0.35
Ecological Benefits Assessment Strategic Plan	0.38983050847457623	0.33333333333333337	0.26530612244897955	0.34545454545454546	0.3571428571428571	0.33333333333333337	0.16666666666666663	0.3157894736842105	0.3191489361702128	0.3076923076923077	0.2549019607843137	0.30000000000000004	0.19999999999999996	0.3191489361702128	0.33333333333333337	0.2857142857142857	0.26315789473684215	0.18918918918918914	0.29166666666666663	0.34883720930232553	0.2682926829268293	0.28301886792452835	0.37254901960784315	0.31818181818181823	0.34883720930232553	0.36585365853658536	0.33333333333333337	0.30434782608695654	0.34545454545454546	0.36	0.2857142857142857	0.28205128205128205	0.23076923076923073	0.36363636363636365	0.4626865671641791	0.5	0.2857142857142857
