	Traffic and Motor Vehicle Safety Act to NHTSA61. NHTSA is adopting this rule under the	105 and 322; delegation of authority at 49 CFR 1.50. VIII-3 Furthermore, this final rule satisfies the congressional mandate in Section 10301 of the Safe, Accountable, Flexible, Efficient, Transportation Equity Act: A Legacy for Users of 2005 (SAFETEA-LU).62 Under that provision, the Secretary of Transportation must conduct a rulemaking to “establish performance criteria to reduce the occurrence of rollovers consistent with stability enhancing technologies” and issue “a final rule by April 1,	Description and estimate of the number of small entities to which the proposal or final rule will apply The proposal applies to truck tractor and large bus manufacturers who produce these types of vehicles with a GVWR greater than 11,793 kg (26,000 pounds). The proposal also will impact manufacturers of ESC systems. Business entities are defined as small businesses using the North American Industry Classification System (NAICS	is the number of employees in the firm. Affected business categories include: (a) To qualify as a small business in Heavy Duty Truck Manufacturing (NAICS	the firm must have fewer than 1000 employees, (b) In Truck Trailer Manufacturing (NAICS 336212), the firm must have fewer than 500 employees, (c)	The latest version modified by the Office of Management and Budget in	They are Advanced Bus Industries, Ebus Inc., Enova Systems,
The Economic Impacts and Social Benefits of the US Motorcoach	0.28	0.4084507042253521	0.36363636363636365	0.2727272727272727	0.3448275862068966	0.23404255319148937	0.21739130434782605
A Primer on the Major Issues Relating to the Discount Rate for Evaluating National Energy Options	0.2857142857142857	0.4025974025974026	0.3055555555555556	0.21311475409836067	0.28125	0.24528301886792447	0.3076923076923077
2002 Census	0.7142857142857143	0.7142857142857143	0.6862745098039216	0.7	0.627906976744186	0.6875	0.6774193548387097
Annual Production Estimate	0.36363636363636365	0.5076923076923077	0.4666666666666667	0.3877551020408163	0.46153846153846156	0.31707317073170727	0.25
Class 8 Truck Tractor Slaes Volumes between 2005 and 2009	0.42307692307692313	0.34246575342465757	0.32352941176470584	0.368421052631579	0.30000000000000004	0.3877551020408163	0.375
Initial Target Crashes KABCO injuries and PDOVS Table	0.3584905660377359	0.45945945945945943	0.3623188405797102	0.31034482758620685	0.4098360655737705	0.31999999999999995	0.30612244897959184
KABCO to MAIS Conversion Table	0.41666666666666663	0.5072463768115942	0.4375	0.3207547169811321	0.3571428571428571	0.28888888888888886	0.2727272727272727
National Bus Trader 	0.33333333333333337	0.5873015873015873	0.48275862068965514	0.4042553191489362	0.48	0.28205128205128205	0.3157894736842105
Retrofitting TrailerRSC Information	0.40909090909090906	0.4769230769230769	0.43333333333333335	0.34693877551020413	0.3846153846153846	0.36585365853658536	0.4
Proposed Defintion in NPRM	0.39534883720930236	0.625	0.5254237288135593	0.41666666666666663	0.5294117647058824	0.44999999999999996	0.5384615384615384
Concept of Operation and Voluntary Operational Requrements for Vehicle Stability Systems OnBoard Commercial Motor Vehicles 	0.2592592592592593	0.36	0.3142857142857143	0.22033898305084743	0.32258064516129037	0.17647058823529416	0.28
Vehicle Survivability and Travel Mileage Schedules	0.20833333333333337	0.42028985507246375	0.375	0.24528301886792447	0.3214285714285714	0.15555555555555556	0.2272727272727273
An InService Analysis of Maintenance and Repair Expenses for the AntiLock Brake System and Underride Guard for Tractors and Trailers 	0.288135593220339	0.275	0.2533333333333333	0.21875	0.28358208955223885	0.25	0.19999999999999996
Analysis of Benefits and Costs of Roll Stability Control Systems	0.36170212765957444	0.4411764705882353	0.3650793650793651	0.3076923076923077	0.38181818181818183	0.2727272727272727	0.2558139534883721
Class 8 TruckTractor Stability Control Test Track Effectiveness ESV No 090552	0.34545454545454546	0.3157894736842105	0.2676056338028169	0.30000000000000004	0.23809523809523814	0.34615384615384615	0.33333333333333337
GDP	1.0	1.0	0.9130434782608696	0.9428571428571428	1.0	1.0	1.0
Heavy Truck ESC Effectiveness Study Using NADS	0.2692307692307693	0.3972602739726028	0.32352941176470584	0.19298245614035092	0.33333333333333337	0.34693877551020413	0.29166666666666663
Safety Benefits of Stability Control Systems for Tractor Semitrailers 	0.34782608695652173	0.4626865671641791	0.3870967741935484	0.2941176470588235	0.33333333333333337	0.2093023255813954	0.23809523809523814
Table 2  The Economic Impact of Motor Vehicle Crashes 2000	0.33333333333333337	0.36111111111111116	0.31343283582089554	0.2857142857142857	0.2542372881355932	0.29166666666666663	0.3191489361702128
TractorSemitrailer Stability Objective Performance Test ResearchRoll Stability	0.36	0.43661971830985913	0.3939393939393939	0.3090909090909091	0.3448275862068966	0.19148936170212771	0.26086956521739135
Double Integration Technique for Calculating Lateral Displacement	0.33333333333333337	0.36111111111111116	0.34328358208955223	0.1785714285714286	0.288135593220339	0.25	0.3191489361702128
ABA Motorcoach Census	0.38095238095238093	0.5873015873015873	0.5172413793103448	0.4042553191489362	0.43999999999999995	0.33333333333333337	0.3157894736842105
