	Ahold announced the pending purchase of Supermarket General-II Holdings Corporation, parent of the Pathmark chain. Similarly, SUPERVALUE acquired Richfood, Food Lion bought out Hannaford Brothers and Scarborough, and Albertson’s purchased American Stores. (Sean Mehegan, ‘‘Consolidation Changes the Face of the North American Supermarket Sector,’’ Meat & Poultry	Agricultural Handbook No.	King Marketing Services,	Safety Commission (Miller et al., ‘‘The Consumer Product Safety Commission’s Revised Injury Cost Model,’’ Peer Review Draft Prepared for the U.S. Consumer Product Safety Commission,	Food Safety Efforts Accelerate in the 1990’s,’’ Food Review,	The Economic Benefits of Nutrition Labeling: A Case Study for Fresh Meat and Poultry Products.’’	Re: Docket #98– 005F, Food Safety and Inspection Service Proposed Rule: ‘‘Nutrition Labeling of Ground or Chopped Meat and Poultry Products and SingleIngredient Products.’’ Comments submitted to the FSIS Docket Clerk,	Drug Administration (60 FR 65095,	Drug Administration (68 FR 41434–41504,	Drug Administration (69 FR 56824–56906,	Read the Label: Reducing Risk by Providing Information	Information Advertising, and Health Choices:	Information, Advertising, and Health: A Study of the Cereal Market.’’ In Economics of Food Safety,	Information and Advertising: The Case of	The Effect of Food Label Use on Nutrient Intakes: An Endogenous Switching Regression Analysis’’,	Assigning Value to Life: Comparing Methods for Valuing Health Risks, Agricultural Economic	A New Approach to Consumer Theory.’’	Informational Approaches to Regulation	Offsetting Behavior in Reducing High Cholesterol: Substitution of Medication for Diet and Lifestyle Changes.’’	Food companies spread nutrition information through advertising and labels. Food Review.	Personnal communication with Mary Muth, RTI International, Research	A Quasi Experiment to Assess the Consumer and Informational Determinants of Nutrition Information Processing Activities: The Case of the Nutrition Labeling and Education Act,’’	FDA Labeling Cost Model.’’ Prepared for the U.S. Food and Drug Administration, Center for Food Safety and Applied Nutrition. Research Triangle Park, NC.	National Cattlemen’s Beef Association.	The Journey towards Retail Meat Case Nutrition Labeling, A white paper,	Uniform Retail Meat Identity Standards.	The NMI Health and Wellness Trends Database.	As reported in Food Technology. ‘‘What, When and Where Americans Eat:	Use of food nutrition labels is associated with lower fat intake’’.	The Imperative to Warn: Disentangling the ‘‘Right to Know’’ from the ‘‘Need to Know’’ about Consumer Product Hazards’’	Guidelines for Ensuring and Maximizing the Quality, Objectivity, Utility, and Integrity of Information Disseminated by Federal Agencies.	Cost Analysis for Nutrition Labeling of Ground, Chopped, and Single-Ingredient Meat and Poultry VerDate	Does Nutrition Labeling Lead to Healthier Eating?’’	Measuring the welfare effects of nutrition information.	Hedonic Prices and Implicit Markets: Product Differentiation in	Department of Agriculture, 1994–1996. Continuing survey of food intake by individuals (CSFII), and companion diet and health knowledge survey (DHKS).	Survey years 1994–1996.	Nutrition Labeling/Safe Handling Information Study—Raw Meat and Poultry. Prepared by Retail Diagnostics,	Department of Agriculture, Agricultural Research Service,	Do Nutrition Labels Improve Dietary Outcomes?	Diet-Health Information and Nutrition: The Intake of Dietary Fats	Fatal Tradeoffs—Public & Private Responsibilities for Risk.	Estimated Benefits of Nutrition Label Changes: Final Report,	Potential Health Benefits of Nutrition Label Changes,’’	Section 381.400 is revised to read as follows:
A Quasi Experiment to Assess the Consumer and Informational Determinants of Nutrition Information Processing Activities The Case of the Nutrition Labeling and Education Act	0.44680851063829785	0.5454545454545454	0.6857142857142857	0.45238095238095233	0.5952380952380952	0.3589743589743589	0.44680851063829785	0.6216216216216216	0.6744186046511628	0.6744186046511628	0.3529411764705882	0.375	0.44999999999999996	0.3870967741935484	0.4390243902439024	0.38888888888888884	0.5277777777777778	0.40625	0.4878048780487805	0.4117647058823529	0.5142857142857142	0.08823529411764708	0.36585365853658536	0.5714285714285714	0.41666666666666663	0.6111111111111112	0.5588235294117647	0.4864864864864865	0.5675675675675675	0.36585365853658536	0.3589743589743589	0.33333333333333337	0.4571428571428572	0.5151515151515151	0.4411764705882353	0.4666666666666667	0.825	0.42500000000000004	0.3939393939393939	0.3939393939393939	0.4571428571428572	0.4864864864864865	0.3529411764705882	0.4722222222222222	0.631578947368421
Food companies spread nutrition information through advertising and labels	0.5348837209302326	0.48	0.56	0.5135135135135135	0.5151515151515151	0.4571428571428572	0.5	0.5357142857142857	0.6176470588235294	0.6176470588235294	0.2962962962962963	0.31999999999999995	0.4242424242424242	0.4	0.5	0.4	0.5666666666666667	0.29166666666666663	0.47058823529411764	0.08695652173913049	0.5	0.4285714285714286	0.45945945945945943	0.5714285714285714	0.4838709677419355	0.5185185185185186	0.6071428571428572	0.4137931034482759	0.40740740740740744	0.45945945945945943	0.4117647058823529	0.48484848484848486	0.48275862068965514	0.30434782608695654	0.40740740740740744	0.4473684210526315	0.7666666666666666	0.48571428571428577	0.28	0.40740740740740744	0.4285714285714286	0.3571428571428571	0.2962962962962963	0.5	0.5
Food Safety Efforts Accelerate in the 1990�s	0.5869565217391304	0.6206896551724138	0.6428571428571428	0.6097560975609756	0.24137931034482762	0.4864864864864865	0.5869565217391304	0.5666666666666667	0.6388888888888888	0.6388888888888888	0.5454545454545454	0.48275862068965514	0.4571428571428572	0.5517241379310345	0.4864864864864865	0.5294117647058824	0.6363636363636364	0.5172413793103448	0.5789473684210527	0.5161290322580645	0.5806451612903225	0.6097560975609756	0.5609756097560976	0.6	0.6	0.5	0.6774193548387097	0.4516129032258065	0.5483870967741935	0.6888888888888889	0.5263157894736843	0.5555555555555556	0.6060606060606061	0.5357142857142857	0.59375	0.5121951219512195	0.7	0.625	0.5	0.6363636363636364	0.5161290322580645	0.5882352941176471	0.5454545454545454	0.6571428571428571	0.4285714285714286
Offsetting Behavior in Reducing High Cholesterol Substitution of Medication for Diet and Lifestyle Changes	0.4444444444444444	0.5483870967741935	0.5666666666666667	0.44999999999999996	0.5263157894736843	0.39473684210526316	0.4444444444444444	0.6285714285714286	0.6829268292682926	0.6829268292682926	0.34375	0.4193548387096774	0.4054054054054054	0.53125	0.475	0.38235294117647056	0.6486486486486487	0.5	0.09677419354838712	0.40625	0.5151515151515151	0.4878048780487805	0.4	0.6176470588235294	0.4117647058823529	0.4838709677419355	0.5625	0.6052631578947368	0.5294117647058824	0.47619047619047616	0.4358974358974359	0.37142857142857144	0.4545454545454546	0.4666666666666667	0.48484848484848486	0.4651162790697675	0.7428571428571429	0.3783783783783784	0.3870967741935484	0.4375	0.5	0.5277777777777778	0.3939393939393939	0.4242424242424242	0.5588235294117647
The Imperative to Warn Disentangling the ��Right to Know�� from the ��Need to Know�� about Consumer Product Hazards	0.5098039215686274	0.5833333333333333	0.6756756756756757	0.41860465116279066	0.6222222222222222	0.5111111111111111	0.48	0.65	0.6956521739130435	0.6956521739130435	0.4054054054054054	0.4285714285714286	0.5227272727272727	0.48571428571428577	0.5111111111111111	0.475	0.5641025641025641	0.4571428571428572	0.4883720930232558	0.37142857142857144	0.4722222222222222	0.38095238095238093	0.4444444444444444	0.641025641025641	0.46153846153846156	0.6052631578947368	0.5142857142857142	0.5609756097560976	0.5641025641025641	0.1578947368421053	0.5111111111111111	0.46341463414634143	0.5384615384615384	0.5142857142857142	0.4444444444444444	0.4347826086956522	0.8372093023255813	0.3902439024390244	0.4444444444444444	0.4864864864864865	0.45945945945945943	0.4871794871794872	0.4473684210526315	0.5128205128205128	0.625
Information Advertising and Health A Study of the Cereal Market In Economics of Food Safety ed Julie Caswell	0.4	0.53125	0.5483870967741935	0.4390243902439024	0.43243243243243246	0.3846153846153846	0.46808510638297873	0.6111111111111112	0.6666666666666667	0.6666666666666667	0.38235294117647056	0.30000000000000004	0.1515151515151515	0.4193548387096774	0.3846153846153846	0.32352941176470584	0.5555555555555556	0.4375	0.4358974358974359	0.3939393939393939	0.4545454545454546	0.47619047619047616	0.4285714285714286	0.6	0.4444444444444444	0.46875	0.6285714285714286	0.4722222222222222	0.5142857142857142	0.5	0.3846153846153846	0.4473684210526315	0.5675675675675675	0.4	0.4242424242424242	0.3414634146341463	0.7567567567567568	0.44999999999999996	0.4242424242424242	0.5555555555555556	0.3939393939393939	0.5526315789473684	0.4722222222222222	0.5789473684210527	0.5428571428571429
Informational Approaches to Regulation	0.5238095238095238	0.52	0.6	0.5	0.5454545454545454	0.5277777777777778	0.5581395348837209	0.5185185185185186	0.6060606060606061	0.6060606060606061	0.33333333333333337	0.29166666666666663	0.4545454545454546	0.375	0.48571428571428577	0.3214285714285714	0.5	0.0	0.5428571428571429	0.28	0.36	0.4571428571428572	0.4864864864864865	0.5	0.4666666666666667	0.43999999999999995	0.6428571428571428	0.4482758620689655	0.5	0.4864864864864865	0.48571428571428577	0.46875	0.5666666666666667	0.2727272727272727	0.3846153846153846	0.5128205128205128	0.8	0.47058823529411764	0.17391304347826086	0.4444444444444444	0.4642857142857143	0.5	0.3928571428571429	0.5333333333333333	0.5862068965517242
Read the Label Reducing Risk by Providing Information	0.4418604651162791	0.5	0.5714285714285714	0.4473684210526315	0.5277777777777778	0.43243243243243246	0.40476190476190477	0.59375	0.6578947368421053	0.6578947368421053	0.0	0.3571428571428571	0.4	0.4285714285714286	0.38888888888888884	0.375	0.6176470588235294	0.33333333333333337	0.4	0.2857142857142857	0.3571428571428571	0.4054054054054054	0.39473684210526316	0.625	0.4545454545454546	0.4285714285714286	0.6129032258064516	0.5294117647058824	0.43333333333333335	0.4358974358974359	0.43243243243243246	0.4117647058823529	0.5	0.40740740740740744	0.3793103448275862	0.46341463414634143	0.7575757575757576	0.37142857142857144	0.3793103448275862	0.3793103448275862	0.4	0.3870967741935484	0.3870967741935484	0.46875	0.5625
What When and Where American Eat	0.6976744186046512	0.5909090909090908	0.6190476190476191	0.7027027027027026	0.6	0.6176470588235294	0.7555555555555555	0.64	0.7096774193548387	0.7096774193548387	0.6071428571428572	0.4782608695652174	0.59375	0.5	0.6571428571428571	0.5357142857142857	0.6153846153846154	0.5217391304347826	0.7142857142857143	0.5769230769230769	0.6	0.6285714285714286	0.6842105263157895	0.625	0.6666666666666667	0.625	0.6086956521739131	0.43999999999999995	0.6153846153846154	0.6842105263157895	0.6176470588235294	0.696969696969697	0.6296296296296297	0.5454545454545454	0.6153846153846154	0.7	0.8461538461538461	0.7222222222222222	0.56	0.6666666666666667	0.6296296296296297	0.7	0.6071428571428572	0.7333333333333334	0.6538461538461539
Assigning Value to Life Comparing Methods for Valuing Health Risks	0.40476190476190477	0.5	0.6206896551724138	0.525	0.6052631578947368	0.4736842105263158	0.5111111111111111	0.5483870967741935	0.6216216216216216	0.6216216216216216	0.3870967741935484	0.3571428571428571	0.4	0.4285714285714286	0.5128205128205128	0.07407407407407407	0.5757575757575757	0.33333333333333337	0.4444444444444444	0.4	0.5161290322580645	0.4871794871794872	0.39473684210526316	0.5806451612903225	0.3548387096774194	0.48275862068965514	0.6129032258064516	0.5294117647058824	0.53125	0.5121951219512195	0.55	0.36363636363636365	0.5	0.40740740740740744	0.3793103448275862	0.5	0.8285714285714285	0.45945945945945943	0.3793103448275862	0.5757575757575757	0.4516129032258065	0.5294117647058824	0.33333333333333337	0.46875	0.6470588235294117
