	Comments submitted to OSHA docket S029 Exhibit 314 by	Institute of Electrical and Electronics Engineers IEEE Standard for Fall Protection for Utility Work IEEE Standard 13072004 httpstandardsieeeorgreadingieeestdnumericalhtml accessed	Occupational Safety and Health Administration 29 CFR Part	Occupational Safety and Health Administration Fixed Ladders Used on Outdoor Advertising StructuresBillboards in the Outdoor Advertising Industry	Occupational Safety and Health Administration Preliminary Regulatory Impact and Regulatory Flexibility Analysis of Draft Subparts D and I of 29 CFR Part	0030 Machine Shops Turned Product and Screw Nut	Electric Lighting Equipment Manufacturing	Household Appliance Manufacturing 279213 163 1712962 371 63608 2015 1236 0001 0019 Professional and Commercial Equipment and Supplies Merchant Wholesalers	Accessories	0024 Lawn and Garden Equipment and Supplies Stores	0039 Sporting Goods Hobby and Musical Instrument Stores	0050 Electronic Shopping and MailOrder Houses 12662263 13335 949551 396 	0095 Deep Sea Coastal and Great Lakes Water Transportation 1019668 645 1580880 417 	Rural Bus Transportation	Employee Bus Transportation	0102 Other Transit and Ground Passenger Transportation	Support Activities for Air Transportation	Motion Picture and Video Industries	Television Broadcasting	Other Subscription Programming	0263 Data Processing Hosting and Related Services	Monetary Authorities  Central Bank	0005 Securities and Commodity Contracts Intermediation and Brokerage	0000 Agencies Brokerages and Other Insurance Related Activities	Pools and Funds	Offices of Real Estate Agents and Brokers	Activities Related to Real Estate	Automotive Equipment Rental and Leasing	0040 Commercial and Industrial Machinery and Equipment Rental and Leasing	Legal Services 73138890 164606 444327 852  37841 657652 400 0001 0011 Accounting Tax Preparation Bookkeeping and Payroll Services	Specialized Design Services 12493910 29234 427376 623  26635 138628 474 0001 0018 Computer Systems Design and Related Services	Scientific Research and Development	Home Health Care Services	Health Care Services	General Medical and Surgical Hospitals	Psychiatric and Substance Abuse Hospitals 103678 48 2159950 508  109669 210 437 0000 0004 Specialty except Psychiatric and Substance Abuse Hospitals 140371 130 1079779 508 	0013 Residential Mental Retardation Mental Health and Substance Abuse Facilities 1155914 4046 285693 508 	Facilities for the Elderly	Care Facilities	Individual and Family Services 8057734 27310 295047 508  14981 86180 316 0001 0021 Community Food and Housing and Emergency and Other Relief Services 3126011 6774 461472 508 	Vocational Rehabilitation Services	Care Services	0006 Promoters of Performing Arts Sports and Similar Events 2931291	Boarding Houses	0091 Electronic and Precision Equipment Repair and	Death Care Services	Grantmaking and Giving Services	receipts and payroll data from US Census Bureau Statistics of US Businesses	1 Discussions with Outdoor Amusement Business Association OABA staff indicate that very few office and multifamily residential buildings use fixed ladders greater than 20 feet in height A5 Based on this data ERG estimated that all 28906 estimated fixed ladders on lift towers are infrequently climbed A4 Communications Towers Radio Television Cellular and Microwave Virtually all communication towers have fixed ladders The Federal Communications Commission FCC Antenna Structure Registration Database lists 93000 registered Albee	Economic Census Manufacturing As downloaded from httpfactfindercensusgovservletIQRTablebmydsnameEC0200A1NAICS20023133langen on	As downloaded from ftpftpeiadoegovpubconsumptionresidential2001hctableshousingunithouseholdpdf on August 24	United States Environmental Protection Agency	As downloaded from httpwwwepagovsafewatercwssvrhtml on August 23	Telephone conversation between Joe Shefchik and Ayesha Berlind	Telephone conversation between Wendell Kido Chief Policy and Planning Division Sacramento County Regional Sanitation District and Ayesha Berlind	Telephone conversation between
2003 Commercial Buildings Energy Consumption Survey Table B10 Number of Floors Number of Buildings and Floorspace for NonMall Commercial Buildings	0.65	0.65	0.64	0.64	0.6699999999999999	0.6	0.5900000000000001	0.6699999999999999	0.73	0.62	0.6	0.6699999999999999	0.6699999999999999	0.5900000000000001	0.6	0.6	0.5900000000000001	0.6	0.61	0.6	0.64	0.56	0.5900000000000001	0.62	0.54	0.5900000000000001	0.6699999999999999	0.65	0.54	0.69	0.6599999999999999	0.63	0.64	0.7	0.5800000000000001	0.7	0.65	0.5800000000000001	0.54	0.6799999999999999	0.5900000000000001	0.7	0.6	0.54	0.64	0.69	0.5900000000000001	0.64	0.5900000000000001	0.7	0.65	0.63	0.6799999999999999	0.63	0.64	0.6
Electricity Transmission Fact Sheet	0.6599999999999999	0.52	0.6	0.5800000000000001	0.52	0.69	0.55	0.63	0.73	0.69	0.6599999999999999	0.5800000000000001	0.6	0.5900000000000001	0.56	0.5800000000000001	0.6	0.6599999999999999	0.5700000000000001	0.64	0.63	0.65	0.55	0.6599999999999999	0.74	0.72	0.6	0.72	0.6	0.63	0.5800000000000001	0.6599999999999999	0.6799999999999999	0.65	0.69	0.6	0.6	0.65	0.6	0.6	0.62	0.62	0.6599999999999999	0.74	0.45999999999999996	0.64	0.62	0.6	0.55	0.63	0.6599999999999999	0.6599999999999999	0.69	0.63	0.55	0.6699999999999999
National Emission Inventory homepage	0.7	0.64	0.5900000000000001	0.62	0.53	0.6699999999999999	0.6699999999999999	0.5900000000000001	0.73	0.64	0.62	0.64	0.64	0.6699999999999999	0.71	0.6699999999999999	0.73	0.6	0.61	0.6699999999999999	0.5900000000000001	0.62	0.56	0.6699999999999999	0.6699999999999999	0.63	0.6699999999999999	0.62	0.62	0.62	0.64	0.69	0.6799999999999999	0.7	0.6699999999999999	0.64	0.56	0.62	0.6699999999999999	0.62	0.53	0.7	0.6699999999999999	0.6699999999999999	0.53	0.69	0.62	0.7	0.5	0.62	0.64	0.5900000000000001	0.64	0.62	0.56	0.6
1997 Economic Census Manufacturing	0.74	0.5900000000000001	0.6799999999999999	0.62	0.6799999999999999	0.6799999999999999	0.44999999999999996	0.65	0.64	0.6799999999999999	0.65	0.5900000000000001	0.6799999999999999	0.5800000000000001	0.5900000000000001	0.62	0.65	0.65	0.61	0.7	0.65	0.6799999999999999	0.5900000000000001	0.62	0.6	0.71	0.75	0.61	0.62	0.62	0.65	0.6799999999999999	0.6799999999999999	0.75	0.74	0.65	0.62	0.7	0.6	0.62	0.71	0.7	0.65	0.6699999999999999	0.5900000000000001	0.74	0.6799999999999999	0.53	0.62	0.15000000000000002	0.65	0.62	0.6799999999999999	0.65	0.65	0.6699999999999999
2002 Economic Census Manufacturing	0.74	0.5900000000000001	0.6799999999999999	0.62	0.6799999999999999	0.65	0.44999999999999996	0.65	0.64	0.62	0.65	0.53	0.6799999999999999	0.5800000000000001	0.5900000000000001	0.62	0.65	0.65	0.61	0.7	0.65	0.6799999999999999	0.5900000000000001	0.62	0.6	0.71	0.75	0.61	0.5900000000000001	0.62	0.65	0.6799999999999999	0.6799999999999999	0.75	0.74	0.65	0.62	0.7	0.6	0.56	0.71	0.7	0.62	0.6699999999999999	0.56	0.74	0.6799999999999999	0.53	0.62	0.15000000000000002	0.65	0.62	0.6799999999999999	0.65	0.65	0.6699999999999999
Antenna Structure Registration database	0.7	0.62	0.5700000000000001	0.49	0.5900000000000001	0.64	0.6699999999999999	0.62	0.64	0.6699999999999999	0.69	0.7	0.62	0.55	0.6	0.61	0.65	0.5800000000000001	0.53	0.5700000000000001	0.5900000000000001	0.56	0.5700000000000001	0.62	0.6699999999999999	0.6599999999999999	0.5700000000000001	0.62	0.62	0.5900000000000001	0.5900000000000001	0.63	0.64	0.6	0.64	0.62	0.52	0.7	0.6	0.6699999999999999	0.5800000000000001	0.54	0.6699999999999999	0.6	0.62	0.5800000000000001	0.71	0.62	0.030000000000000027	0.65	0.6699999999999999	0.5700000000000001	0.7	0.65	0.54	0.6
Council on Tall Buildings and Urban Habitat	0.73	0.63	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.62	0.6599999999999999	0.5900000000000001	0.8200000000000001	0.63	0.6599999999999999	0.63	0.5900000000000001	0.55	0.6	0.5900000000000001	0.6599999999999999	0.63	0.61	0.6699999999999999	0.63	0.5900000000000001	0.61	0.56	0.54	0.64	0.64	0.65	0.5900000000000001	0.5900000000000001	0.6599999999999999	0.6599999999999999	0.72	0.75	0.5	0.61	0.56	0.6599999999999999	0.6	0.49	0.56	0.77	0.6599999999999999	0.6	0.6599999999999999	0.74	0.62	0.63	0.54	0.61	0.6799999999999999	0.73	0.7	0.6599999999999999	0.61	0.64
Deficient Bridges by State and Highway System	0.6699999999999999	0.6	0.63	0.65	0.5800000000000001	0.63	0.6599999999999999	0.63	0.55	0.63	0.5800000000000001	0.65	0.6	0.6699999999999999	0.6699999999999999	0.69	0.69	0.5900000000000001	0.5700000000000001	0.7	0.63	0.5900000000000001	0.5800000000000001	0.54	0.6699999999999999	0.5900000000000001	0.5800000000000001	0.5900000000000001	0.63	0.63	0.6699999999999999	0.6	0.6799999999999999	0.65	0.61	0.5800000000000001	0.6	0.5800000000000001	0.6699999999999999	0.65	0.65	0.62	0.5800000000000001	0.6	0.6599999999999999	0.5800000000000001	0.6	0.63	0.5800000000000001	0.65	0.6699999999999999	0.65	0.69	0.6	0.6	0.64
Inspections within Industry	0.71	0.56	0.6	0.44999999999999996	0.6	0.63	0.56	0.63	0.73	0.6	0.6	0.56	0.6699999999999999	0.75	0.75	0.63	0.63	0.52	0.61	0.6699999999999999	0.6	0.6	0.56	0.63	0.54	0.71	0.6699999999999999	0.6699999999999999	0.56	0.6	0.63	0.71	0.76	0.8	0.6699999999999999	0.56	0.56	0.5800000000000001	0.6	0.63	0.6	0.77	0.6699999999999999	0.6699999999999999	0.6	0.79	0.63	0.6699999999999999	0.52	0.63	0.6	0.63	0.6699999999999999	0.6	0.52	0.5900000000000001
Residential Energy Consumption Surveys 2001 Housing Characteristics Tables Table HC11a Housing Unit Characteristics by Climate Zone Million US Households 2001	0.65	0.6699999999999999	0.62	0.62	0.6599999999999999	0.6599999999999999	0.64	0.6799999999999999	0.55	0.64	0.62	0.6699999999999999	0.6599999999999999	0.55	0.63	0.62	0.61	0.5800000000000001	0.61	0.6	0.5800000000000001	0.56	0.5800000000000001	0.6599999999999999	0.6699999999999999	0.5900000000000001	0.5800000000000001	0.62	0.62	0.6699999999999999	0.65	0.63	0.56	0.5	0.5800000000000001	0.6699999999999999	0.61	0.5800000000000001	0.47	0.63	0.5900000000000001	0.54	0.63	0.47	0.6	0.48	0.55	0.5800000000000001	0.61	0.6699999999999999	0.5900000000000001	0.6	0.69	0.62	0.62	0.5700000000000001
