	Counsel 202 452–2036 Legal Division For the hearing impaired only Telecommunication Device for the Deaf TDD	Adoption of Proposed Common Rule 1 The authority citation for part 3 continues to read as follows Authority 12 USC 93a 161 1818 3907 and 3909 1921 Federal Register 	Governors of the Federal 4 The authority citation for part 208 continues to read as follows Authority	The authority citation for part 225 continues to read as follows Authority	Federal Deposit Insurance Corporation 12 CFR Chapter III Authority and Issuance For the reasons set forth in the common preamble part 325 of chapter III of title 12 of the Code of Federal Regulations is proposed to be amended as follows PART 325—CAPITAL MAINTENANCE 10 The authority citation for part 325 continues to read as follows	to Part 325—RiskBased Capital for State Nonmember Banks Market Risk 12 Appendix C is further amended by a Removing ‘‘Agency’’ wherever it appears and adding in its place ‘‘FDIC’’ b Removing ‘‘Agency’s’’ wherever it appears and adding in its place ‘‘FDIC’s’’ c Removing ‘‘banking organization’’ wherever it appears and adding in its place ‘‘bank’’ d Removing ‘‘banking organizations’’ wherever it appears and adding in its place ‘‘banks’’ e Removing Call Report or FR Y–9C wherever it appears and adding in its place ‘‘Call Report’’ f Removing ‘‘the advanced capital adequacy framework’’ wherever it appears and adding in its place ‘‘Appendix D to this part’’ g Removing ‘‘regulatory report’’ wherever it appears and adding in its place ‘‘Consolidated Reports of Condition and Income Call Report’’ h Removing ‘‘the general riskbased capital rules’’ wherever it appears and adding in its place ‘‘Appendix A to this part’’	By order of the Board of Governors of the Federal Reserve System	this 14th of December 2010 By order of the Board of Directors Federal Deposit Insurance Corporation Robert E Feldman Executive Secretary
Analysis of the Third Trading Book Impact Study 	0.4871794871794872	0.4358974358974359	0.4242424242424242	0.3214285714285714	0.5	0.52	0.4482758620689655	0.43243243243243246
12 CFR part 208 Appendix F and 12 CFR part 225	0.641025641025641	0.5526315789473684	0.5625	0.5862068965517242	0.6046511627906976	0.6666666666666667	0.7	0.5555555555555556
12 CFR part 225 Appendix A section IIB Board	0.6	0.55	0.5588235294117647	0.48275862068965514	0.5348837209302326	0.5510204081632653	0.6	0.4285714285714286
12 CFR part 3 Appendix C OCC	0.6666666666666667	0.5789473684210527	0.6363636363636364	0.6206896551724138	0.627906976744186	0.6599999999999999	0.6896551724137931	0.5833333333333333
12 CFR part 325 Appendix A section IIB3 	0.575	0.525	0.5714285714285714	0.5	0.5116279069767442	0.5306122448979591	0.6129032258064516	0.4444444444444444
13 CFR 121201	0.8333333333333334	0.7777777777777778	0.8709677419354839	0.9285714285714286	0.8048780487804879	0.86	0.88	0.7941176470588236
5 USC 603a	0.8055555555555556	0.7837837837837838	0.9090909090909091	0.8928571428571429	0.8636363636363636	0.8846153846153846	0.8846153846153846	0.8648648648648649
71 FR 55958	0.9230769230769231	0.8108108108108107	0.90625	0.9285714285714286	0.8863636363636364	0.8823529411764706	0.88	0.8918918918918919
75 FR 52283	0.8648648648648649	0.8108108108108107	0.8709677419354839	0.8888888888888888	0.8604651162790697	0.8823529411764706	0.88	0.8918918918918919
Public Law 111�203	0.7435897435897436	0.6923076923076923	0.7272727272727273	0.7241379310344828	0.6666666666666667	0.7692307692307692	0.90625	0.736842105263158
