	State of the Vending Industry Report” httpwwwvendingmarketwatchcomcontentreports accessed	National Automatic Merchandising Association “Comments of The National Automatic Merchandising Association” Docket No	Business Administration “Table of Small Business Size Standards Matched to North American Industry Classification System Codes” Effective	Operators Find Todayaposs Patrons Favor aposBetterForYouapos Food Selections In	Is the Obesity Epidemic a Public Health Problem A Decade	Strategies for Promoting Healthier Food Choices” American Economic Review Papers and Proceedings	Doing it Now or	Will all Americans Become Overweight or Obese Estimating the Progression and	Prevalence of Overweight Obesity and Extreme Obesity Among Adults United States	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US” Obesity	Social Network and Weight Misperception Among Adolescents” Southern Economic Journal Forthcoming	Size Matters The Influence of Adolescent’s Weight and	Body Weight SelfPerception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity Payer	The Growth of Obesity and Technological Change A Theoretical and Empirical Examination”	The LongRun Growth in Obesity as a Function of Technological Change”	An Economic Analysis of Adult Obesity Results from the Behavioral Risk Factor Surveillance System”	A Pricing Strategy to Promote LowFat Snack Choices through Vending Machines”	Department of Agriculture Economic Research Service “Table 15 Sales of meals and snacks away from home by type of outlet” Food CPI and Expenditures Food Expenditure Tables httpwwwersusdagovBriefingCPIFoodAndExpendituresData Accessed 1082010	Testing Laboratory “Quality Nutrition Analysis” httpwwwrlfoodtestinglaboratorycomservicesasp accessed	Evaluation of Recordkeeping Costs for Food Manufacturers Final Report” Prepared for Andy Estrin and Cristina McLaughlin of FDAaposs Center for Food Safety and Applied Nutrition Prepared by Aylin Sertkaya Ayesha Berlind and Seda Erdem Contract No 223012461 Task Order Number 5	City’s Soda Cost Millions Monthly Tax on Soft Drinks	Taxing Food Implications for Public	Ounces of Prevention — The Public Policy Case for Taxes on Sugared Beverages” New England	The Effects of Soft Drink Taxes on Child and Adolescent Consumption and Weight Outcomes”	Schoolchildren’s Consumption of Competitive Foods and Beverages Excluding à la	Choose Beverages and Foods to Moderate your Intake of Sugars Measurement Requires Quantification	Measuring the Health of the US	ObesityRelated QualityAdusted Life Years Lost in the US from 19932008”	Trends in QualityAdjusted LifeYears Lost Contributed by Smoking and Obesity”	Statistical Abstract of the United States	Separating what We Eat from where	Calorie Labeling And Food Choices A First Look At The Effects On LowIncome People In New York City	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information”	Do Nutrition Labels Improve Dietary Outcomes	Mandatory Menu Labeling in One FastFood Chain in King County	Child and Adolescent FastFood Choice and the Influence of Calorie Labeling	Nutrition Menu Labeling May Lead to LowerCalorie Restaurant Meal Choices for Children Pediatrics	Modeling weightloss maintenance to help prevent body weight regain”	School Vending Machine Use and FastFood Restaurant Use Are Associated with Sugar Sweetened Beverage Intake in Youth”
Table 15 Sales of meals and snacks away from home by type of outlet	0.6599999999999999	0.6	0.54	0.6599999999999999	0.65	0.63	0.6	0.6599999999999999	0.5900000000000001	0.5900000000000001	0.6599999999999999	0.6599999999999999	0.64	0.55	0.63	0.62	0.6599999999999999	0.62	0.62	0.0	0.6799999999999999	0.62	0.6699999999999999	0.63	0.65	0.62	0.69	0.5900000000000001	0.5700000000000001	0.6599999999999999	0.6599999999999999	0.64	0.52	0.62	0.6	0.64	0.65	0.62	0.65	0.63	0.63
Evaluation of Recordkeeping Costs for Food Manufacturers Final Report	0.64	0.5800000000000001	0.63	0.61	0.7	0.61	0.47	0.61	0.6	0.5800000000000001	0.5700000000000001	0.6799999999999999	0.62	0.63	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.5800000000000001	0.6599999999999999	0.6	0.64	0.0	0.62	0.55	0.6	0.61	0.5800000000000001	0.61	0.64	0.71	0.64	0.69	0.61	0.61	0.5800000000000001	0.6599999999999999	0.6	0.61	0.6	0.6699999999999999	0.61
Prevalence of Overweight Obesity and Extreme Obesity Among Adults United States Trends 1976�1980 Through 2007�2008	0.63	0.6799999999999999	0.6599999999999999	0.6599999999999999	0.56	0.65	0.6	0.52	0.0	0.6	0.62	0.6	0.52	0.45999999999999996	0.5700000000000001	0.62	0.6	0.65	0.65	0.63	0.7	0.64	0.65	0.6599999999999999	0.61	0.63	0.6699999999999999	0.64	0.5700000000000001	0.56	0.62	0.43999999999999995	0.5800000000000001	0.6599999999999999	0.65	0.6	0.62	0.63	0.6699999999999999	0.5800000000000001	0.65
Statistical Abstract of the United States 2011 	0.6	0.62	0.6	0.69	0.6599999999999999	0.6	0.6699999999999999	0.6599999999999999	0.48	0.5800000000000001	0.64	0.69	0.69	0.55	0.62	0.64	0.64	0.6	0.62	0.6	0.64	0.62	0.64	0.72	0.64	0.64	0.6599999999999999	0.62	0.47	0.6	0.62	0.0	0.5800000000000001	0.62	0.62	0.6	0.71	0.62	0.62	0.62	0.5800000000000001
City�s Soda Cost Millions Monthly Tax on Soft Drinks in Manhattan and Bronx in February and March is 465445	0.6799999999999999	0.64	0.61	0.63	0.6799999999999999	0.61	0.6	0.62	0.65	0.65	0.64	0.6	0.6	0.63	0.65	0.65	0.63	0.6699999999999999	0.62	0.6799999999999999	0.6599999999999999	0.5900000000000001	0.06000000000000005	0.63	0.6599999999999999	0.56	0.61	0.64	0.5700000000000001	0.69	0.6599999999999999	0.61	0.5800000000000001	0.6599999999999999	0.62	0.62	0.5700000000000001	0.64	0.63	0.6599999999999999	0.6599999999999999
2010 State of the Vending Industry Report	0.13	0.61	0.43999999999999995	0.6599999999999999	0.69	0.61	0.6	0.64	0.61	0.61	0.61	0.64	0.64	0.55	0.61	0.64	0.69	0.61	0.5700000000000001	0.54	0.6599999999999999	0.5900000000000001	0.61	0.69	0.64	0.5900000000000001	0.64	0.5900000000000001	0.6	0.6599999999999999	0.61	0.53	0.64	0.61	0.61	0.6599999999999999	0.63	0.61	0.61	0.5700000000000001	0.5900000000000001
Comments of The National Automatic Merchandising Association	0.6	0.0	0.54	0.64	0.6699999999999999	0.6	0.54	0.5900000000000001	0.62	0.5700000000000001	0.5900000000000001	0.62	0.6	0.5900000000000001	0.65	0.5700000000000001	0.62	0.6	0.5700000000000001	0.6	0.64	0.62	0.63	0.63	0.6	0.5900000000000001	0.62	0.5900000000000001	0.64	0.6699999999999999	0.65	0.5900000000000001	0.61	0.65	0.5900000000000001	0.64	0.62	0.64	0.62	0.64	0.5900000000000001
Is the Obesity Epidemic a Public Health Problem A Decade of Research on the Economics of Obesity	0.6599999999999999	0.65	0.62	0.63	0.0	0.5900000000000001	0.6699999999999999	0.61	0.64	0.55	0.6	0.6	0.6	0.33999999999999997	0.61	0.5800000000000001	0.6	0.6	0.63	0.5900000000000001	0.6699999999999999	0.62	0.63	0.6	0.63	0.63	0.7	0.64	0.5	0.56	0.5800000000000001	0.5700000000000001	0.61	0.62	0.63	0.6	0.6699999999999999	0.6	0.6	0.65	0.6599999999999999
Menucalc Plans	0.65	0.5800000000000001	0.5800000000000001	0.65	0.5800000000000001	0.65	0.86	0.65	0.65	0.5800000000000001	0.72	0.65	0.5	0.72	0.5	0.5	0.5800000000000001	0.5800000000000001	0.65	0.65	0.65	0.5800000000000001	0.65	0.65	0.5	0.65	0.65	0.65	0.72	0.65	0.65	0.65	0.72	0.65	0.5800000000000001	0.72	0.5	0.65	0.5	0.65	0.5800000000000001
Operators Find Todays Patrons Favor BetterForYou Food Selections In Vending	0.6699999999999999	0.5900000000000001	0.62	0.16000000000000003	0.6699999999999999	0.5900000000000001	0.6	0.65	0.6699999999999999	0.63	0.63	0.62	0.5800000000000001	0.63	0.6799999999999999	0.64	0.62	0.6699999999999999	0.62	0.56	0.64	0.54	0.62	0.55	0.64	0.6	0.6	0.5900000000000001	0.64	0.7	0.62	0.64	0.5800000000000001	0.62	0.6	0.64	0.62	0.61	0.6	0.64	0.62
