	Letter to Hon Nancy Pelosi	States as Policy Laboratories Emulating Success in the Children’s Health Insurance Program”	Active Purchasing for Health Exchanges An Analysis of Options	and Elizabeth McGylnn2010 Establishing State Health Insurance Exchanges	Health Reform in Massachusetts An Update As of fall	Citations Actuarial Research Corporation quotReinsurance attachment point estimatesquot	The Value of Health Insurance Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills	Number of Firms Number of Establishments Employment and Annual Payroll by Enterprise Employment Size for the United States and States Totals	Independent Report on the Healthy NY Program for Calendar Year	Medicare  Medicaid Services quotAnnouncement of Calendar Year CY	Employer Health Benefits	Does major illness cause financial catastrophequot	Cost and Funding Considerations for a Statewide AllPayer Claims Database APCD quot	Katherine Baicker and The Oregon Health Study Group quotThe Oregon Health Insurance Experiment Evidence from the First Yearquot	Generosity and adjusted premiums in jobbased insurance Hawaii is up Wyoming is downquot	Patient Protection and Affordable Care Act PPACA Long Term Costs for Gvoernments Employers Families and Providersquot Staff Working Paper	Race and insurance status as risk factors for trauma mortalityquot	Care without coverage too little too late	The impact of health insurance on healthquot	of Health Care Finance and Policy quot2009 Annual Report Health Safety Netquot	AllPayer Claims Databases Robert Woods Johnson Foundation	Office of External Affairs and Beneficiary Services Unpublished quotFY	Office of the Inspector General Medicaid Managed Care Encounter Data Collection and Use	Reinsurance How States Can Make Health Coverage More Affordable for Employers and Workers Commonwealth Fund	Healthy New York Making Insurance More Affordable for LowIncome Workers The Commonwealth Fund	Massachusetts Health Care Reform—NearUniversal Coverage at What Costquot
Medicaid Managed Care Encounter Data Collection and Use	0.5416666666666667	0.5	0.5172413793103448	0.5161290322580645	0.42307692307692313	0.48	0.6	0.5625	0.6333333333333333	0.42307692307692313	0.5769230769230769	0.48	0.48275862068965514	0.6052631578947368	0.5517241379310345	0.5428571428571429	0.48	0.4545454545454546	0.52	0.6176470588235294	0.5172413793103448	0.5454545454545454	0.24	0.5	0.5428571428571429	0.4838709677419355
Number of Firms Number of Establishments Employment and Annual Payroll by Enterprise Employment Size for the United States and States Totals 2008	0.6060606060606061	0.525	0.5	0.5	0.47058823529411764	0.5588235294117647	0.46153846153846156	0.09999999999999998	0.5555555555555556	0.5555555555555556	0.5	0.5588235294117647	0.4285714285714286	0.5116279069767442	0.6052631578947368	0.41025641025641024	0.5588235294117647	0.7142857142857143	0.5	0.38888888888888884	0.4571428571428572	0.4054054054054054	0.5526315789473684	0.44999999999999996	0.4878048780487805	0.6190476190476191
Trend Data	0.6842105263157895	0.7741935483870968	0.7777777777777778	0.7586206896551724	0.7083333333333333	0.7272727272727273	0.7419354838709677	0.7142857142857143	0.7083333333333333	0.7083333333333333	0.7142857142857143	0.6666666666666667	0.6923076923076923	0.7714285714285715	0.72	0.7575757575757576	0.6666666666666667	0.736842105263158	0.65	0.7666666666666666	0.6799999999999999	0.7741935483870968	0.6923076923076923	0.7941176470588236	0.7575757575757576	0.8064516129032258
2009 Annual Report Health Safety Net	0.5769230769230769	0.6486486486486487	0.5	0.5882352941176471	0.4642857142857143	0.5185185185185186	0.5428571428571429	0.5	0.4642857142857143	0.6129032258064516	0.5	0.5714285714285714	0.6060606060606061	0.625	0.6666666666666667	0.641025641025641	0.5714285714285714	0.6666666666666667	0.5555555555555556	0.25	0.59375	0.5714285714285714	0.6470588235294117	0.5277777777777778	0.6052631578947368	0.6
Cost and Funding Considerations for a Statewide AllPayer Claims Database	0.5714285714285714	0.4411764705882353	0.5	0.5833333333333333	0.5161290322580645	0.5172413793103448	0.5	0.3548387096774194	0.5161290322580645	0.4137931034482759	0.5517241379310345	0.5172413793103448	0.040000000000000036	0.55	0.4838709677419355	0.3529411764705882	0.4642857142857143	0.5555555555555556	0.5517241379310345	0.47058823529411764	0.2857142857142857	0.48571428571428577	0.5151515151515151	0.3529411764705882	0.4	0.5945945945945945
AllPayer Claims Databases	0.5238095238095238	0.5806451612903225	0.6071428571428572	0.6875	0.6296296296296297	0.5217391304347826	0.6764705882352942	0.5517241379310345	0.6296296296296297	0.5769230769230769	0.5652173913043479	0.5833333333333333	0.4	0.7435897435897436	0.6428571428571428	0.5757575757575757	0.5833333333333333	0.6363636363636364	0.625	0.65625	0.375	0.6666666666666667	0.6666666666666667	0.6176470588235294	0.6176470588235294	0.696969696969697
Announcement of Calendar Year 2012 Medicare Advantage Capitation Rates and Medicare Advantage and Part D Payment Policies and Final Call Letter	0.5757575757575757	0.5365853658536586	0.4722222222222222	0.55	0.4411764705882353	0.48484848484848486	0.475	0.5128205128205128	0.48571428571428577	0.3939393939393939	0.6	0.5294117647058824	0.4	0.5227272727272727	0.5789473684210527	0.3846153846153846	0.48484848484848486	0.6060606060606061	0.5588235294117647	0.4054054054054054	0.4285714285714286	0.5	0.4864864864864865	0.3846153846153846	0.42500000000000004	0.525
Independent Report on the Health NY Program for Calendar Year 2010	0.6206896551724138	0.5675675675675675	0.5882352941176471	0.5833333333333333	0.5161290322580645	0.5666666666666667	0.5789473684210527	0.5833333333333333	0.16000000000000003	0.6060606060606061	0.5517241379310345	0.6129032258064516	0.6	0.5853658536585367	0.6571428571428571	0.6341463414634146	0.6129032258064516	0.6551724137931034	0.6	0.4242424242424242	0.5882352941176471	0.675	0.5588235294117647	0.5641025641025641	0.5263157894736843	0.5555555555555556
Reinsurance attachment point estimates	0.5238095238095238	0.5806451612903225	0.5	0.6451612903225806	0.31818181818181823	0.21052631578947367	0.5483870967741935	0.5517241379310345	0.5769230769230769	0.52	0.4285714285714286	0.30000000000000004	0.6206896551724138	0.6	0.48	0.6176470588235294	0.38095238095238093	0.5	0.26315789473684215	0.5666666666666667	0.5	0.5806451612903225	0.5185185185185186	0.53125	0.6176470588235294	0.5172413793103448
The Value of Health Insurance Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills	0.5625	0.5609756097560976	0.4117647058823529	0.6097560975609756	0.375	0.46875	0.0	0.41666666666666663	0.5142857142857142	0.5142857142857142	0.5	0.5151515151515151	0.4722222222222222	0.4	0.5277777777777778	0.44999999999999996	0.46875	0.59375	0.4516129032258065	0.38888888888888884	0.5	0.36111111111111116	0.5135135135135135	0.41025641025641024	0.44999999999999996	0.5128205128205128
