	23 Sources: Colorado Mineral and Energy Industry Activities,	24 This calculation assumes that the 110 million tons of recoverable reserves in roadless area estimated for the 2001 Rule in the Energy Minerals section of the RDEIS are included within the 180.9 million tons of reserves estimated by the State of Colorado the energy roadless model area,	Activity/Effects Value of Production ($ millions) Employment (jobs) Labor Income ($ millions)	Validation of a forest values typology for use in national forest planning. Forest Science.	Tourism Jobs Gain Ground in Colorado. Prepared for the Colorado Department of Local Affairs.	Associates, Inc. The Economic Impact of Travel on	Prepared for the State of Colorado, Colorado Tourism Office,	Personal communication regarding coal mining. USDI-Bureau of Land Management,	Western National Forests: A Cohesive Strategy is Needed to Address Catastrophic Wildland Fire Threats.	Consulting. Job Generation in the Colorado Mountain Resort Economy. Prepared for the Northwest Colorado Council of Governments.	Oil and Gas Economic Impact Analysis. Prepared by Booz Allen Hamilton for the Colorado Energy Research Institute.	economic impact modeling software).	Revised Draft Environmental Impact Statement (RDEIS): Proposed Colorado Roadless Rule. Region 2, USDA Forest Service,	Opportunities for Small Entities: Proposed Roadless Area Conservation Rule for Colorado. Region 2, USDA Forest Service,	Roadless Area Conservation: National Forest System Lands in Colorado: Proposed Rule Regulatory Impact Analysis and Cost Benefit Analysis. Region 2, USDA Forest Service,	Profile 2005: Softwood Sawmills in the United States and Canada. Research Paper: FPL-RP-630. USDA Forest Service, Forest Products Laboratory,	Cumulative Set Aside Program Analysis Spreadsheets, by Forest Unit. USDA Forest Service Region 2, Denver CO USDA Forest Service.	Department of the Interior.
Cumulative Set Aside Program Analysis Spreadsheets by Forest Unit	0.4193548387096774	0.5	0.40625	0.3571428571428571	0.40625	0.5	0.4137931034482759	0.46875	0.31034482758620685	0.38235294117647056	0.4	0.5	0.3125	0.3125	0.32352941176470584	0.33333333333333337	0.16666666666666663	0.6071428571428572
2007 Annual Reportadvanced tables	0.48275862068965514	0.5526315789473684	0.4666666666666667	0.4814814814814815	0.5161290322580645	0.5185185185185186	0.5862068965517242	0.625	0.5333333333333333	0.5294117647058824	0.5428571428571429	0.52	0.46875	0.46875	0.5142857142857142	0.4722222222222222	0.4375	0.6923076923076923
2007 Annual Report—advanced tables	0.5	0.5641025641025641	0.4838709677419355	0.5	0.53125	0.5357142857142857	0.6	0.6363636363636364	0.5483870967741935	0.5428571428571429	0.5555555555555556	0.5384615384615384	0.48484848484848486	0.48484848484848486	0.5277777777777778	0.4864864864864865	0.4545454545454546	0.7037037037037037
Job Generation in the Colorado Mountain Resort Economy 	0.43333333333333335	0.43243243243243246	0.46875	0.5333333333333333	0.3666666666666667	0.5172413793103448	0.48275862068965514	0.53125	0.53125	0.23333333333333328	0.36363636363636365	0.5185185185185186	0.5142857142857142	0.5142857142857142	0.5526315789473684	0.5128205128205128	0.4411764705882353	0.6296296296296297
Managing the Impacts of Wildland fires on Communities and the Environment  The National Fire Plan	0.4242424242424242	0.42500000000000004	0.4117647058823529	0.4193548387096774	0.4117647058823529	0.3448275862068966	0.3666666666666667	0.4242424242424242	0.32258064516129037	0.2941176470588235	0.4054054054054054	0.4482758620689655	0.32352941176470584	0.37142857142857144	0.3783783783783784	0.5	0.43243243243243246	0.5517241379310345
Oil and Gas Economic Impact Analysis	0.5	0.641025641025641	0.4285714285714286	0.5555555555555556	0.5333333333333333	0.41666666666666663	0.5555555555555556	0.6	0.5517241379310345	0.5454545454545454	0.4193548387096774	0.4782608695652174	0.53125	0.53125	0.5714285714285714	0.641025641025641	0.5454545454545454	0.6086956521739131
Personal communication regarding coal mining	0.46153846153846156	0.5833333333333333	0.4444444444444444	0.3913043478260869	0.4444444444444444	0.5	0.3913043478260869	0.33333333333333337	0.5185185185185186	0.4666666666666667	0.4838709677419355	0.26315789473684215	0.4482758620689655	0.4482758620689655	0.5	0.5833333333333333	0.4666666666666667	0.5714285714285714
The Economic Impact of Travel on Colorado 19962005	0.5294117647058824	0.39473684210526316	0.5142857142857142	0.5757575757575757	0.5142857142857142	0.3571428571428571	0.4838709677419355	0.6111111111111112	0.5294117647058824	0.5263157894736843	0.5384615384615384	0.5172413793103448	0.4722222222222222	0.5135135135135135	0.55	0.475	0.5641025641025641	0.5185185185185186
Tourism Jobs Gain Ground in Colorado	0.6206896551724138	0.6216216216216216	0.6	0.6296296296296297	0.3846153846153846	0.6153846153846154	0.52	0.6206896551724138	0.6206896551724138	0.5161290322580645	0.5757575757575757	0.5652173913043479	0.6363636363636364	0.6363636363636364	0.6666666666666667	0.6578947368421053	0.6060606060606061	0.6956521739130435
Western National Forests A Cohesive Strategy is Needed to Address Catastrophic Wildland Fire Threats	0.4	0.525	0.5294117647058824	0.33333333333333337	0.48484848484848486	0.4285714285714286	0.4482758620689655	0.5882352941176471	0.0	0.4571428571428572	0.5135135135135135	0.4814814814814815	0.4411764705882353	0.4411764705882353	0.4	0.4871794871794872	0.36363636363636365	0.6428571428571428
