	Department of Energy Energy Information Administration Transportation Sector Module of the National Energy Modeling System Model Documentation	Technical Support Document Fuel Economy Labeling of Motor Vehicle Revisions to Improve Calculation of Fuel Economy Estimates	The survival rates were calculated from RL Polk National Vehicle Population Profile 19772003 see NHTSA	Vehicle Survivability and Travel Mileage Schedules” Office of Regulatory Analysis and Evaluation	Oil Imports An Assessment of Benefits and Costs	Estimating the Energy Security Benefits of Reduced US Oil Imports Oak Ridge National Laboratory ORNLTM2007028 Revised July 23	Contribution of Working Group II to the Fourth Assessment Report of the IPCC 17 Available at httpwwwipccwg2org last accessed 4	Description of VMT Forecasting Procedure for ‘Car Talk’ Base line Forecasts” manuscript Volpe National Transportation Systems Center US Department of Transportation	Environmental Protection Agency MOBILE Motor Vehicle Emission Factor Model version 62	Uncertainty A Guide to Dealing with Uncertainty in Quantitative Risk and Policy Analysis”	CAFE Compliance and Effects Modeling System Documentation
A Guide to Econometrics 3rd Edition	0.34883720930232553	0.4893617021276596	0.4509803921568627	0.4347826086956522	0.37142857142857144	0.49090909090909096	0.43999999999999995	0.5294117647058824	0.4222222222222223	0.4222222222222223	0.35
Public Citizen v NHTSA	0.4666666666666667	0.4693877551020408	0.4339622641509434	0.45833333333333337	0.5675675675675675	0.543859649122807	0.5	0.5094339622641509	0.574468085106383	0.5319148936170213	0.47619047619047616
Consumer Finance	0.44999999999999996	0.40909090909090906	0.5416666666666667	0.5348837209302326	0.375	0.5769230769230769	0.44680851063829785	0.45833333333333337	0.47619047619047616	0.5238095238095238	0.3513513513513513
Highway Statistics Summary to 1995	0.3913043478260869	0.43999999999999995	0.40740740740740744	0.4693877551020408	0.5789473684210527	0.5172413793103448	0.4716981132075472	0.5185185185185186	0.5	0.45833333333333337	0.4418604651162791
Statistical Release H15 Selected Interest Rates	0.40909090909090906	0.45833333333333337	0.42307692307692313	0.44680851063829785	0.38888888888888884	0.5	0.4509803921568627	0.5384615384615384	0.4782608695652174	0.4782608695652174	0.46341463414634143
Statstical Release G20 Finance Companies	0.4347826086956522	0.36	0.40740740740740744	0.5102040816326531	0.368421052631579	0.4482758620689655	0.3584905660377359	0.4444444444444444	0.45833333333333337	0.5	0.3023255813953488
The Greenhouse Gas and Regulated Emissions from Transportation GREET Model Version 18	0.23076923076923073	0.25	0.33333333333333337	0.2727272727272727	0.36363636363636365	0.3125	0.3220338983050848	0.3666666666666667	0.37037037037037035	0.40740740740740744	0.30612244897959184
1997 Federal Highway Cost Allocation Study	0.3076923076923077	0.3571428571428571	0.30000000000000004	0.34545454545454546	0.40909090909090906	0.4375	0.288135593220339	0.4	0.37037037037037035	0.33333333333333337	0.26530612244897955
2006 Guidelines for National Greenhouse Gas Inventories	0.33333333333333337	0.42307692307692313	0.3571428571428571	0.4117647058823529	0.35	0.3666666666666667	0.34545454545454546	0.5	0.36	0.4	0.4666666666666667
Alternative and Future Technologies for Reducing Greenhouse Gas Emissions from Road Vehicles	0.23076923076923073	0.2142857142857143	0.30000000000000004	0.19999999999999996	0.36363636363636365	0.34375	0.2542372881355932	0.3666666666666667	0.2592592592592593	0.2962962962962963	0.26530612244897955
Annual Energy Outlook 2007	0.4222222222222223	0.5102040816326531	0.4716981132075472	0.41666666666666663	0.45945945945945943	0.4035087719298246	0.46153846153846156	0.5471698113207547	0.4042553191489362	0.44680851063829785	0.4285714285714286
Annual Energy Outlook 2008 Early Release	0.4042553191489362	0.4509803921568627	0.4545454545454546	0.36	0.4358974358974359	0.35593220338983056	0.4444444444444444	0.5272727272727273	0.3877551020408163	0.3877551020408163	0.40909090909090906
Annual Energy Review 2006	0.4666666666666667	0.4693877551020408	0.4716981132075472	0.41666666666666663	0.5675675675675675	0.4736842105263158	0.46153846153846156	0.6226415094339622	0.4042553191489362	0.4042553191489362	0.47619047619047616
Climate Change 2007  Impacts Adaptation and Vulnerability Contribution of Working Group II to the Fourth Assessment Report	0.288135593220339	0.23809523809523814	0.28358208955223885	0.32258064516129037	0.33333333333333337	0.2676056338028169	0.12121212121212122	0.34328358208955223	0.3114754098360656	0.34426229508196726	0.2857142857142857
Climate Change 2007 Synthesis Report Contributions of Working Group I II and III to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change	0.30000000000000004	0.25	0.2647058823529411	0.33333333333333337	0.34615384615384615	0.25	0.10447761194029848	0.3529411764705882	0.32258064516129037	0.32258064516129037	0.29824561403508776
Comparison of Indirect Cost Multipliers for Vehicle Manufacturing 	0.18367346938775508	0.2075471698113207	0.368421052631579	0.3076923076923077	0.2195121951219512	0.34426229508196726	0.2857142857142857	0.29824561403508776	0.2941176470588235	0.4117647058823529	0.21739130434782605
Cost and Effectiveness Estimates of Technologies Used to Reduce LightDuty Vehicle Carbon Dioxide Emissions	0.25	0.1333333333333333	0.34375	0.22033898305084743	0.41666666666666663	0.2647058823529411	0.33333333333333337	0.3125	0.31034482758620685	0.31034482758620685	0.28301886792452835
Costs of Effectiveness of Increasing Corporate Average Fuel Economy Standards	0.15384615384615385	0.1785714285714286	0.3666666666666667	0.2727272727272727	0.2272727272727273	0.3125	0.2542372881355932	0.30000000000000004	0.2592592592592593	0.37037037037037035	0.10204081632653061
Draft Inventory of GHG Emissions and Sinks 19901999	0.33333333333333337	0.38181818181818183	0.35593220338983056	0.4444444444444444	0.39534883720930236	0.39682539682539686	0.4137931034482759	0.4576271186440678	0.4339622641509434	0.4339622641509434	0.375
Estimating the Energy Security Benefits of Reduced US Oil Imports	0.16981132075471694	0.22807017543859653	0.3770491803278688	0.25	0.24444444444444446	0.19999999999999996	0.33333333333333337	0.3114754098360656	0.2727272727272727	0.34545454545454546	0.24
Impacts Adaption and Vulnerability Contribution of Working Group II to the Fourth Assessement Report	0.25	0.19999999999999996	0.34375	0.288135593220339	0.29166666666666663	0.32352941176470584	0.1428571428571429	0.3125	0.31034482758620685	0.31034482758620685	0.24528301886792447
Inventory of US Greenhouse Gas Emissions and Sinks 19902005	0.33333333333333337	0.3793103448275862	0.32258064516129037	0.4035087719298246	0.4347826086956522	0.303030303030303	0.34426229508196726	0.4516129032258065	0.3928571428571429	0.3928571428571429	0.4117647058823529
Mobile Source  per Ton Estimate	0.21739130434782605	0.24	0.40740740740740744	0.30612244897959184	0.368421052631579	0.3448275862068966	0.4339622641509434	0.37037037037037035	0.41666666666666663	0.5	0.2558139534883721
Oil Imports An Assessment of Benefits and Costs	0.30434782608695654	0.4	0.4444444444444444	0.4285714285714286	0.0	0.4137931034482759	0.3584905660377359	0.40740740740740744	0.33333333333333337	0.5	0.3023255813953488
Perform Cost and Weight Analysis Head Protection Air Bag Systems FMVSS 201	0.29824561403508776	0.3114754098360656	0.29230769230769227	0.33333333333333337	0.34693877551020413	0.3623188405797102	0.28125	0.29230769230769227	0.22033898305084743	0.423728813559322	0.2592592592592593
Perspectives on climate change and sustainability	0.25	0.2692307692307693	0.3571428571428571	0.2941176470588235	0.35	0.33333333333333337	0.2727272727272727	0.3571428571428571	0.28	0.28	0.28888888888888886
TAFV Alternative Fuels and Vehicles Choice Model Documentation	0.24	0.2222222222222222	0.3448275862068966	0.28301886792452835	0.33333333333333337	0.4193548387096774	0.33333333333333337	0.31034482758620685	0.2692307692307693	0.34615384615384615	0.23404255319148937
Teardown Cost Estimates of Automotive Equipment Manufactured to Comply with Motor Vehicle Standard  FMVSS 214D  Side Impact Protection Side Air Bag Features	0.1875	0.17647058823529416	0.2777777777777778	0.28358208955223885	0.3571428571428571	0.2894736842105263	0.21126760563380287	0.25	0.21212121212121215	0.36363636363636365	0.21311475409836067
Transportation Sector Module of the National Energy Modeling System Model Documentation 2007	0.09090909090909094	0.22033898305084743	0.2698412698412699	0.27586206896551724	0.4042553191489362	0.19402985074626866	0.3548387096774194	0.2698412698412699	0.33333333333333337	0.4035087719298246	0.1923076923076923
US Automotive Industry Employment Trends	0.20833333333333337	0.3076923076923077	0.3928571428571429	0.33333333333333337	0.30000000000000004	0.33333333333333337	0.4181818181818182	0.3928571428571429	0.36	0.4	0.28888888888888886
Vehicle Survivability and Travel Mileage Schedules	0.25	0.23076923076923073	0.3928571428571429	0.17647058823529416	0.5	0.33333333333333337	0.4181818181818182	0.3571428571428571	0.31999999999999995	0.36	0.33333333333333337
Vehicle Weight Fatality Risk and Crash Compatibility of Model Year 199199 Passenger Cars and Light Trucks	0.30000000000000004	0.1875	0.2647058823529411	0.3015873015873016	0.42307692307692313	0.3055555555555556	0.22388059701492535	0.2647058823529411	0.32258064516129037	0.3870967741935484	0.29824561403508776
Staff Report Initial Statement of Reasons	0.3023255813953488	0.3191489361702128	0.4117647058823529	0.4347826086956522	0.19999999999999996	0.4181818181818182	0.4	0.4509803921568627	0.4666666666666667	0.5111111111111111	0.35
