	Division of Regulations Legislation and Interpretation US Department of Labor Wage and Hour Division 200 Constitution Avenue NW Room S– 81197 Federal Register 	Costs with Overtime Work in US	Does the Statutory Overtime Premium Discourage Long Workweeks’’ Industrial and Labor Relations Review 563 530– 81221	Census Bureau Center for Economic Studies Business Dynamics Statistics Firm Age by Firm Size Available at httpwwwcescensusgov indexphpbdsbdsdatabaselist Accessed	National Population Projections Table 2 Projections of the Population by Selected Age Groups and Sex for the United States	Occupational Outlook Handbook 2010–11 Edition Home Health Aides and Personal and Home Care Aides on the Internet at httpwwwbls	81244 Federal Register 	The authority citation for part 552 continues to read as follows Authority 29 USC 213a15 b21 88 stat 62 Sec 29b of the Fair Labor Standards Act Amendments of
New Options and Risks in Home Care for Elderly	0.4193548387096774	0.36585365853658536	0.46031746031746035	0.33333333333333337	0.42307692307692313	0.3090909090909091	0.4871794871794872	0.4035087719298246
ReThinking Fiscal Multipliers	0.5172413793103448	0.5135135135135135	0.4915254237288136	0.4	0.375	0.4509803921568627	0.37142857142857144	0.4339622641509434
Labor Demand	0.56	0.5862068965517242	0.5686274509803921	0.5238095238095238	0.6	0.5813953488372092	0.6296296296296297	0.5555555555555556
2008 National Population Projections	0.4482758620689655	0.5675675675675675	0.4576271186440678	0.48	0.29166666666666663	0.37254901960784315	0.4285714285714286	0.4339622641509434
BLS Occupational Employment Statistics	0.5172413793103448	0.45945945945945943	0.4576271186440678	0.31999999999999995	0.41666666666666663	0.4117647058823529	0.6	0.39622641509433965
Business Dynamics Statistics Firm Age by Firm Size	0.4576271186440678	0.5263157894736843	0.4666666666666667	0.21568627450980393	0.3877551020408163	0.5	0.5	0.40740740740740744
National Employment MatrixSearch by Occupation	0.5081967213114754	0.44999999999999996	0.4516129032258065	0.28301886792452835	0.2941176470588235	0.37037037037037035	0.631578947368421	0.3928571428571429
Standard Occupational Classification	0.4642857142857143	0.4285714285714286	0.5087719298245614	0.33333333333333337	0.34782608695652173	0.3877551020408163	0.5151515151515151	0.37254901960784315
US Census Bureau Health Care and Social Assistance Estimated YeartoYear Change in Revenue for Employer Firms by Source	0.2857142857142857	0.4285714285714286	0.4084507042253521	0.12903225806451613	0.2666666666666667	0.33333333333333337	0.4893617021276596	0.2615384615384615
2011 Statistical Abstract	0.5094339622641509	0.625	0.5185185185185186	0.5111111111111111	0.4418604651162791	0.4347826086956522	0.4	0.45833333333333337
