	Number 1210–NEW Affected Public Business or other forprofit Estimated Number of Respondents 16000 Estimated Number of Annual Responses 20789000 Frequency of Response Initially Annually Upon Request when a material change Estimated Total Annual Burden Hours 16126000 hours in the first year 13504000 hours in each subsequent year Estimated Total Annual Burden Cost 642552000 for the first year 493253000 for each subsequent year	List of Subjects in 29 CFR Part 2550 Employee benefit plans Exemptions Fiduciaries Investments Pensions Prohibited transactions Reporting and recordkeeping requirements and Labor’s Order No	Sec 2550401b–1 also issued under sec 102 Reorganization Plan No	Sec 2550401c–1 also issued under 29 USC 1101 Sections 2550404c–1 and 2550404c– 5 also issued under 29 USC 1104 Sec 2550407c–3 also issued under 29 USC 1107 Sec 2550404a–2 also issued under 26 USC 401 note sec 657 Pub L 107–16 115 Stat 38 Sec 2550408b–1 also issued under 29 USC 1108b1 and sec 102 Reorganization Plan No	2550408g–1 also issued under sec 102 Reorganization Plan No 4 of 1978 3 CFR	For purposes of paragraph c6i retirement ages life expectancies income levels financial resources replacement income ratios inflation VerDate Nov242008	Add § 2550408g–2 to read as follows	Section 408g11A of the Employee Retirement Income accordance with 29 CFR 2550408g– 1b5 and v Is maintained in accordance with 29 CFR 2550408g–1e	this 9th day of January
Field Assistance Bulletin 2007�1	0.6326530612244898	0.7021276595744681	0.5757575757575757	0.625	0.5555555555555556	0.6176470588235294	0.6875	0.6428571428571428	0.6923076923076923
Protecting Senior Investors Report of Examinations of Securities Firms Providing ��Free Lunch�� Sales Seminar	0.5740740740740741	0.38636363636363635	0.575	0.6170212765957447	0.5909090909090908	0.45945945945945943	0.7317073170731707	0.4772727272727273	0.625
Technical Explanation Of HR 4 The Pension Protection Act Of 2006 As Passed By The House On July 28 2006 And As Considered By The Senate On August 3 2006	0.3846153846153846	0.47058823529411764	0.5454545454545454	0.5	0.5	0.47619047619047616	0.627906976744186	0.45833333333333337	0.6216216216216216
The Division of Investment Management Report on Mutual Fund Fees and Expenses	0.5769230769230769	0.48888888888888893	0.65	0.7083333333333333	0.627906976744186	0.4117647058823529	0.7105263157894737	0.5116279069767442	0.5862068965517242
Floor Statement of Senate Health Education Labor and Pensions Committee Chairman Enzi	0.5686274509803921	0.4772727272727273	0.5277777777777778	0.5476190476190477	0.55	0.5675675675675675	0.736842105263158	0.5348837209302326	0.5714285714285714
Advertising and Portfolio Choice	0.6326530612244898	0.5813953488372092	0.5757575757575757	0.625	0.5555555555555556	0.53125	0.6	0.5384615384615384	0.5217391304347826
Assessing the Costs and Benefits of Brokers in the Mutual Fund Industr	0.6	0.5777777777777777	0.6486486486486487	0.6818181818181819	0.5897435897435898	0.5714285714285714	0.6363636363636364	0.5714285714285714	0.52
Competition in the Mutual Fund Industry Evidence and Implications for Policy	0.54	0.4418604651162791	0.641025641025641	0.6739130434782609	0.5853658536585367	0.48571428571428577	0.736842105263158	0.46341463414634143	0.5185185185185186
Fees and Expenses of Mutual Funds	0.72	0.6511627906976745	0.7058823529411764	0.7619047619047619	0.6756756756756757	0.5806451612903225	0.7	0.6829268292682926	0.5909090909090908
Financial Advice and Individual Investors� Portfolios	0.64	0.5909090909090908	0.5882352941176471	0.6666666666666667	0.5675675675675675	0.5454545454545454	0.65625	0.5853658536585367	0.5416666666666667
Identification and Performance of Equity Mutual Funds with High Management Fees and Expense Ratios	0.45999999999999996	0.4222222222222223	0.6097560975609756	0.6734693877551021	0.5909090909090908	0.5	0.7	0.4772727272727273	0.5806451612903225
Investor Timing and Fund Distribution Channels	0.6	0.5454545454545454	0.6111111111111112	0.6511627906976745	0.625	0.48484848484848486	0.7142857142857143	0.5365853658536586	0.5769230769230769
Performance and Characteristics of Actively Managed Retail Equity Mutual Funds with Diverse Expense Ratios	0.4807692307692307	0.4130434782608695	0.627906976744186	0.6599999999999999	0.5777777777777777	0.4473684210526315	0.6829268292682926	0.43181818181818177	0.6060606060606061
Ranking Mutual Fund Families Minimum Expenses and Maximum Loads as Markers for Moral Turpitude	0.6153846153846154	0.5	0.631578947368421	0.6666666666666667	0.6097560975609756	0.5142857142857142	0.6944444444444444	0.5909090909090908	0.6071428571428572
Search Costs and Mutual Fund Fee Dispersion	0.6666666666666667	0.5909090909090908	0.5882352941176471	0.6341463414634146	0.6052631578947368	0.5	0.7352941176470589	0.5853658536585367	0.5416666666666667
The Cost of Active Investing	0.6938775510204082	0.6818181818181819	0.7428571428571429	0.7619047619047619	0.7105263157894737	0.625	0.7419354838709677	0.6153846153846154	0.6521739130434783
The Economics of MutualFund Brokerage Evidence from the Cross Section of Investment Channels	0.5576923076923077	0.4666666666666667	0.625	0.6595744680851063	0.6046511627906976	0.5135135135135135	0.717948717948718	0.4883720930232558	0.6
The Influence of Financial Advice on Individual Investor Portfolio Performance	0.5714285714285714	0.5454545454545454	0.6111111111111112	0.6818181818181819	0.5897435897435898	0.48484848484848486	0.6764705882352942	0.5365853658536586	0.52
The Use and Abuse of Mutual Fund Expenses	0.62	0.6304347826086957	0.7105263157894737	0.7333333333333334	0.7142857142857143	0.6	0.7058823529411764	0.627906976744186	0.6153846153846154
Yet Another Puzzle Relation Between Price and Performance in the Mutual Fund Industry	0.5294117647058824	0.5625	0.5897435897435898	0.6595744680851063	0.5714285714285714	0.5897435897435898	0.6842105263157895	0.5227272727272727	0.5517241379310345
Are Mutual Fund Fees Competitive What IQRelated Behavior Tells Us	0.5294117647058824	0.5918367346938775	0.6904761904761905	0.6875	0.6666666666666667	0.5897435897435898	0.75	0.5555555555555556	0.6451612903225806
Financial Literacy and Mutual Fund Investments Who Buys Actively Managed Funds	0.5686274509803921	0.5434782608695652	0.641025641025641	0.6739130434782609	0.6511627906976745	0.5277777777777778	0.7027027027027026	0.5348837209302326	0.5714285714285714
Investment Returns Defined Benefits vs 401k Plans	0.607843137254902	0.5869565217391304	0.5428571428571429	0.627906976744186	0.5641025641025641	0.5428571428571429	0.6857142857142857	0.5813953488372092	0.6428571428571428
Pension Participant Knowledge About Plan Fees	0.5918367346938775	0.6	0.5151515151515151	0.6097560975609756	0.5789473684210527	0.5588235294117647	0.625	0.5609756097560976	0.6153846153846154
The Economics of Providing 401k Plans Services Fees and Expenses 2006	0.5192307692307692	0.4565217391304348	0.5384615384615384	0.5869565217391304	0.5581395348837209	0.37142857142857144	0.6666666666666667	0.4418604651162791	0.7058823529411764
The Performance of US Pension Funds	0.6326530612244898	0.6136363636363636	0.6176470588235294	0.6585365853658536	0.631578947368421	0.5757575757575757	0.7647058823529411	0.6428571428571428	0.5217391304347826
Are SP 500 Index Mutual Funds Commodities	0.607843137254902	0.5227272727272727	0.5428571428571429	0.5952380952380952	0.5641025641025641	0.5833333333333333	0.6470588235294117	0.5476190476190477	0.6428571428571428
