	Clash in Alabama Over Tennessee Coal Ash‚Äù The New York Times	Plantbyplant disaggregated data comparison to statewide benchmarks	Statebystate aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3 On a plantbyplant basis EPA compared the plant ZCTA percentage children to the respective statewide average percentage children Step 4 For purpose of summary EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below There are no data displayed for DC ID RI or VT because there are no coalfired electric utility plants in those states	administration and enforcement costs to RCRAauthorized state government programsagencies Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132 not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods ie numerical tests for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù	25 million test Annualized direct compliance cost expenditures to statelocal governments	1 test Annualized direct compliance costs faced by statelocal governments is likely to equal or exceed 1 of their annual revenues  Note Page 29 of ‚ÄúAttachment A Guidance for Implementing the Federalism 1 Test‚Äù to EPA‚Äôs Nov	Private sector 100 million direct cost threshold test	Statelocal government 100 million direct cost threshold test	25 million threshold test subtotal StateLocal govt cost 967	Statelocal govt cost as percentage of StateLocal government electric utility annual revenues	227 0131 0215 Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plantbyplant internet research on type of ownership Size class determined according to the following numerical criteria consistent with EPA‚Äôs
Coal Ash Disposal Varies From Company to Company	0.65	0.5900000000000001	0.61	0.5700000000000001	0.61	0.5900000000000001	0.63	0.69	0.6699999999999999	0.63	0.61	0.5900000000000001
Shocking Electricity Prices Follow Deregulation	0.6599999999999999	0.69	0.6599999999999999	0.5800000000000001	0.5800000000000001	0.62	0.62	0.62	0.64	0.6599999999999999	0.6	0.54
Coal Plant OM Retrofit FlyashHandling System Pays Dividends	0.6699999999999999	0.65	0.65	0.62	0.62	0.65	0.63	0.65	0.64	0.6699999999999999	0.62	0.62
Arsenic in Drinking Water 2001 Update	0.71	0.65	0.65	0.5700000000000001	0.5700000000000001	0.65	0.6	0.63	0.63	0.71	0.65	0.5700000000000001
Definitions of “inactive” and “abandoned” coal waste impoundments	0.63	0.62	0.62	0.5700000000000001	0.53	0.5700000000000001	0.5900000000000001	0.65	0.65	0.65	0.62	0.5900000000000001
2007 Economic Census	0.7	0.7	0.7	0.65	0.55	0.6	0.55	0.6	0.6	0.65	0.65	0.65
EIA767	0.84	1.0	1.0	0.6699999999999999	0.6699999999999999	0.84	0.6699999999999999	1.0	1.0	0.6699999999999999	1.0	0.6699999999999999
EIA860 	0.86	0.86	0.86	0.5800000000000001	0.5800000000000001	0.86	0.72	0.72	0.72	0.86	0.86	0.5800000000000001
EIA923	0.84	1.0	1.0	0.6699999999999999	0.6699999999999999	0.84	0.6699999999999999	1.0	1.0	0.84	1.0	0.6699999999999999
Electric Power Monthly 	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.48	0.53	0.5700000000000001	0.5700000000000001	0.5700000000000001	0.5700000000000001	0.61	0.48	0.53
