	Ahold announced the pending purchase of Supermarket GeneralII Holdings Corporation parent of the Pathmark chain Similarly SUPERVALUE acquired Richfood Food Lion bought out Hannaford Brothers and Scarborough and Albertson’s purchased American Stores Sean Mehegan ‘‘Consolidation Changes the Face of the North American Supermarket Sector’’ Meat  Poultry	Agricultural Handbook No	King Marketing Services	Safety Commission Miller et al ‘‘The Consumer Product Safety Commission’s Revised Injury Cost Model’’ Peer Review Draft Prepared for the US Consumer Product Safety Commission	Food Safety Efforts Accelerate in the 1990’s’’ Food Review	The Economic Benefits of Nutrition Labeling A Case Study for Fresh Meat and Poultry Products’’	Re Docket 98– 005F Food Safety and Inspection Service Proposed Rule ‘‘Nutrition Labeling of Ground or Chopped Meat and Poultry Products and SingleIngredient Products’’ Comments submitted to the FSIS Docket Clerk	Drug Administration 60 FR 65095	Drug Administration 68 FR 41434–41504	Read the Label Reducing Risk by Providing Information	Information Advertising and Health Choices	Information Advertising and Health A Study of the Cereal Market’’ In Economics of Food Safety	Information and Advertising The Case of	The Effect of Food Label Use on Nutrient Intakes An Endogenous Switching Regression Analysis’’	Assigning Value to Life Comparing Methods for Valuing Health Risks Agricultural Economic	A New Approach to Consumer Theory’’	Informational Approaches to Regulation	Offsetting Behavior in Reducing High Cholesterol Substitution of Medication for Diet and Lifestyle Changes’’	Food companies spread nutrition information through advertising and labels Food Review	Personnal communication with Mary Muth RTI International Research	A Quasi Experiment to Assess the Consumer and Informational Determinants of Nutrition Information Processing Activities The Case of the Nutrition Labeling and Education Act’’	FDA Labeling Cost Model’’ Prepared for the US Food and Drug Administration Center for Food Safety and Applied Nutrition Research Triangle Park NC	National Cattlemen’s Beef Association	The Journey towards Retail Meat Case Nutrition Labeling A white paper	Uniform Retail Meat Identity Standards	The NMI Health and Wellness Trends Database	As reported in Food Technology ‘‘What When and Where Americans Eat	Use of food nutrition labels is associated with lower fat intake’’	The Imperative to Warn Disentangling the ‘‘Right to Know’’ from the ‘‘Need to Know’’ about Consumer Product Hazards’’	Guidelines for Ensuring and Maximizing the Quality Objectivity Utility and Integrity of Information Disseminated by Federal Agencies	Cost Analysis for Nutrition Labeling of Ground Chopped and SingleIngredient Meat and Poultry VerDate	Personal communication with Mary Muth RTI International Research	Does Nutrition Labeling Lead to Healthier Eating’’	Measuring the welfare effects of nutrition information	Hedonic Prices and Implicit Markets Product Differentiation in	Department of Agriculture 1994–1996 Continuing survey of food intake by individuals CSFII and companion diet and health knowledge survey DHKS	Survey years 1994–1996	Nutrition LabelingSafe Handling Information Study—Raw Meat and Poultry Prepared by Retail Diagnostics	Department of Agriculture Agricultural Research Service	Do Nutrition Labels Improve Dietary Outcomes	DietHealth Information and Nutrition The Intake of Dietary Fats	Fatal Tradeoffs—Public  Private Responsibilities for Risk	Estimated Benefits of Nutrition Label Changes Final Report	Potential Health Benefits of Nutrition Label Changes’’	Section 381400 is revised to read as follows
A Quasi Experiment to Assess the Consumer and Informational Determinants of Nutrition Information Processing Activities The Case of the Nutrition Labeling and Education Act	0.5700000000000001	0.63	0.53	0.6	0.65	0.53	0.62	0.5900000000000001	0.65	0.5	0.45999999999999996	0.5700000000000001	0.36	0.61	0.6	0.5700000000000001	0.37	0.5900000000000001	0.48	0.54	0.0	0.5800000000000001	0.47	0.48	0.56	0.63	0.5900000000000001	0.55	0.64	0.5700000000000001	0.56	0.54	0.44999999999999996	0.41000000000000003	0.55	0.62	0.75	0.56	0.5900000000000001	0.48	0.44999999999999996	0.6	0.43999999999999995	0.49	0.62
Food companies spread nutrition information through advertising and labels	0.55	0.6699999999999999	0.5700000000000001	0.63	0.65	0.55	0.56	0.62	0.7	0.5700000000000001	0.31000000000000005	0.63	0.36	0.55	0.61	0.65	0.48	0.55	0.0	0.5700000000000001	0.45999999999999996	0.53	0.62	0.5800000000000001	0.5	0.63	0.62	0.5700000000000001	0.63	0.53	0.53	0.5700000000000001	0.5	0.49	0.5700000000000001	0.5900000000000001	0.75	0.53	0.64	0.5700000000000001	0.54	0.6799999999999999	0.5700000000000001	0.61	0.6
Food Safety Efforts Accelerate in the 1990�s	0.62	0.6699999999999999	0.7	0.62	0.050000000000000044	0.5700000000000001	0.53	0.64	0.7	0.75	0.62	0.64	0.5800000000000001	0.6	0.62	0.7	0.64	0.6	0.62	0.64	0.62	0.48	0.6699999999999999	0.6	0.64	0.6699999999999999	0.62	0.6	0.69	0.6	0.64	0.64	0.64	0.6599999999999999	0.64	0.6599999999999999	0.6699999999999999	0.64	0.64	0.64	0.64	0.6599999999999999	0.64	0.64	0.69
Offsetting Behavior in Reducing High Cholesterol Substitution of Medication for Diet and Lifestyle Changes	0.62	0.71	0.53	0.63	0.69	0.6	0.5900000000000001	0.62	0.7	0.5700000000000001	0.53	0.62	0.54	0.6599999999999999	0.61	0.7	0.61	0.0	0.5800000000000001	0.6	0.5900000000000001	0.61	0.5900000000000001	0.5800000000000001	0.56	0.63	0.62	0.6	0.65	0.6	0.5900000000000001	0.6	0.5800000000000001	0.52	0.6	0.62	0.75	0.5800000000000001	0.64	0.55	0.5800000000000001	0.65	0.56	0.53	0.6
The Imperative to Warn Disentangling the ��Right to Know�� from the ��Need to Know�� about Consumer Product Hazards	0.6	0.71	0.5700000000000001	0.5800000000000001	0.6799999999999999	0.6	0.5700000000000001	0.65	0.7	0.61	0.55	0.5900000000000001	0.52	0.64	0.64	0.5700000000000001	0.61	0.64	0.63	0.64	0.6	0.61	0.6699999999999999	0.5700000000000001	0.61	0.5900000000000001	0.6599999999999999	0.63	0.20999999999999996	0.64	0.61	0.65	0.62	0.6	0.63	0.6599999999999999	0.71	0.63	0.6799999999999999	0.62	0.5800000000000001	0.7	0.64	0.64	0.62
Information Advertising and Health A Study of the Cereal Market In Economics of Food Safety ed Julie Caswell	0.5900000000000001	0.6699999999999999	0.53	0.61	0.63	0.6	0.62	0.6799999999999999	0.72	0.61	0.17000000000000004	0.06999999999999995	0.31000000000000005	0.64	0.5800000000000001	0.6699999999999999	0.48	0.61	0.6	0.64	0.56	0.5800000000000001	0.65	0.63	0.56	0.5900000000000001	0.62	0.62	0.63	0.61	0.63	0.63	0.5800000000000001	0.6	0.5700000000000001	0.62	0.71	0.6	0.64	0.62	0.53	0.6699999999999999	0.63	0.5700000000000001	0.62
Informational Approaches to Regulation	0.5	0.6699999999999999	0.6599999999999999	0.64	0.61	0.5800000000000001	0.5800000000000001	0.6799999999999999	0.72	0.69	0.44999999999999996	0.48	0.48	0.61	0.61	0.61	0.0	0.61	0.48	0.56	0.37	0.56	0.53	0.61	0.5800000000000001	0.69	0.6599999999999999	0.56	0.61	0.5800000000000001	0.61	0.56	0.53	0.61	0.64	0.61	0.8	0.5	0.64	0.53	0.44999999999999996	0.61	0.56	0.53	0.61
Read the Label Reducing Risk by Providing Information	0.5900000000000001	0.71	0.61	0.5700000000000001	0.72	0.5900000000000001	0.5900000000000001	0.65	0.69	0.0	0.7	0.63	0.7	0.5900000000000001	0.5700000000000001	0.75	0.69	0.5700000000000001	0.5700000000000001	0.5900000000000001	0.5	0.5900000000000001	0.65	0.63	0.69	0.6799999999999999	0.6799999999999999	0.5700000000000001	0.65	0.53	0.5700000000000001	0.5900000000000001	0.61	0.43999999999999995	0.5900000000000001	0.5700000000000001	0.8	0.5	0.7	0.64	0.65	0.64	0.6	0.63	0.62
What When and Where American Eat	0.5	0.71	0.5700000000000001	0.6	0.63	0.63	0.5700000000000001	0.75	0.75	0.63	0.6	0.5700000000000001	0.54	0.63	0.63	0.69	0.6599999999999999	0.63	0.5700000000000001	0.63	0.5700000000000001	0.5700000000000001	0.63	0.63	0.6599999999999999	0.47	0.040000000000000036	0.63	0.6	0.63	0.5700000000000001	0.63	0.5700000000000001	0.63	0.6	0.6	0.75	0.6	0.6	0.63	0.6	0.6599999999999999	0.6	0.63	0.69
Assigning Value to Life Comparing Methods for Valuing Health Risks	0.6	0.6699999999999999	0.5700000000000001	0.6	0.6699999999999999	0.6	0.61	0.65	0.7	0.61	0.48	0.64	0.5900000000000001	0.64	0.0	0.65	0.61	0.5800000000000001	0.5800000000000001	0.5900000000000001	0.6	0.61	0.6699999999999999	0.61	0.61	0.6599999999999999	0.6599999999999999	0.64	0.6699999999999999	0.63	0.61	0.6	0.56	0.5800000000000001	0.63	0.5700000000000001	0.71	0.61	0.64	0.62	0.63	0.65	0.5900000000000001	0.63	0.62
