	Simplified Flow Sheet of Clinker and Cement Manufacture........................................ 2-2 2-2. Labor Costs per Metric Ton of Cement	Current Employment Statistics (National): Customizable Data Tables” Available at As obtained on	Consumer Price Index All Items – U.S. City Average Data: Customizable Data Tables.” Available at As obtained on	Cement Association.	Cement Association. 2008b. “Market Research: Producer Price Indices—Competitive Building Materials.” Available at	Cement Association (PCA).	Department of Commerce, Bureau of the Census.	DC: Government Printing Office. Available at As obtained on	the Census.	Optimal Tariffs and Market Power: The Evidence.” American Economic Review 98(5):2032-2065.	Estimating Particulate MatterMortality Dose-Response Curves and Threshold Levels: An Analysis of Daily TimeSeries for the 20 Largest	A Micro-Econometric Model of Capital Utilization and Retirement: The Case of the U.S.	D&B Million Dollar Directory.	Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship Between	Multimarket Contact and Pricing: Evidence from the U.S.	Historical Statistics for Mineral and Material Commodities in the United States: Cement End Use Statistics.” U.S. Geological Survey Data Series 140, Version 1.2. Available at	Historical Statistics for Mineral and Material Commodities in the United States: Cement Supply and	Reanalysis of the Harvard Six Cities Study and the American Cancer Society Study of Particulate Air Pollution and Mortality. Special Report to the Health Effects Institute.	Reduction in Fine Particulate Air Pollution and Mortality.”	Estimating the Public Health Benefits of Proposed Air Pollution Regulations.	Price and Seller Concentration in Cement: Effective Oligopoly or	Circular A-4: Regulatory Analysis.	Invited Commentary: Particulate Matter-Mortality Exposure-Response Relations and Thresholds.”	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	U.S. and Canadian Portland Cement Industry: Plant Information Summary.	U.S. and Canadian Labor-Energy Input Survey	Flash Report: Capacity Expansion Update.” Available at < http://www.cement.org/econ/pdf/NONMEMBERCapacity Expansion.pdf>. As obtained on	Association (PCA). 2008a. “Cement and Concrete Basics: History & Manufacture of Portland Cement.” Available at concretebasics_history.asp>.	Association (PCA). 2008b. “Market Research: Producer Price Indices— Competitive Building Materials.” Available at	Association (PCA).	Cement Plant Operating Cost Study.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S. Environ. Sci.	Air Pollution and Cause-Specific Mortality in Milan, Italy, 1980–1989.” Arch Environ Health	The Cost of Environmental Regulation in a Concentrated Industry.” Available at	The Concentration-Response Relation between PM(2.5) and Daily Deaths.” Environ Health Perspectives	The Effect of Dose and Timing of Dose on the Association between Airborne Particles and Survival.” Environmental Health Perspectives	Using Meta-Smoothing to Estimate Dose-Response Trends Across Multiple Studies, with Application to Air Pollution and Daily Death.”	Threshold Dependence of Mortality Effects for Fine and Coarse Particles in Phoenix,	of the Census.	of the Census; generated by RTI International; using American FactFinder; “Sector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries:	Department of Commerce, Bureau of Economic Analysis.	Department of Energy, Energy Information Administration.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey. 2008b. Minerals Commodity Summaries, Cement	Statistics (BLS). 2007b. “State and Area Employment, Hours and Earnings	Regulatory Impact Analysis of Cement Kiln Dust Rulemaking. Appendix C,	Environmental Protection Agency (EPA).	Environmental Protection Agency.	Environmental Protection Agency, Office of Air Quality Planning and Standards.	Environmental Protection Agency Science Advisory	Advisory on Plans for Health Effects Analysis for EPA’s Second Prospective Analysis— Benefits and Costs of the Clean Air Act,	International Trade Commission (USITC). 2006. Gray Portland Cement and Cement Clinker from Japan Investigation No. 731-TA-461 (Second Review). Publication 3856. Available at	Trade Commission.	Cement Manufacture and the Environment Part I: Chemistry and	Microeconomic Analysis. 3rd Ed.
The ConcentrationResponse Relation between PM25 and Daily Deaths	0.63	0.5800000000000001	0.65	0.5	0.62	0.55	0.63	0.6	0.4	0.6799999999999999	0.55	0.5800000000000001	0.63	0.37	0.64	0.6	0.61	0.6	0.6	0.6	0.56	0.65	0.5	0.63	0.65	0.6799999999999999	0.65	0.63	0.62	0.54	0.62	0.6	0.65	0.54	0.0	0.52	0.49	0.61	0.54	0.5800000000000001	0.6599999999999999	0.65	0.69	0.65	0.6599999999999999	0.6699999999999999	0.55	0.55	0.63	0.61	0.63	0.5800000000000001	0.5700000000000001	0.62	0.6599999999999999
The Effect of Dose and Timing of Dose on the Association between Airborne Particles and Survival	0.64	0.62	0.63	0.22999999999999998	0.5800000000000001	0.28	0.54	0.55	0.4	0.65	0.62	0.5900000000000001	0.6	0.5700000000000001	0.5800000000000001	0.5800000000000001	0.61	0.5900000000000001	0.5	0.62	0.61	0.6799999999999999	0.65	0.61	0.63	0.5800000000000001	0.6699999999999999	0.61	0.63	0.19999999999999996	0.64	0.54	0.6699999999999999	0.56	0.5700000000000001	0.0	0.54	0.54	0.39	0.62	0.5800000000000001	0.56	0.5800000000000001	0.62	0.65	0.64	0.55	0.5900000000000001	0.6	0.5700000000000001	0.5800000000000001	0.5900000000000001	0.5700000000000001	0.53	0.63
Threshold Dependence of Mortality Effects for Fine and Coarse Particles in Phoenix Arizona	0.62	0.62	0.63	0.62	0.63	0.6	0.56	0.5700000000000001	0.7	0.63	0.5900000000000001	0.61	0.63	0.62	0.5800000000000001	0.56	0.56	0.5800000000000001	0.54	0.63	0.5900000000000001	0.65	0.6	0.53	0.63	0.6	0.62	0.5900000000000001	0.63	0.6	0.64	0.49	0.5800000000000001	0.6	0.63	0.55	0.62	0.0	0.62	0.62	0.5800000000000001	0.56	0.62	0.63	0.61	0.61	0.5800000000000001	0.5900000000000001	0.5800000000000001	0.5800000000000001	0.56	0.64	0.63	0.56	0.6599999999999999
Cement Plant Operating Cost Study	0.55	0.52	0.64	0.5	0.61	0.5	0.61	0.55	0.6	0.7	0.61	0.5800000000000001	0.6699999999999999	0.55	0.5800000000000001	0.52	0.55	0.49	0.61	0.61	0.5800000000000001	0.71	0.55	0.61	0.45999999999999996	0.5800000000000001	0.64	0.52	0.64	0.6	0.0	0.5800000000000001	0.61	0.52	0.61	0.61	0.61	0.61	0.7	0.5800000000000001	0.61	0.61	0.5800000000000001	0.5800000000000001	0.5800000000000001	0.49	0.5900000000000001	0.5900000000000001	0.5800000000000001	0.5800000000000001	0.61	0.49	0.63	0.52	0.69
Microeconomic Analysis 3rd Ed	0.69	0.6599999999999999	0.6599999999999999	0.6699999999999999	0.6599999999999999	0.69	0.6599999999999999	0.6599999999999999	0.6	0.56	0.52	0.44999999999999996	0.75	0.6599999999999999	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.6599999999999999	0.6599999999999999	0.69	0.6599999999999999	0.56	0.63	0.63	0.73	0.73	0.69	0.63	0.6599999999999999	0.6	0.73	0.6599999999999999	0.6599999999999999	0.63	0.6599999999999999	0.63	0.5900000000000001	0.6599999999999999	0.62	0.5900000000000001	0.33999999999999997	0.63	0.63	0.63	0.6599999999999999	0.52	0.5900000000000001	0.63	0.56	0.56	0.49	0.6599999999999999	0.63	0.5900000000000001	0.0
USITC Interactive Tariff and Trade DataWeb	0.62	0.6	0.55	0.62	0.62	0.64	0.69	0.6	0.7	0.6	0.62	0.65	0.71	0.62	0.6	0.6	0.6	0.62	0.5800000000000001	0.7	0.65	0.6799999999999999	0.6699999999999999	0.65	0.62	0.65	0.65	0.62	0.62	0.74	0.64	0.62	0.65	0.62	0.6	0.62	0.62	0.5800000000000001	0.7	0.55	0.7	0.7	0.7	0.65	0.62	0.65	0.72	0.71	0.62	0.72	0.62	0.5800000000000001	0.63	0.62	0.6599999999999999
nan	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.33999999999999997	0.33999999999999997	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.6699999999999999	0.33999999999999997	0.33999999999999997	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.33999999999999997	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.33999999999999997	0.6699999999999999	0.33999999999999997	0.33999999999999997
 Electric Power Annual 2005	0.6	0.63	0.6699999999999999	0.6699999999999999	0.6	0.69	0.63	0.63	0.6	0.6	0.6	0.56	0.74	0.63	0.6699999999999999	0.56	0.56	0.63	0.6699999999999999	0.63	0.63	0.61	0.63	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6	0.6	0.6	0.6699999999999999	0.6699999999999999	0.63	0.6699999999999999	0.6	0.56	0.63	0.56	0.62	0.49	0.63	0.6	0.63	0.63	0.6	0.6699999999999999	0.63	0.6699999999999999	0.56	0.63	0.56	0.63	0.75	0.6699999999999999	0.63
 Estimating the Public Health Benefits of Proposed Air Pollution Regulations	0.64	0.61	0.63	0.56	0.62	0.6	0.56	0.62	0.5	0.6599999999999999	0.56	0.64	0.56	0.56	0.6	0.61	0.62	0.47	0.54	0.0	0.64	0.55	0.6	0.5700000000000001	0.64	0.6799999999999999	0.65	0.6	0.62	0.54	0.64	0.6	0.6599999999999999	0.64	0.62	0.61	0.52	0.65	0.54	0.63	0.5800000000000001	0.54	0.5800000000000001	0.65	0.64	0.6	0.63	0.62	0.6	0.63	0.6	0.6	0.63	0.63	0.69
2000 Minerals Yearbook Cement	0.49	0.6599999999999999	0.6599999999999999	0.6699999999999999	0.5900000000000001	0.73	0.63	0.69	0.6	0.6599999999999999	0.63	0.5900000000000001	0.63	0.63	0.69	0.52	0.52	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.56	0.69	0.69	0.63	0.56	0.6599999999999999	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.6699999999999999	0.69	0.63	0.69	0.5900000000000001	0.63	0.5900000000000001	0.6599999999999999	0.63	0.62	0.6599999999999999	0.69	0.63	0.69	0.42000000000000004	0.63	0.52	0.5900000000000001	0.5900000000000001	0.6599999999999999	0.5900000000000001	0.63	0.49	0.69	0.5900000000000001	0.69
