	Sources of GHG Emissions Considered .................................................................... 2-5 2-2. GHG Source Categories Included in the Regulatory Analyses ................................. 2-6 3-1. Options Considered in Developing Scenarios (Recommended Option Indicated by Shading) ................................................................................................ 3-2 4-1. Selected Reporting Thresholds and Reporting Requirements ................................... 4-1 4-2. Per Unit Cost Breakdown by Monitoring Category: Stationary Combustion (2006$)..................................................................................................................... 4-23 4-2a. Detailed Summary of Stationary Combustion Monitoring Category Costs: CEMS-Add CO2 Analyzer and Flow Meter (2006$)............................................... 4-25 4-2b. Detailed Summary of Stationary Combustion Monitoring Category Costs: CEMS-Add CO2 Analyzer Only	Subpart I Electronics: Labor Costs	Environmental Protection Agency. Preamble to the Proposed Mandatory Greenhouse Gas Reporting Rule;	Office of Management and Budget. Circular A-4,	Personal Communication between Harold Falls of CF Industries and Erin Redmond of Research Triangle Institute (RTI),	Personal Communication between Stephen Jasinski of the US Geological Survey and Mausami Desai of US EPA.	Wage Rates for Economic Analyses of the Toxics Release Inventory Program.” Analytical Support Branch, Environmental Analysis Division, Office of Environmental Information,	The Cost Methodology for the Final Revisions to the National Pollutant Discharge Elimination System Regulation and the Effluent Guidelines for Concentrated Animal Feeding Operations,	5.3 References Glass Factory Directory (GFD).	for Environmental Policy Solutions, Duke University.	Pew Center on Global Climate Change.	Draft Industry Profile for the Cement Industry. Prepared for the U.S. Environmental Protection Agency.	Finances of County Governments:	Finances of Municipal and Township Governments:	Environmental Protection Agency (EPA).	Business Administration (SBA).	Business Administration (SBA). 2008c. Table of Small Business Size Standards Matched to North American Industry Classification System Codes. Effective	Carbon Taxes Versus Carbon Markets: What’s the Best Way to Limit Emissions?” The American.	The Benefits and Costs of Environmental Information Disclosure: What Do We Know About Right-to-Know?” Resources for the Future,	Risk, Regulation and the Right to Know: Exploring the Impacts of Access to	Pollution as News: Media and Stock Market Reactions to the Toxics Release Inventory Data.”	Uncertainty in Greenhouse Gas Inventories.” IIASA Policy Brief No.	Information as Regulation: The Effect of Community Right-toKnow Laws on Toxic Emissions.”	Organization for Economic Co-Operation and Development (OECD).	Attitudes Project.	Building Trust in Emissions Reporting: Global Trends in Emissions Trading Schemes. http://www.pwc.com/extweb/pwcpublications.nsf/ docid/8df4237f6b2f7fcf8525728300503b70 Social Investment Forum.	Promoting ‘Green’ Consumer Behavior with Eco Labels.”	Greening Industry: New Roles for Communities, Markets, and Governments.	Barriers and Opportunities: A Review of Selected Successful Energy Efficiency Programs.	Estimated Private and Government Costs in Selected Sectors (103 $2006) Public/Private Respondent Stationary Electricity Breakdown Landfills Combustion Generation LDCs Costs of private respondents $4,436 $22,527 $2,813 $298 Costs of state/local/tribal $7,247 $3,817 $398 $753 government (SLTG) respondents Costs of federal respondents (fed $127 $0 $53 $0 owned/operated) Total costs by sector $11,990 $26,344 $3,264 $1,050 Note: Columns may not sum to totals due to rounding. Subpart C—General Stationary Fuel Combustion Sources $29.0 17% $24.4 18% Subpart D—Electricity Generation $3.3 2% $3.3 2% Subpart H—Cement Production $6.9 4% $4.3 3% Subpart I—Electronics Manufacturing $3.6 2% $3.6 3% Subpart Q—Iron and Steel Production $18.2 11% $14.1 11% Subpart S—Lime Manufacturing $5.3 3% $3.0 2% Subpart W—Oil and Natural Gas Systems $32.5 19% $28.1 21% Subpart Y—Petroleum	Reporting from upstream sources only; recommended option for methodology, 7.9 National Technology Transfer Advancement Act Section 12(d) of the National Technology Transfer and Advancement Act of
Carbon Taxes Versus Carbon Markets What�s the Best Way to Limit Emissions	0.452054794520548	0.36363636363636365	0.37254901960784315	0.4347826086956522	0.3846153846153846	0.3793103448275862	0.38983050847457623	0.4137931034482759	0.5454545454545454	0.4042553191489362	0.4285714285714286	0.4339622641509434	0.39534883720930236	0.41666666666666663	0.47619047619047616	0.4	0.33333333333333337	0.12727272727272732	0.38983050847457623	0.4117647058823529	0.4181818181818182	0.5	0.33333333333333337	0.5217391304347826	0.5789473684210527	0.46031746031746035	0.37037037037037035	0.4	0.46153846153846156	0.4683544303797469	0.4814814814814815
Greening Industry New Roles for Communities Markets and Governments	0.34246575342465757	0.40909090909090906	0.2549019607843137	0.30434782608695654	0.2692307692307693	0.24137931034482762	0.38983050847457623	0.24137931034482762	0.36363636363636365	0.3191489361702128	0.33333333333333337	0.28301886792452835	0.2558139534883721	0.25	0.38095238095238093	0.4	0.29824561403508776	0.4545454545454546	0.3220338983050848	0.2549019607843137	0.2727272727272727	0.34615384615384615	0.2962962962962963	0.34782608695652173	0.5263157894736843	0.3650793650793651	0.37037037037037035	0.0	0.2692307692307693	0.36708860759493667	0.2962962962962963
Promoting �Green� Consumer Behavior with Eco Labels	0.3783783783783784	0.28888888888888886	0.23076923076923073	0.36170212765957444	0.24528301886792447	0.2542372881355932	0.3666666666666667	0.3220338983050848	0.4666666666666667	0.33333333333333337	0.2093023255813954	0.2962962962962963	0.31818181818181823	0.30612244897959184	0.3023255813953488	0.41463414634146345	0.3448275862068966	0.3571428571428571	0.30000000000000004	0.34615384615384615	0.4285714285714286	0.3584905660377359	0.3090909090909091	0.36170212765957444	0.4871794871794872	0.34375	0.12727272727272732	0.33333333333333337	0.28301886792452835	0.42500000000000004	0.4181818181818182
Bulletin Using Design for the Environment Concepts in Your EMS	0.34246575342465757	0.31818181818181823	0.2941176470588235	0.30434782608695654	0.34615384615384615	0.2068965517241379	0.288135593220339	0.24137931034482762	0.4545454545454546	0.23404255319148937	0.4285714285714286	0.16981132075471694	0.34883720930232553	0.29166666666666663	0.38095238095238093	0.4	0.29824561403508776	0.4181818181818182	0.3220338983050848	0.33333333333333337	0.4181818181818182	0.34615384615384615	0.37037037037037035	0.26086956521739135	0.5263157894736843	0.3650793650793651	0.33333333333333337	0.36	0.2692307692307693	0.4177215189873418	0.33333333333333337
How Are the Toxics Release Inventory Data Used�Government Business Academic and Citizen Uses	0.26582278481012656	0.43999999999999995	0.29824561403508776	0.3846153846153846	0.27586206896551724	0.28125	0.29230769230769227	0.28125	0.4	0.3584905660377359	0.41666666666666663	0.2542372881355932	0.34693877551020413	0.2962962962962963	0.41666666666666663	0.3913043478260869	0.2698412698412699	0.3770491803278688	0.2615384615384615	0.29824561403508776	0.2786885245901639	0.31034482758620685	0.30000000000000004	0.3846153846153846	0.5	0.33333333333333337	0.3666666666666667	0.2857142857142857	0.31034482758620685	0.4117647058823529	0.33333333333333337
 Barriers and Opportunities A Review of Selected Successful Energy Efficiency Programs	0.28	0.34782608695652173	0.16981132075471694	0.25	0.2592592592592593	0.19999999999999996	0.180327868852459	0.16666666666666663	0.3913043478260869	0.22448979591836737	0.40909090909090906	0.1636363636363637	0.33333333333333337	0.28	0.2272727272727273	0.2857142857142857	0.288135593220339	0.4385964912280702	0.2786885245901639	0.2075471698113207	0.33333333333333337	0.2962962962962963	0.3214285714285714	0.25	0.4	0.29230769230769227	0.3214285714285714	0.2692307692307693	0.0	0.3580246913580247	0.2142857142857143
2007 Report on Socially Responsible Investing Trends in the United States Executive Summary	0.28205128205128205	0.30612244897959184	0.2142857142857143	0.4509803921568627	0.26315789473684215	0.2698412698412699	0.25	0.2698412698412699	0.4693877551020408	0.3076923076923077	0.44680851063829785	0.2068965517241379	0.41666666666666663	0.3207547169811321	0.36170212765957444	0.4222222222222223	0.22580645161290325	0.4	0.3125	0.25	0.30000000000000004	0.368421052631579	0.288135593220339	0.37254901960784315	0.5348837209302326	0.17647058823529416	0.38983050847457623	0.34545454545454546	0.26315789473684215	0.3571428571428571	0.18644067796610164
Building Trust in Emissions Reporting Global Trends in Emissions Trading Schemes	0.33333333333333337	0.2558139534883721	0.16000000000000003	0.33333333333333337	0.21568627450980393	0.26315789473684215	0.27586206896551724	0.22807017543859653	0.39534883720930236	0.34782608695652173	0.31707317073170727	0.2692307692307693	0.38095238095238093	0.23404255319148937	0.36585365853658536	0.28205128205128205	0.2857142857142857	0.37037037037037035	0.27586206896551724	0.24	0.37037037037037035	0.37254901960784315	0.3207547169811321	0.33333333333333337	0.45945945945945943	0.22580645161290325	0.28301886792452835	0.34693877551020413	0.21568627450980393	0.41025641025641024	0.24528301886792447
Greenhouse Gas Reporting and Disclosure Key Elements of a Perspective US Program	0.2894736842105263	0.36170212765957444	0.14814814814814814	0.3877551020408163	0.2727272727272727	0.14754098360655743	0.22580645161290325	0.14754098360655743	0.3191489361702128	0.16000000000000003	0.37777777777777777	0.1071428571428571	0.30434782608695654	0.2549019607843137	0.28888888888888886	0.39534883720930236	0.33333333333333337	0.48275862068965514	0.29032258064516125	0.2222222222222222	0.31034482758620685	0.2727272727272727	0.29824561403508776	0.26530612244897955	0.46341463414634143	0.303030303030303	0.33333333333333337	0.28301886792452835	0.1636363636363637	0.3902439024390244	0.22807017543859653
Rising Environmental Concern in 47Nation Survey	0.4084507042253521	0.2857142857142857	0.26530612244897955	0.31818181818181823	0.31999999999999995	0.3214285714285714	0.33333333333333337	0.25	0.38095238095238093	0.24444444444444446	0.4	0.2549019607843137	0.2682926829268293	0.3913043478260869	0.25	0.368421052631579	0.3090909090909091	0.4339622641509434	0.368421052631579	0.34693877551020413	0.3584905660377359	0.36	0.3076923076923077	0.31818181818181823	0.5	0.34426229508196726	0.34615384615384615	0.25	0.24	0.4025974025974026	0.23076923076923073
