	23 Sources: Colorado Mineral and Energy Industry Activities,	24 This calculation assumes that the 110 million tons of recoverable reserves in roadless area estimated for the 2001 Rule in the Energy Minerals section of the RDEIS are included within the 180.9 million tons of reserves estimated by the State of Colorado the energy roadless model area,	Activity/Effects Value of Production ($ millions) Employment (jobs) Labor Income ($ millions)	Validation of a forest values typology for use in national forest planning. Forest Science.	Tourism Jobs Gain Ground in Colorado. Prepared for the Colorado Department of Local Affairs.	Associates, Inc. The Economic Impact of Travel on	Prepared for the State of Colorado, Colorado Tourism Office,	Personal communication regarding coal mining. USDI-Bureau of Land Management,	Western National Forests: A Cohesive Strategy is Needed to Address Catastrophic Wildland Fire Threats.	Consulting. Job Generation in the Colorado Mountain Resort Economy. Prepared for the Northwest Colorado Council of Governments.	Oil and Gas Economic Impact Analysis. Prepared by Booz Allen Hamilton for the Colorado Energy Research Institute.	economic impact modeling software).	Revised Draft Environmental Impact Statement (RDEIS): Proposed Colorado Roadless Rule. Region 2, USDA Forest Service,	Opportunities for Small Entities: Proposed Roadless Area Conservation Rule for Colorado. Region 2, USDA Forest Service,	Roadless Area Conservation: National Forest System Lands in Colorado: Proposed Rule Regulatory Impact Analysis and Cost Benefit Analysis. Region 2, USDA Forest Service,	Profile 2005: Softwood Sawmills in the United States and Canada. Research Paper: FPL-RP-630. USDA Forest Service, Forest Products Laboratory,	Cumulative Set Aside Program Analysis Spreadsheets, by Forest Unit. USDA Forest Service Region 2, Denver CO USDA Forest Service.	Department of the Interior.
Cumulative Set Aside Program Analysis Spreadsheets by Forest Unit	0.26530612244897955	0.33333333333333337	0.2549019607843137	0.21739130434782605	0.2549019607843137	0.33333333333333337	0.26086956521739135	0.30612244897959184	0.18367346938775508	0.23636363636363633	0.25	0.33333333333333337	0.18518518518518523	0.18518518518518523	0.19298245614035092	0.19999999999999996	0.09090909090909094	0.4358974358974359
2007 Annual Reportadvanced tables	0.31818181818181823	0.38181818181818183	0.30434782608695654	0.31707317073170727	0.34782608695652173	0.35	0.41463414634146345	0.4545454545454546	0.36363636363636365	0.36	0.37254901960784315	0.3513513513513513	0.30612244897959184	0.30612244897959184	0.34615384615384615	0.3090909090909091	0.28	0.5294117647058824
2007 Annual Report—advanced tables	0.33333333333333337	0.3928571428571429	0.3191489361702128	0.33333333333333337	0.36170212765957444	0.36585365853658536	0.4285714285714286	0.4666666666666667	0.37777777777777777	0.37254901960784315	0.3846153846153846	0.368421052631579	0.31999999999999995	0.31999999999999995	0.3584905660377359	0.3214285714285714	0.2941176470588235	0.5428571428571429
Job Generation in the Colorado Mountain Resort Economy 	0.276595744680851	0.27586206896551724	0.30612244897959184	0.36363636363636365	0.22448979591836737	0.34883720930232553	0.31818181818181823	0.36170212765957444	0.36170212765957444	0.13207547169811318	0.2222222222222222	0.35	0.34615384615384615	0.34615384615384615	0.38181818181818183	0.3448275862068966	0.28301886792452835	0.45945945945945943
Managing the Impacts of Wildland fires on Communities and the Environment  The National Fire Plan	0.2692307692307693	0.2698412698412699	0.2592592592592593	0.26530612244897955	0.2592592592592593	0.20833333333333337	0.22448979591836737	0.2692307692307693	0.1923076923076923	0.1724137931034483	0.2542372881355932	0.28888888888888886	0.19298245614035092	0.22807017543859653	0.23333333333333328	0.33333333333333337	0.27586206896551724	0.38095238095238093
Oil and Gas Economic Impact Analysis	0.33333333333333337	0.4716981132075472	0.2727272727272727	0.3846153846153846	0.36363636363636365	0.26315789473684215	0.3846153846153846	0.4285714285714286	0.38095238095238093	0.375	0.26530612244897955	0.3142857142857143	0.36170212765957444	0.36170212765957444	0.4	0.4716981132075472	0.375	0.4375
Personal communication regarding coal mining	0.30000000000000004	0.4117647058823529	0.2857142857142857	0.2432432432432432	0.2857142857142857	0.33333333333333337	0.2432432432432432	0.19999999999999996	0.35	0.30434782608695654	0.3191489361702128	0.1515151515151515	0.28888888888888886	0.28888888888888886	0.33333333333333337	0.4117647058823529	0.30434782608695654	0.4
The Economic Impact of Travel on Colorado 19962005	0.36	0.24590163934426235	0.34615384615384615	0.4042553191489362	0.34615384615384615	0.21739130434782605	0.3191489361702128	0.43999999999999995	0.36	0.3571428571428571	0.368421052631579	0.34883720930232553	0.3090909090909091	0.34545454545454546	0.3793103448275862	0.3114754098360656	0.3928571428571429	0.35
Tourism Jobs Gain Ground in Colorado	0.44999999999999996	0.4509803921568627	0.4285714285714286	0.45945945945945943	0.23809523809523814	0.4444444444444444	0.3513513513513513	0.44999999999999996	0.44999999999999996	0.34782608695652173	0.4042553191489362	0.3939393939393939	0.4666666666666667	0.4666666666666667	0.5	0.4901960784313726	0.4347826086956522	0.5333333333333333
Western National Forests A Cohesive Strategy is Needed to Address Catastrophic Wildland Fire Threats	0.25	0.35593220338983056	0.36	0.19999999999999996	0.31999999999999995	0.2727272727272727	0.28888888888888886	0.41666666666666663	0.0	0.2962962962962963	0.34545454545454546	0.31707317073170727	0.28301886792452835	0.28301886792452835	0.25	0.3220338983050848	0.2222222222222222	0.4736842105263158
Forest Economic Program Analysis Spreadsheet Tool	0.276595744680851	0.3448275862068966	0.26530612244897955	0.2272727272727273	0.26530612244897955	0.2093023255813954	0.2272727272727273	0.3191489361702128	0.14893617021276595	0.28301886792452835	0.2592592592592593	0.25	0.23076923076923073	0.23076923076923073	0.2727272727272727	0.31034482758620685	0.2075471698113207	0.4054054054054054
Minnesota IMPLAN Group 2003	0.33333333333333337	0.5	0.36170212765957444	0.47619047619047616	0.36170212765957444	0.41463414634146345	0.47619047619047616	0.37777777777777777	0.4666666666666667	0.4117647058823529	0.42307692307692313	0.4736842105263158	0.4	0.43999999999999995	0.3584905660377359	0.3928571428571429	0.4509803921568627	0.4285714285714286
Opportunities for Small Entities Proposed Roadless Area Conservation Rule for Colorado	0.276595744680851	0.3448275862068966	0.22448979591836737	0.2727272727272727	0.26530612244897955	0.2558139534883721	0.18181818181818177	0.3191489361702128	0.3191489361702128	0.24528301886792447	0.2222222222222222	0.30000000000000004	0.15384615384615385	0.11538461538461542	0.23636363636363633	0.27586206896551724	0.2075471698113207	0.4054054054054054
Profile 2005 Softwood Sawmills in the United States and Canada	0.3913043478260869	0.33333333333333337	0.41666666666666663	0.39534883720930236	0.33333333333333337	0.38095238095238093	0.2558139534883721	0.30434782608695654	0.3913043478260869	0.34615384615384615	0.39622641509433965	0.28205128205128205	0.2941176470588235	0.2941176470588235	0.33333333333333337	0.22807017543859653	0.3076923076923077	0.38888888888888884
Proposed Roadless Area Conservation Rule for Colorado	0.3023255813953488	0.40740740740740744	0.24444444444444446	0.25	0.24444444444444446	0.28205128205128205	0.25	0.34883720930232553	0.3023255813953488	0.26530612244897955	0.28	0.2777777777777778	0.20833333333333337	0.20833333333333337	0.2549019607843137	0.2962962962962963	0.26530612244897955	0.3939393939393939
Social and Economics Specialist Report Proposed Roadless Area Conservation Rule for Colorado	0.23404255319148937	0.31034482758620685	0.18367346938775508	0.2272727272727273	0.22448979591836737	0.2093023255813954	0.18181818181818177	0.276595744680851	0.276595744680851	0.2075471698113207	0.2222222222222222	0.25	0.11538461538461542	0.11538461538461542	0.19999999999999996	0.24137931034482762	0.2075471698113207	0.4054054054054054
Validation of a forest values typology for use in national forest planning	0.2857142857142857	0.39622641509433965	0.2272727272727273	0.07692307692307687	0.36363636363636365	0.3157894736842105	0.33333333333333337	0.33333333333333337	0.2857142857142857	0.29166666666666663	0.34693877551020413	0.19999999999999996	0.3191489361702128	0.3191489361702128	0.31999999999999995	0.39622641509433965	0.33333333333333337	0.375
