	State of the Vending Industry Report.” http://www.vendingmarketwatch.com/content/reports/ accessed,	National Automatic Merchandising Association. “Comments of: The National Automatic Merchandising Association.” Docket No.	Business Administration. “Table of Small Business Size Standards Matched to North American Industry Classification System Codes,” Effective	Operators Find Today&apos;s Patrons Favor &apos;Better-For-You&apos; Food Selections In	Is the Obesity Epidemic a Public Health Problem? A Decade	Strategies for Promoting Healthier Food Choices.” American Economic Review: Papers and Proceedings,	Doing it Now or	Will all Americans Become Overweight or Obese? Estimating the Progression and	Prevalence of Overweight, Obesity, and Extreme Obesity Among Adults: United States,	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US.” Obesity,	Social Network and Weight Misperception Among Adolescents”. Southern Economic Journal, Forthcoming,	Size Matters: The Influence of Adolescent’s Weight and	Body Weight, Self-Perception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity: Payer-	The Growth of Obesity and Technological Change: A Theoretical and Empirical Examination,”	The Long-Run Growth in Obesity as a Function of Technological Change.”	An Economic Analysis of Adult Obesity: Results from the Behavioral Risk Factor Surveillance System.”	A Pricing Strategy to Promote Low-Fat Snack Choices through Vending Machines”.	Department of Agriculture Economic Research Service. “Table 15: Sales of meals and snacks away from home by type of outlet.” Food CPI and Expenditures: Food Expenditure Tables. http://www.ers.usda.gov/Briefing/CPIFoodAndExpenditures/Data/ Accessed 10/8/2010.	Testing Laboratory. “Quality Nutrition Analysis.” http://www.rlfoodtestinglaboratory.com/services.asp, accessed	Evaluation of Recordkeeping Costs for Food Manufacturers, Final Report.” Prepared for Andy Estrin and Cristina McLaughlin of FDA&apos;s Center for Food Safety and Applied Nutrition. Prepared by Aylin Sertkaya, Ayesha Berlind and Seda Erdem. Contract No. 223-01-2461, Task Order Number 5,	City’s Soda Cost Millions Monthly: Tax on Soft Drinks	Taxing Food: Implications for Public	Ounces of Prevention — The Public Policy Case for Taxes on Sugared Beverages.” New England	The Effects of Soft Drink Taxes on Child and Adolescent Consumption and Weight Outcomes.”	Schoolchildren’s Consumption of Competitive Foods and Beverages, Excluding à la	Choose Beverages and Foods to Moderate your Intake of Sugars: Measurement Requires Quantification.	Measuring the Health of the U.S.	Obesity-Related Quality-Adusted Life Years Lost in the U.S. from 1993-2008,”	Trends in Quality-Adjusted Life-Years Lost Contributed by Smoking and Obesity,”	Statistical Abstract of the United States:	Separating what We Eat from where:	"Calorie Labeling And Food Choices: A First Look At The Effects On Low-Income People In New York City."""	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information.”	Do Nutrition Labels Improve Dietary Outcomes?	Mandatory Menu Labeling in One Fast-Food Chain in King County,	Child and Adolescent Fast-Food Choice and the Influence of Calorie Labeling:	"Nutrition Menu Labeling May Lead to Lower-Calorie Restaurant Meal Choices for Children."" Pediatrics,"	Modeling weight-loss maintenance to help prevent body weight regain,”	School Vending Machine Use and Fast-Food Restaurant Use Are Associated with Sugar Sweetened Beverage Intake in Youth.”
Table 15 Sales of meals and snacks away from home by type of outlet	0.4242424242424242	0.5142857142857142	0.5	0.5	0.5	0.5405405405405406	0.7857142857142857	0.5454545454545454	0.4242424242424242	0.43243243243243246	0.5	0.5294117647058824	0.4838709677419355	0.4444444444444444	0.4666666666666667	0.4571428571428572	0.5142857142857142	0.4571428571428572	0.5277777777777778	0.4545454545454546	0.4285714285714286	0.5106382978723405	0.53125	0.4666666666666667	0.5	0.4722222222222222	0.5405405405405406	0.5142857142857142	0.5517241379310345	0.55	0.5	0.4444444444444444	0.5357142857142857	0.4444444444444444	0.5789473684210527	0.5161290322580645	0.5625	0.5161290322580645	0.46875	0.4516129032258065	0.5897435897435898
Evaluation of Recordkeeping Costs for Food Manufacturers Final Report	0.4545454545454546	0.4545454545454546	0.5263157894736843	0.4838709677419355	0.5757575757575757	0.3939393939393939	0.7307692307692308	0.53125	0.5	0.41666666666666663	0.4411764705882353	0.5151515151515151	0.5161290322580645	0.6333333333333333	0.4482758620689655	0.5277777777777778	0.5	0.4411764705882353	0.5142857142857142	0.5111111111111111	0.5405405405405406	0.5	0.5625	0.4482758620689655	0.5263157894736843	0.4571428571428572	0.3939393939393939	0.3548387096774194	0.4814814814814815	0.6744186046511628	0.5675675675675675	0.5357142857142857	0.5714285714285714	0.4722222222222222	0.3939393939393939	0.5483870967741935	0.4482758620689655	0.3928571428571429	0.4	0.4838709677419355	0.4571428571428572
Prevalence of Overweight Obesity and Extreme Obesity Among Adults United States Trends 1976�1980 Through 2007�2008	0.5555555555555556	0.5869565217391304	0.5106382978723405	0.5476190476190477	0.5121951219512195	0.5111111111111111	0.7948717948717949	0.4358974358974359	0.2432432432432432	0.4222222222222223	0.574468085106383	0.5681818181818181	0.5714285714285714	0.5897435897435898	0.4871794871794872	0.4418604651162791	0.5555555555555556	0.4772727272727273	0.5652173913043479	0.38	0.48888888888888893	0.4339622641509434	0.6363636363636364	0.525	0.40909090909090906	0.48888888888888893	0.5434782608695652	0.5869565217391304	0.5897435897435898	0.4222222222222223	0.5434782608695652	0.5135135135135135	0.6153846153846154	0.4666666666666667	0.5434782608695652	0.5952380952380952	0.5952380952380952	0.5609756097560976	0.5238095238095238	0.5476190476190477	0.5833333333333333
Statistical Abstract of the United States 2011 	0.6	0.5588235294117647	0.5405405405405406	0.59375	0.5483870967741935	0.5428571428571429	0.76	0.5	0.4193548387096774	0.5526315789473684	0.5833333333333333	0.4838709677419355	0.5333333333333333	0.5555555555555556	0.4642857142857143	0.5428571428571429	0.6	0.5	0.6111111111111112	0.5555555555555556	0.5555555555555556	0.574468085106383	0.5806451612903225	0.5666666666666667	0.5789473684210527	0.5555555555555556	0.5833333333333333	0.6	0.43999999999999995	0.4285714285714286	0.5833333333333333	0.1428571428571429	0.5925925925925926	0.5675675675675675	0.5833333333333333	0.6129032258064516	0.5666666666666667	0.40740740740740744	0.5161290322580645	0.5483870967741935	0.5555555555555556
City�s Soda Cost Millions Monthly Tax on Soft Drinks in Manhattan and Bronx in February and March is 465445	0.5853658536585367	0.4736842105263158	0.46341463414634143	0.5	0.5789473684210527	0.6046511627906976	0.7878787878787878	0.6153846153846154	0.5128205128205128	0.4390243902439024	0.5714285714285714	0.5263157894736843	0.5277777777777778	0.5882352941176471	0.5142857142857142	0.5365853658536586	0.5128205128205128	0.46153846153846156	0.525	0.45833333333333337	0.5813953488372092	0.41666666666666663	0.3939393939393939	0.5142857142857142	0.46341463414634143	0.475	0.5	0.43243243243243246	0.5454545454545454	0.6382978723404256	0.5365853658536586	0.5	0.6944444444444444	0.5238095238095238	0.5365853658536586	0.5945945945945945	0.47058823529411764	0.47058823529411764	0.4722222222222222	0.5789473684210527	0.5476190476190477
2010 State of the Vending Industry Report	0.3548387096774194	0.6216216216216216	0.6	0.53125	0.5757575757575757	0.5675675675675675	0.7307692307692308	0.6571428571428571	0.5428571428571429	0.575	0.6052631578947368	0.5151515151515151	0.5161290322580645	0.5357142857142857	0.5	0.6052631578947368	0.5833333333333333	0.5675675675675675	0.5555555555555556	0.5111111111111111	0.5789473684210527	0.5625	0.6060606060606061	0.5483870967741935	0.6	0.5789473684210527	0.5675675675675675	0.4545454545454546	0.4814814814814815	0.5	0.6052631578947368	0.5357142857142857	0.5185185185185186	0.5897435897435898	0.5675675675675675	0.59375	0.5483870967741935	0.5	0.5	0.5757575757575757	0.5405405405405406
Comments of The National Automatic Merchandising Association	0.5294117647058824	0.2142857142857143	0.38235294117647056	0.5625	0.5161290322580645	0.47058823529411764	0.6666666666666667	0.4666666666666667	0.4375	0.5263157894736843	0.4242424242424242	0.3448275862068966	0.4482758620689655	0.5185185185185186	0.4285714285714286	0.4242424242424242	0.48484848484848486	0.5142857142857142	0.4545454545454546	0.5652173913043479	0.3939393939393939	0.5217391304347826	0.5	0.4285714285714286	0.4722222222222222	0.3939393939393939	0.47058823529411764	0.4375	0.4	0.6	0.47058823529411764	0.4	0.5555555555555556	0.4117647058823529	0.375	0.5333333333333333	0.4285714285714286	0.3076923076923077	0.3214285714285714	0.4666666666666667	0.5277777777777778
Is the Obesity Epidemic a Public Health Problem A Decade of Research on the Economics of Obesity	0.4722222222222222	0.5135135135135135	0.46153846153846156	0.4545454545454546	0.11111111111111116	0.41666666666666663	0.7666666666666666	0.40625	0.33333333333333337	0.39473684210526316	0.5384615384615384	0.5277777777777778	0.4375	0.3928571428571429	0.3666666666666667	0.41666666666666663	0.5135135135135135	0.37142857142857144	0.5641025641025641	0.4565217391304348	0.4736842105263158	0.47916666666666663	0.6111111111111112	0.4193548387096774	0.5	0.43243243243243246	0.5384615384615384	0.5135135135135135	0.5483870967741935	0.5121951219512195	0.5384615384615384	0.4482758620689655	0.5806451612903225	0.36111111111111116	0.45945945945945943	0.3666666666666667	0.5151515151515151	0.4193548387096774	0.4242424242424242	0.5	0.5853658536585367
Menucalc Plans	0.7741935483870968	0.6896551724137931	0.7352941176470589	0.64	0.6923076923076923	0.75	0.8888888888888888	0.6923076923076923	0.6896551724137931	0.7428571428571429	0.7096774193548387	0.6666666666666667	0.6799999999999999	0.7272727272727273	0.5454545454545454	0.7878787878787878	0.7333333333333334	0.75	0.7	0.8	0.7575757575757576	0.782608695652174	0.7777777777777778	0.6666666666666667	0.7352941176470589	0.7575757575757576	0.75	0.7333333333333334	0.6	0.8108108108108107	0.7878787878787878	0.6666666666666667	0.8260869565217391	0.7647058823529411	0.7096774193548387	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.6	0.6923076923076923	0.71875
Operators Find Todays Patrons Favor BetterForYou Food Selections In Vending	0.4571428571428572	0.6153846153846154	0.525	0.07692307692307687	0.48484848484848486	0.5263157894736843	0.7586206896551724	0.48484848484848486	0.4571428571428572	0.46153846153846156	0.5641025641025641	0.5142857142857142	0.46875	0.5333333333333333	0.3448275862068966	0.5641025641025641	0.5405405405405406	0.4864864864864865	0.5135135135135135	0.5106382978723405	0.5384615384615384	0.5306122448979591	0.6388888888888888	0.4	0.4473684210526315	0.5384615384615384	0.4864864864864865	0.4571428571428572	0.5806451612903225	0.6363636363636364	0.5263157894736843	0.5806451612903225	0.65625	0.43243243243243246	0.4864864864864865	0.4516129032258065	0.5	0.5	0.5428571428571429	0.5294117647058824	0.41666666666666663
