ria,cite,jac,jac_match,jac_check,lev,lev_match,lev_check,partial,partial_match,partial_check,sor,sor_match,sor_chck,source,type
2060-AP50,Health Effects of Acid Aerosols On North American ChildrenRespiratory Symptoms Environmental Health Perspectives,0.21875,OffHighway Vehicle Recreation in the United States Regions and States A National Report from the National Survey on Recreation and the Environment,0,0.357142857,Health effects of acid aerosols on North American children Respiratory symptoms ,1,0.09,Health effects of acid aerosols on North American children Respiratory symptoms ,1,0.122807018,OffHighway Vehicle Recreation in the United States Regions and States A National Report from the National Survey on Recreation and the Environment,0,pc,
2060-AP90,Medical Waste Incinerator Study Emission Measurement and Continuous Monitoring,0.12,Medical Waste Incinerator Study Emission Measurement and Continuous Monitoring IIB89,1,0.071428571,Medical Waste Incinerator Study Emission Measurement and Continuous Monitoring IIB89,1,0,Medical Waste Incinerator Study Emission Measurement and Continuous Monitoring IIB89,1,0.063829787,Medical Waste Incinerator Study Emission Measurement and Continuous Monitoring IIB89,1,pc,
1810-AB04,Electronic Access to This Document You can view this document as well as all other documents of this,0.344827586,Makings Sense of DataDriven Decision Making in Education Evidence from Recent RAND Research,0,0.79,Using Student Progress To Evaluate Teachers A Primer on ValueAdded Models,0,0.54,Digest of Education Statistics,0,0.208333333,Makings Sense of DataDriven Decision Making in Education Evidence from Recent RAND Research,0,pc,
1904-AB70,Personal communication Optimal Energy,0.291666667,Californias Secret Energy Surplus The Potential for Energy Efficienc,0,0.714285714,Telephone conversation with Barbara Atkinson LBNL,0,0.34,nan,0,0.170731707,Californias Secret Energy Surplus The Potential for Energy Efficienc,0,pc,
0938-AP15,musculoskeletal system  connective tissue w MMCC,0.409090909,Congressional Review Act,0,0.75,IPPS Market Basket Increase,0,0.45,Section 7,0,0.257142857,Congressional Review Act,0,pc,
2060-AO81,Mortality from lymphohematopoetic malignancies among workers in formaldehyde industries,0.043478261,Mortality among a cohort of garment workers exposed to formaldehyde an update,0,0.090909091,Mortality From Lymphohematopoietic Malignancies Among Workers in Formaldehyde Industries,1,0.1,Mortality From Lymphohematopoietic Malignancies Among Workers in Formaldehyde Industries,1,0.022222222,Mortality among a cohort of garment workers exposed to formaldehyde an update,0,pc,
2040-AE95,Employment Cost Index ECI Available online at httpwwwblsgovncsecthomehtm Accessed on,0.3125,Chesapeake Bay Watershed Assistance Network Access to Federal Funds A Collaborative Effort of the Chesapeake Bay Federal Agencies Committee and the Chesapeake Bay Watershed Assistance Network,0,0.702380952,Employment Cost Index ECI,1,0,Employment Cost Index ECI,1,0.185185185,Chesapeake Bay Watershed Assistance Network Access to Federal Funds A Collaborative Effort of the Chesapeake Bay Federal Agencies Committee and the Chesapeake Bay Watershed Assistance Network,0,pc,
2060-AO81,A Look Back at the US Department of Energy’s Aquatic Species Program—Biodiesel from Algae National Renewable Energy Laboratory Office of Fuels Development,0.275,A Look Back at the US Department of Energys Aquatic Species Program  Biodiesel from Algae,1,0.449367089,A Look Back at the US Department of Energys Aquatic Species Program  Biodiesel from Algae,1,0.07,A Look Back at the US Department of Energys Aquatic Species Program  Biodiesel from Algae,1,0.15942029,A Look Back at the US Department of Energys Aquatic Species Program  Biodiesel from Algae,1,pc,
2060-AN99,The Value of a Statistical Life A Critical Review of Market Estimates throughout the World”,0.09375,The Value of a Statistical Life A Critical Review of Market Estimates throughout the World,1,0.032258065,The Value of a Statistical Life A Critical Review of Market Estimates throughout the World,1,0,The Value of a Statistical Life A Critical Review of Market Estimates throughout the World,1,0.049180328,The Value of a Statistical Life A Critical Review of Market Estimates throughout the World,1,pc,
2060-AM44,Do environmental regulations cost jobs An industrylevel analysis of the UK,0,Do environmental regulations cost jobs An industrylevel analysis of the UK,1,0,Do environmental regulations cost jobs An industrylevel analysis of the UK,1,0,Do environmental regulations cost jobs An industrylevel analysis of the UK,1,0,Do environmental regulations cost jobs An industrylevel analysis of the UK,1,pc,Scholarly Journal
