	Letter to Hon. Nancy Pelosi.	States as Policy Laboratories: Emulating Success in the Children’s Health Insurance Program”	Active Purchasing for Health Exchanges: An Analysis of Options:	and Elizabeth McGylnn(2010) Establishing State Health Insurance Exchanges.	Health Reform in Massachusetts An Update As of fall	Citations Actuarial Research Corporation. &quot;Reinsurance attachment point estimates.&quot;	The Value of Health Insurance: Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills.	Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:	Independent Report on the Healthy NY Program for Calendar Year	Medicare & Medicaid Services. &quot;Announcement of Calendar Year (CY)	Employer Health Benefits,	Does major illness cause financial catastrophe?&quot;	Cost and Funding Considerations for a Statewide All-Payer Claims Database (APCD). .&quot;	Katherine Baicker, and The Oregon Health Study Group. &quot;The Oregon Health Insurance Experiment: Evidence from the First Year.&quot;	Generosity and adjusted premiums in job-based insurance: Hawaii is up, Wyoming is down.&quot;	Patient Protection and Affordable Care Act (PPACA): Long Term Costs for Gvoernments, Employers, Families and Providers.&quot; Staff Working Paper	Race and insurance status as risk factors for trauma mortality.&quot;	Care without coverage: too little, too late:	The impact of health insurance on health.&quot;	of Health Care Finance and Policy. &quot;2009 Annual Report Health Safety Net.&quot;	All-Payer Claims Databases. (Robert Woods Johnson Foundation.	Office of External Affairs and Beneficiary Services, Unpublished. &quot;FY	Office of the Inspector General. Medicaid Managed Care Encounter Data: Collection and Use.	Reinsurance: How States Can Make Health Coverage More Affordable for Employers and Workers: Commonwealth Fund,	Healthy New York: Making Insurance More Affordable for LowIncome Workers: The Commonwealth Fund.,	Massachusetts Health Care Reform—Near-Universal Coverage at What Cost?&quot;
Medicaid Managed Care Encounter Data Collection and Use	0.37142857142857144	0.33333333333333337	0.34883720930232553	0.34782608695652173	0.2682926829268293	0.3157894736842105	0.4285714285714286	0.3913043478260869	0.46341463414634143	0.2682926829268293	0.4054054054054054	0.3157894736842105	0.31818181818181823	0.4339622641509434	0.38095238095238093	0.37254901960784315	0.3157894736842105	0.2941176470588235	0.3513513513513513	0.44680851063829785	0.34883720930232553	0.375	0.13636363636363635	0.33333333333333337	0.37254901960784315	0.3191489361702128
Number of Firms Number of Establishments Employment and Annual Payroll by Enterprise Employment Size for the United States and States Totals 2008	0.4347826086956522	0.35593220338983056	0.33333333333333337	0.33333333333333337	0.3076923076923077	0.3877551020408163	0.30000000000000004	0.052631578947368474	0.3846153846153846	0.3846153846153846	0.33333333333333337	0.3877551020408163	0.2727272727272727	0.34375	0.4339622641509434	0.25806451612903225	0.3877551020408163	0.5555555555555556	0.33333333333333337	0.24137931034482762	0.2962962962962963	0.2542372881355932	0.38181818181818183	0.29032258064516125	0.32258064516129037	0.4482758620689655
Trend Data	0.52	0.631578947368421	0.6363636363636364	0.6111111111111112	0.5483870967741935	0.5714285714285714	0.5897435897435898	0.5555555555555556	0.5483870967741935	0.5483870967741935	0.5555555555555556	0.5	0.5294117647058824	0.627906976744186	0.5625	0.6097560975609756	0.5	0.5833333333333333	0.4814814814814815	0.6216216216216216	0.5151515151515151	0.631578947368421	0.5294117647058824	0.6585365853658536	0.6097560975609756	0.6756756756756757
2009 Annual Report Health Safety Net	0.4054054054054054	0.48	0.33333333333333337	0.41666666666666663	0.3023255813953488	0.35	0.37254901960784315	0.33333333333333337	0.3023255813953488	0.4418604651162791	0.33333333333333337	0.4	0.4347826086956522	0.4545454545454546	0.5	0.4716981132075472	0.4	0.5	0.3846153846153846	0.1428571428571429	0.4222222222222223	0.4	0.4782608695652174	0.3584905660377359	0.4339622641509434	0.4285714285714286
Cost and Funding Considerations for a Statewide AllPayer Claims Database	0.4	0.28301886792452835	0.33333333333333337	0.4117647058823529	0.34782608695652173	0.34883720930232553	0.33333333333333337	0.21568627450980393	0.34782608695652173	0.26086956521739135	0.38095238095238093	0.34883720930232553	0.020408163265306145	0.3793103448275862	0.3191489361702128	0.2142857142857143	0.3023255813953488	0.3846153846153846	0.38095238095238093	0.3076923076923077	0.16666666666666663	0.3207547169811321	0.34693877551020413	0.2142857142857143	0.25	0.42307692307692313
AllPayer Claims Databases	0.3548387096774194	0.40909090909090906	0.4358974358974359	0.5238095238095238	0.45945945945945943	0.3529411764705882	0.5111111111111111	0.38095238095238093	0.45945945945945943	0.4054054054054054	0.3939393939393939	0.4117647058823529	0.25	0.5918367346938775	0.4736842105263158	0.4042553191489362	0.4117647058823529	0.4666666666666667	0.4545454545454546	0.4883720930232558	0.23076923076923073	0.5	0.5	0.44680851063829785	0.44680851063829785	0.5348837209302326
Announcement of Calendar Year 2012 Medicare Advantage Capitation Rates and Medicare Advantage and Part D Payment Policies and Final Call Letter	0.4042553191489362	0.3666666666666667	0.3090909090909091	0.3793103448275862	0.28301886792452835	0.31999999999999995	0.3114754098360656	0.3448275862068966	0.3207547169811321	0.24528301886792447	0.4285714285714286	0.36	0.25	0.3538461538461538	0.40740740740740744	0.23809523809523814	0.31999999999999995	0.4347826086956522	0.3877551020408163	0.2542372881355932	0.2727272727272727	0.33333333333333337	0.3214285714285714	0.23809523809523814	0.2698412698412699	0.35593220338983056
Independent Report on the Health NY Program for Calendar Year 2010	0.44999999999999996	0.39622641509433965	0.41666666666666663	0.4117647058823529	0.34782608695652173	0.39534883720930236	0.40740740740740744	0.4117647058823529	0.08695652173913049	0.4347826086956522	0.38095238095238093	0.4418604651162791	0.4285714285714286	0.4137931034482759	0.4893617021276596	0.4642857142857143	0.4418604651162791	0.4871794871794872	0.4285714285714286	0.2692307692307693	0.41666666666666663	0.5094339622641509	0.3877551020408163	0.3928571428571429	0.3571428571428571	0.3846153846153846
Reinsurance attachment point estimates	0.3548387096774194	0.40909090909090906	0.33333333333333337	0.47619047619047616	0.18918918918918914	0.11764705882352944	0.37777777777777777	0.38095238095238093	0.4054054054054054	0.3513513513513513	0.2727272727272727	0.17647058823529416	0.44999999999999996	0.4285714285714286	0.3157894736842105	0.44680851063829785	0.23529411764705888	0.33333333333333337	0.1515151515151515	0.39534883720930236	0.33333333333333337	0.40909090909090906	0.35	0.36170212765957444	0.44680851063829785	0.34883720930232553
The Value of Health Insurance Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills	0.3913043478260869	0.38983050847457623	0.2592592592592593	0.4385964912280702	0.23076923076923073	0.30612244897959184	0.0	0.26315789473684215	0.34615384615384615	0.34615384615384615	0.33333333333333337	0.34693877551020413	0.3090909090909091	0.25	0.3584905660377359	0.29032258064516125	0.30612244897959184	0.4222222222222223	0.29166666666666663	0.24137931034482762	0.33333333333333337	0.22033898305084743	0.34545454545454546	0.25806451612903225	0.29032258064516125	0.3448275862068966
