	Association of American Railroads (AAR), before U.S. House of Representatives Subcommittee on Railroads,	Car Performance Standards NPRM - RIA NTSB, “Derailment of Canadian Pacific Railway Freight Train 292-16 and Subsequent Release of Anhydrous Ammonia Near	Sign Safety Pact, Traffic World	Car Performance Standards NPRM - RIA “Economic Analysis of Federal Regulations Under Executive Order 12866.” http://www.whitehouse.gov/OMB/inforeg/riaguide.html,	Highway Business Report Fewer Customers,” Augusta Chronicle,	Statement to the docket by the Dow Chemical Company,	Alternative Technologies to Railroad Tank Car Placarding.” Texas Transportation Institute,	Car Performance Standards NPRM - RIA AEI-Brookings Joint Center for Regulatory Studies, “Interests of Amici Curiae: American Trucking Associations,	Abbreviated Injury Scale _____________________________________________________________________________ The Abbreviated Injury Scale (AIS) was &quot;[f]irst published in 1971 under the joint sponsorship of the American Medical Association; the Society of Automotive Engineers; and the Association for the Advancement of Automotive Medicine (formerly the American Association for Automotive Medicine).&quot; The AIS was originally developed for impact injury assessment.	(Produced by the University of California, San Francisco and The John Hopkins University for the National Highway Traffic Satey Administation and the Centers for Disease Control)	Railroad Injury: Causes, Costs, and Comparisons with other Transport Modes,” Journal of Safety Research,
Family Oks Derailment Settlement	0.6071428571428572	0.6666666666666667	0.5833333333333333	0.6888888888888889	0.6129032258064516	0.5	0.7058823529411764	0.6388888888888888	0.6756756756756757	0.5714285714285714	0.6470588235294117
Highway Business Report Fewer Customers	0.5333333333333333	0.5476190476190477	0.6551724137931034	0.5454545454545454	0.2222222222222222	0.5357142857142857	0.5588235294117647	0.5789473684210527	0.5789473684210527	0.4722222222222222	0.5
Judge Approves Preliminary Settlement in Graniteville Train Wreck	0.4193548387096774	0.5652173913043479	0.37037037037037035	0.5625	0.5277777777777778	0.5161290322580645	0.4117647058823529	0.4054054054054054	0.4473684210526315	0.33333333333333337	0.4864864864864865
The Incidence and Economic Costs of Major Health Impairments	0.4666666666666667	0.5681818181818181	0.5357142857142857	0.5652173913043479	0.5294117647058824	0.5172413793103448	0.5	0.4864864864864865	0.4	0.5	0.34375
American Factfinder	0.5	0.675	0.5238095238095238	0.6976744186046512	0.6206896551724138	0.625	0.6774193548387097	0.6470588235294117	0.6470588235294117	0.6176470588235294	0.65625
Anhydrous Ammonia Safety	0.4	0.575	0.4782608695652174	0.6046511627906976	0.5333333333333333	0.52	0.59375	0.5294117647058824	0.48484848484848486	0.5	0.4838709677419355
A National Risk Assessment for Selected Hazardous Materials in Transportation	0.2857142857142857	0.5227272727272727	0.5172413793103448	0.5531914893617021	0.5142857142857142	0.5483870967741935	0.48571428571428577	0.38888888888888884	0.4736842105263158	0.4054054054054054	0.4285714285714286
Alternative Approaches to Accident Cost Concepts	0.4	0.6428571428571428	0.5416666666666667	0.6046511627906976	0.48275862068965514	0.45833333333333337	0.3928571428571429	0.6111111111111112	0.5294117647058824	0.5	0.53125
Cost of Injury in the United States A Report to Congress	0.4137931034482759	0.5348837209302326	0.5357142857142857	0.5	0.48484848484848486	0.5666666666666667	0.4545454545454546	0.4864864864864865	0.4444444444444444	0.45945945945945943	0.3939393939393939
Derailment of Canadian Pacific Railway Freight Train 29216 and Subsequent Release of Anhydrous Ammonia Near Minot North Dakota	0.525	0.14634146341463417	0.5405405405405406	0.3877551020408163	0.5	0.4864864864864865	0.5116279069767442	0.39534883720930236	0.3571428571428571	0.29268292682926833	0.4651162790697675
