	US Organic Agriculture 1992–2008 data set available at http wwwersusdagovdataorganicERS 42 Ibid	Department of Agriculture Economic Research Service	44 Organic Trade Association	Consumer Aspects of the Organic Milk MarketLDP–M–155–01	rangeland41 The number of certified 53 Sundale Research	Emerging Issues in the US Organic Industry	Acting Administrator Agricultural Marketing Service	2012–354 Filed 1–11–12 845 am AGENCY Agricultural Marketing Service USDA ACTION Proposed rule	SUMMARY This proposed rule would address recommendations submitted to the Secretary of Agriculture Secretary by the National Organic Standards Board NOSB on	These recommendations pertain to the 2012 Sunset Review of substances on the US Department of Agriculture’s USDA National List of Allowed and Prohibited Substances National List Consistent with the NOSB • Federal eRulemaking Portal http wwwregulationsgov Follow the instructions for submitting comments	Agricultural Marketing Specialist National Organic Program USDA–AMS–NOP 1400 Independence Ave SW Room 2646– So Ag Stop 0268 Washington DC 20250 Instructions All submissions received must include the docket number AMS– NOP–09–0074 NOP–09–01 andor Regulatory Information Number RIN 0581–AC96 for this rulemaking without change to http wwwregulationsgov	Docket For access to the docket to read background documents or comments received go to http wwwregulationsgov Comments submitted in response to this proposed rule will also be available for viewing in person at USDA–AMS	Background The Organic Foods Production Act of
Final Rule	0.9484536082474226	0.9019607843137255	0.8928571428571429	0.9180327868852459	0.8727272727272727	0.8809523809523809	0.8627450980392157	0.9191919191919192	0.9551282051282052	0.9705882352941176	0.9755434782608695	0.963963963963964	0.9130434782608695
Federalism	0.9381443298969072	0.8823529411764706	0.8571428571428571	0.9180327868852459	0.8727272727272727	0.8571428571428571	0.9019607843137255	0.9191919191919192	0.9487179487179487	0.9673202614379085	0.9755434782608695	0.954954954954955	0.8695652173913043
2104	0.9690721649484536	1.0	1.0	0.9672131147540983	0.9818181818181818	1.0	1.0	0.9696969696969697	1.0	0.9934640522875817	0.9918478260869565	1.0	1.0
2108	0.9690721649484536	1.0	1.0	0.9672131147540983	0.9818181818181818	1.0	1.0	0.9696969696969697	1.0	0.9934640522875817	0.9891304347826086	1.0	1.0
2115b	0.979381443298969	1.0	1.0	0.9672131147540983	0.9636363636363636	1.0	1.0	0.9595959595959596	0.9935897435897436	0.9901960784313726	0.9918478260869565	0.9954954954954955	1.0
2120f	0.9690721649484536	0.9803921568627451	1.0	0.9672131147540983	0.9636363636363636	1.0	1.0	0.9696969696969697	0.9935897435897436	0.9869281045751634	0.9891304347826086	0.9954954954954955	0.9782608695652174
Egg Products Inspection Act	0.865979381443299	0.8235294117647058	0.8571428571428571	0.8360655737704918	0.8181818181818182	0.7619047619047619	0.7843137254901961	0.8888888888888888	0.8846153846153846	0.9248366013071896	0.9347826086956522	0.9144144144144144	0.6739130434782609
Federal Meat Inspection Act	0.845360824742268	0.8235294117647058	0.7857142857142857	0.8360655737704918	0.8	0.8095238095238095	0.803921568627451	0.8686868686868687	0.8782051282051282	0.9248366013071896	0.9375	0.9054054054054054	0.6739130434782609
Organic Foods Production Act of 1990	0.8144329896907216	0.803921568627451	0.6944444444444444	0.819672131147541	0.8	0.8571428571428571	0.803921568627451	0.8686868686868687	0.8653846153846154	0.9150326797385621	0.9239130434782609	0.8963963963963963	0.43478260869565216
Poultry Products Inspection Act	0.8556701030927835	0.7843137254901961	0.8387096774193549	0.819672131147541	0.8181818181818182	0.8333333333333334	0.7843137254901961	0.8888888888888888	0.8717948717948718	0.9117647058823529	0.9293478260869565	0.9009009009009009	0.6521739130434783
Quantifying Costs and Benefits	0.8865979381443299	0.7843137254901961	0.8666666666666667	0.8688524590163934	0.8	0.8095238095238095	0.803921568627451	0.8888888888888888	0.8910256410256411	0.9215686274509803	0.9320652173913043	0.9054054054054054	0.8043478260869565
Regulatory Flexibility Act of 1980	0.865979381443299	0.8235294117647058	0.9117647058823529	0.8360655737704918	0.8181818181818182	0.8809523809523809	0.8235294117647058	0.8585858585858586	0.8717948717948718	0.9248366013071896	0.9375	0.9144144144144144	0.8043478260869565
