	Employee Benefits Security Administration Attn Participant Fee Disclosure Project Room N–5655 US Department of Labor 200 Constitution Avenue	Office of Regulations and Interpretations Employee Benefits Security Administration 202 693– 1 The authority citation for part 2550 continues to read as follows Authority 29 USC	Stat38 and Secretary of Labor’s Order No 1–2003 68 FR	Sec 2550401b–1 also issued under sec 102 Reorganization Plan No	Sec 2550401c–1 also issued under 29 USC 1101 Sections 2550404c–1 and 2550404c– 5 also issued under 29 USC 1104 Sec 2550407c–3 also issued under 29 USC 1107 Sec 2550408b–1 also issued under 29 USC 1108b1 and sec 102 Reorganization Plan No 4 of 1978 3 CFR 1978 Comp p 332 effective Dec 31 1978 44 FR	Add § 2550404a–5 to read as Exchange Commission Form N–1A with respect to an openend management investment company registered under the Investment Company Act of	3 Total annual operating expenses means annual operating expenses of the designated investment alternative eg investment management fees distribution service and administrative Exchange Commission Form N–1A with respect to an openend management investment company registered under the Investment Company Act of	4 At least annually thereafter means at least once in any 12month period Signed at Washington DC this 15th day of
Employee Welfare and Pension Benefit Plans Working Group on Fee and Related Disclosures to Participants	0.6971830985915493	0.7541899441340782	0.8155339805825242	0.8155339805825242	0.8566775244299675	0.7771084337349398	0.7948717948717948	0.7787610619469026
Mutual Funds Information on Trends in Fees and Their Related Disclosure	0.7605633802816901	0.776536312849162	0.7887323943661971	0.8309859154929577	0.8794788273615635	0.7951807228915663	0.8397435897435898	0.7610619469026548
November 2007 Presidents Economic Forecast for 2008	0.795774647887324	0.8379888268156425	0.8245614035087719	0.8461538461538461	0.8990228013029316	0.8433734939759037	0.8878205128205128	0.8141592920353983
Private Pensions Changes Needed to Provide 01k Plan Participants and the Department of Labor Better Information on Fees	0.6830985915492958	0.7541899441340782	0.7899159663865546	0.7983193277310925	0.8371335504885994	0.7409638554216867	0.7852564102564102	0.8235294117647058
Fees Revenue Sharing in Defined Contribution Retirement Plans 	0.7746478873239436	0.8100558659217877	0.8709677419354839	0.8	0.8794788273615635	0.7891566265060241	0.8493589743589743	0.7522123893805309
2000 Small Employer Retirement Survey	0.8450704225352113	0.8770949720670391	0.8596491228070176	0.7846153846153846	0.9218241042345277	0.8433734939759037	0.9166666666666666	0.831858407079646
2001 Small Employer Retirement Survey	0.8450704225352113	0.8770949720670391	0.8596491228070176	0.7692307692307693	0.9218241042345277	0.8433734939759037	0.9166666666666666	0.831858407079646
Employee Benefit Research Institute Issue Brief 292	0.7394366197183099	0.7877094972067039	0.8596491228070176	0.8769230769230769	0.9055374592833876	0.8373493975903614	0.8878205128205128	0.8053097345132744
Employment Cost Index	0.8802816901408451	0.9106145251396648	0.8771929824561403	0.8615384615384616	0.9576547231270358	0.9036144578313253	0.9487179487179487	0.8849557522123894
Invest Wisely An Introduction to Mutual Funds	0.823943661971831	0.8324022346368715	0.8245614035087719	0.8307692307692308	0.9185667752442996	0.8674698795180723	0.8974358974358975	0.7964601769911505
National Occupational Employment Survey	0.8380281690140845	0.8435754189944135	0.8245614035087719	0.8615384615384616	0.9250814332247557	0.8674698795180723	0.9038461538461539	0.8230088495575221
Portfolio Transactions Costs at US Equity Mutual Funds	0.8169014084507042	0.8268156424581006	0.8771929824561403	0.8615384615384616	0.9087947882736156	0.8554216867469879	0.8846153846153846	0.7964601769911505
Survey of Income Program Participation	0.823943661971831	0.8659217877094972	0.7894736842105263	0.7846153846153846	0.9218241042345277	0.8795180722891566	0.9102564102564102	0.831858407079646
The Economics of Providing 401k Plans Services Fees and Expenses 2006	0.7887323943661971	0.8212290502793296	0.855072463768116	0.8405797101449275	0.8859934853420195	0.8012048192771084	0.8589743589743589	0.8141592920353983
29 CFR 2550404c1	0.9507042253521126	0.9553072625698324	0.9473684210526315	0.9076923076923077	0.9543973941368078	0.9397590361445783	0.9839743589743589	0.9557522123893806
72 FR 20457	0.9577464788732394	0.9664804469273743	0.9298245614035088	0.9384615384615385	0.9739413680781759	0.963855421686747	0.9903846153846154	0.9646017699115044
72 FR 67790	0.9577464788732394	0.9720670391061452	0.9473684210526315	0.9384615384615385	0.9739413680781759	0.9759036144578314	0.9903846153846154	0.9734513274336283
Estimating the Costs of Leisure Time for Recreation Demand Models	0.7746478873239436	0.7932960893854749	0.8	0.7846153846153846	0.8827361563517915	0.8012048192771084	0.8493589743589743	0.7345132743362832
Are Investors Rational Choices Among Index Funds	0.8380281690140845	0.8491620111731844	0.8245614035087719	0.8461538461538461	0.9153094462540716	0.8253012048192772	0.8878205128205128	0.7787610619469026
Out of Sight Out of Mind The Effects of Expenses on Mutual Fund Flows	0.8098591549295775	0.7988826815642458	0.8260869565217391	0.8405797101449275	0.8957654723127035	0.8192771084337349	0.8653846153846154	0.7876106194690266
Why Does the Law of One Price Fail An Experiment on Index Mutual Funds	0.7605633802816901	0.8100558659217877	0.8285714285714286	0.8714285714285714	0.8892508143322475	0.7891566265060241	0.8557692307692307	0.7522123893805309
