	NO PARSCIT CITATIONS
Harkin Boswell want Maytag sale blocked	0.9
The ShareofMarket Picture	0.85
Current Construction Reports C25 Ð New OneFamily Houses Sold	0.75
Federal Reserve Statistical Release Selected Interest Rates Historical Data Instrument CDs secondary market Maturity 6month Frequency Annual Description Average rate on 6month negotiable certificates of deposit secondary market quoted on an investment basis	0.8
Canada Gazette Part II Statutory Instruments 2006	0.7
Clean Air Act	0.77
Statistical Review	0.89
HomeTips	0.88
The Sun Frost RF19	0.84
nan	1.0
Avanti Products	0.87
