	Sources of GHG Emissions Considered .................................................................... 2-5 2-2. GHG Source Categories Included in the Regulatory Analyses ................................. 2-6 3-1. Options Considered in Developing Scenarios (Recommended Option Indicated by Shading) ................................................................................................ 3-2 4-1. Selected Reporting Thresholds and Reporting Requirements ................................... 4-1 4-2. Per Unit Cost Breakdown by Monitoring Category: Stationary Combustion (2006$)..................................................................................................................... 4-23 4-2a. Detailed Summary of Stationary Combustion Monitoring Category Costs: CEMS-Add CO2 Analyzer and Flow Meter (2006$)............................................... 4-25 4-2b. Detailed Summary of Stationary Combustion Monitoring Category Costs: CEMS-Add CO2 Analyzer Only	Subpart I Electronics: Labor Costs	Environmental Protection Agency. Preamble to the Proposed Mandatory Greenhouse Gas Reporting Rule;	Office of Management and Budget. Circular A-4,	Personal Communication between Harold Falls of CF Industries and Erin Redmond of Research Triangle Institute (RTI),	Personal Communication between Stephen Jasinski of the US Geological Survey and Mausami Desai of US EPA.	Wage Rates for Economic Analyses of the Toxics Release Inventory Program.” Analytical Support Branch, Environmental Analysis Division, Office of Environmental Information,	The Cost Methodology for the Final Revisions to the National Pollutant Discharge Elimination System Regulation and the Effluent Guidelines for Concentrated Animal Feeding Operations,	5.3 References Glass Factory Directory (GFD).	for Environmental Policy Solutions, Duke University.	Pew Center on Global Climate Change.	Draft Industry Profile for the Cement Industry. Prepared for the U.S. Environmental Protection Agency.	Finances of County Governments:	Finances of Municipal and Township Governments:	Environmental Protection Agency (EPA).	Business Administration (SBA).	Business Administration (SBA). 2008c. Table of Small Business Size Standards Matched to North American Industry Classification System Codes. Effective	Carbon Taxes Versus Carbon Markets: What’s the Best Way to Limit Emissions?” The American.	The Benefits and Costs of Environmental Information Disclosure: What Do We Know About Right-to-Know?” Resources for the Future,	Risk, Regulation and the Right to Know: Exploring the Impacts of Access to	Pollution as News: Media and Stock Market Reactions to the Toxics Release Inventory Data.”	Uncertainty in Greenhouse Gas Inventories.” IIASA Policy Brief No.	Information as Regulation: The Effect of Community Right-toKnow Laws on Toxic Emissions.”	Organization for Economic Co-Operation and Development (OECD).	Attitudes Project.	Building Trust in Emissions Reporting: Global Trends in Emissions Trading Schemes. http://www.pwc.com/extweb/pwcpublications.nsf/ docid/8df4237f6b2f7fcf8525728300503b70 Social Investment Forum.	Promoting ‘Green’ Consumer Behavior with Eco Labels.”	Greening Industry: New Roles for Communities, Markets, and Governments.	Barriers and Opportunities: A Review of Selected Successful Energy Efficiency Programs.	Estimated Private and Government Costs in Selected Sectors (103 $2006) Public/Private Respondent Stationary Electricity Breakdown Landfills Combustion Generation LDCs Costs of private respondents $4,436 $22,527 $2,813 $298 Costs of state/local/tribal $7,247 $3,817 $398 $753 government (SLTG) respondents Costs of federal respondents (fed $127 $0 $53 $0 owned/operated) Total costs by sector $11,990 $26,344 $3,264 $1,050 Note: Columns may not sum to totals due to rounding. Subpart C—General Stationary Fuel Combustion Sources $29.0 17% $24.4 18% Subpart D—Electricity Generation $3.3 2% $3.3 2% Subpart H—Cement Production $6.9 4% $4.3 3% Subpart I—Electronics Manufacturing $3.6 2% $3.6 3% Subpart Q—Iron and Steel Production $18.2 11% $14.1 11% Subpart S—Lime Manufacturing $5.3 3% $3.0 2% Subpart W—Oil and Natural Gas Systems $32.5 19% $28.1 21% Subpart Y—Petroleum	Reporting from upstream sources only; recommended option for methodology, 7.9 National Technology Transfer Advancement Act Section 12(d) of the National Technology Transfer and Advancement Act of
Carbon Taxes Versus Carbon Markets What�s the Best Way to Limit Emissions	0.9025270758122743	0.8082191780821918	0.7916666666666666	0.8082191780821918	0.7857142857142857	0.7572815533980582	0.7869822485207101	0.7790055248618785	0.7808219178082192	0.821917808219178	0.821917808219178	0.7857142857142857	0.821917808219178	0.7945205479452054	0.8356164383561644	0.821917808219178	0.7862068965517242	0.2087912087912088	0.7983870967741935	0.8767123287671232	0.7111111111111111	0.863013698630137	0.6931818181818182	0.8082191780821918	0.8904109589041096	0.8388888888888889	0.8082191780821918	0.8082191780821918	0.8117647058823529	0.9306071871127634	0.8105263157894737
Greening Industry New Roles for Communities Markets and Governments	0.9025270758122743	0.7611940298507462	0.7604166666666666	0.8208955223880597	0.7410714285714286	0.7864077669902912	0.7751479289940828	0.7955801104972375	0.8059701492537313	0.7014925373134329	0.7761194029850746	0.7040816326530612	0.6268656716417911	0.6567164179104478	0.8059701492537313	0.8059701492537313	0.8	0.7912087912087912	0.7661290322580645	0.8055555555555556	0.7777777777777778	0.835820895522388	0.7045454545454546	0.746268656716418	0.8507462686567164	0.8166666666666667	0.7761194029850746	0.0	0.7764705882352941	0.9306071871127634	0.7947368421052632
Promoting �Green� Consumer Behavior with Eco Labels	0.9296028880866426	0.7843137254901961	0.7604166666666666	0.8235294117647058	0.7767857142857143	0.7864077669902912	0.8284023668639053	0.8342541436464088	0.8235294117647058	0.8431372549019608	0.803921568627451	0.7653061224489796	0.803921568627451	0.8627450980392157	0.803921568627451	0.8235294117647058	0.8344827586206897	0.7912087912087912	0.8225806451612904	0.7916666666666666	0.7555555555555555	0.7424242424242424	0.7727272727272727	0.8103448275862069	0.8431372549019608	0.85	0.15517241379310345	0.746268656716418	0.8	0.9467162329615861	0.8421052631578947
Bulletin Using Design for the Environment Concepts in Your EMS	0.907942238267148	0.8064516129032258	0.7604166666666666	0.7741935483870968	0.7767857142857143	0.7766990291262136	0.7869822485207101	0.7900552486187845	0.8064516129032258	0.8064516129032258	0.8064516129032258	0.6836734693877551	0.7258064516129032	0.7741935483870968	0.7580645161290323	0.7580645161290323	0.7862068965517242	0.8021978021978022	0.7741935483870968	0.75	0.6888888888888889	0.7878787878787878	0.7159090909090909	0.8225806451612904	0.8387096774193549	0.8055555555555556	0.8225806451612904	0.7313432835820896	0.788235294117647	0.9355638166047088	0.8052631578947368
How Are the Toxics Release Inventory Data Used�Government Business Academic and Citizen Uses	0.8754512635379061	0.8043478260869565	0.8333333333333334	0.782608695652174	0.8035714285714286	0.8349514563106796	0.6686390532544378	0.7569060773480663	0.782608695652174	0.782608695652174	0.8043478260869565	0.7959183673469388	0.7934782608695652	0.782608695652174	0.8152173913043478	0.8152173913043478	0.7724137931034483	0.8478260869565217	0.8064516129032258	0.8152173913043478	0.8260869565217391	0.7717391304347826	0.8478260869565217	0.8260869565217391	0.8804347826086957	0.8055555555555556	0.8152173913043478	0.717391304347826	0.8260869565217391	0.9157372986369269	0.7526315789473684
 Barriers and Opportunities A Review of Selected Successful Energy Efficiency Programs	0.8953068592057761	0.8255813953488372	0.8333333333333334	0.8255813953488372	0.7857142857142857	0.7961165048543689	0.7928994082840237	0.7790055248618785	0.8023255813953488	0.7790697674418605	0.8372093023255814	0.7857142857142857	0.813953488372093	0.8023255813953488	0.8023255813953488	0.8488372093023255	0.7862068965517242	0.8571428571428571	0.7983870967741935	0.8255813953488372	0.8666666666666667	0.7790697674418605	0.8295454545454546	0.8255813953488372	0.872093023255814	0.8055555555555556	0.8372093023255814	0.7790697674418605	0.011627906976744186	0.9182156133828996	0.8052631578947368
2007 Report on Socially Responsible Investing Trends in the United States Executive Summary	0.871841155234657	0.8351648351648352	0.8333333333333334	0.7912087912087912	0.7857142857142857	0.8252427184466019	0.7514792899408284	0.7569060773480663	0.8021978021978022	0.7362637362637363	0.8241758241758241	0.7244897959183674	0.8241758241758241	0.7912087912087912	0.8241758241758241	0.8351648351648352	0.7724137931034483	0.8791208791208791	0.7661290322580645	0.7692307692307693	0.8241758241758241	0.7802197802197802	0.8461538461538461	0.7912087912087912	0.9010989010989011	0.8	0.8131868131868132	0.7802197802197802	0.8461538461538461	0.9107806691449815	0.7947368421052632
Building Trust in Emissions Reporting Global Trends in Emissions Trading Schemes	0.8916967509025271	0.8	0.8020833333333334	0.825	0.7857142857142857	0.7961165048543689	0.7869822485207101	0.7624309392265194	0.85	0.7875	0.75	0.7959183673469388	0.8125	0.7625	0.8	0.775	0.7655172413793103	0.7802197802197802	0.7580645161290323	0.825	0.8	0.7875	0.8522727272727273	0.8125	0.9	0.5555555555555556	0.7875	0.7375	0.8235294117647058	0.9219330855018587	0.7684210526315789
Greenhouse Gas Reporting and Disclosure Key Elements of a Perspective US Program	0.8916967509025271	0.825	0.7916666666666666	0.8	0.7589285714285714	0.8058252427184466	0.7751479289940828	0.7513812154696132	0.7875	0.8	0.7875	0.7653061224489796	0.8125	0.7875	0.8125	0.8125	0.8	0.7912087912087912	0.7258064516129032	0.8	0.7555555555555555	0.8125	0.7954545454545454	0.7875	0.8625	0.7722222222222223	0.8125	0.7625	0.7058823529411765	0.9206939281288724	0.7789473684210526
Rising Environmental Concern in 47Nation Survey	0.927797833935018	0.8085106382978723	0.7916666666666666	0.8085106382978723	0.7857142857142857	0.7961165048543689	0.8224852071005917	0.8342541436464088	0.851063829787234	0.62	0.7872340425531915	0.7755102040816326	0.7659574468085106	0.851063829787234	0.6170212765957447	0.7021276595744681	0.8068965517241379	0.8131868131868132	0.7338709677419355	0.7361111111111112	0.8111111111111111	0.7727272727272727	0.8068181818181818	0.7758620689655172	0.8723404255319149	0.8388888888888889	0.7586206896551724	0.7313432835820896	0.7647058823529411	0.9479553903345725	0.8210526315789474
