RIN,Secondary RIN,Unique ID,Title,Source,ISSN,Author(s),DOI,Published,Affiliation,Funding Source,Abstract,Type,Notes,Notes 2
0581-AD17,,12,Final Rule,65 FR 80548,,,,21-Dec-00,,,,Government Report,,
0581-AD17,,12,Federalism,Executive Order 12866,,President ,,Sep-93,,,,Regualtion,,
0581-AD17,,12,2104,OFPA: 7 U.S.C. 6503,,U.S. Congress,,,,,,Regulation,,
0581-AD17,,12,2108,OFPA: 7 U.S.C. 6507,,U.S. Congress,,,,,,Regulation,,
0581-AD17,,12,2115(b),OFPA: 7 U.S.C. 6514(b),,U.S. Congress,,,,,,Regulation,,
0581-AD17,,12,2120(f),OFPA: 7 U.S.C. 6519(f),,U.S. Congress,,,,,,Regulation,,
0581-AD17,,12,Egg Products Inspection Act,21 U.S.C. 1031-1056,,U.S. Congress,,,,,,Regulation,,
0581-AD17,,12,Federal Meat Inspection Act,21 U.S.C. 601-624,,U.S. Congress,,,,,,Regulation,,
0581-AD17,,12,Organic Foods Production Act of 1990,7 U.S.C. 6501-6522,,U.S. Congress,,1990,,,,Regulation,,
0581-AD17,,12,Poultry Products Inspection Act,21 U.S.C. 451-471,,U.S. Congress,,,,,,Regulation,,
0581-AD17,,12,Quantifying Costs and Benefits,Executive Order 13563,,President ,,,,,,Regulation,,
0581-AD17,,12,Regulatory Flexibility Act of 1980,5 U.S.C. 601-612,,U.S. Congress,,1980,,,,Regulation,,
0583-AC60,,4,A Quasi Experiment to Assess the Consumer and Informational Determinants of Nutrition Information Processing Activities: The Case of the Nutrition Labeling and Education Act,Journal of Public Policy and Marketing,,"Moorman, Christine",,1996,,,,Article,,
0583-AC60,,4,Food companies spread nutrition information through advertising and labels,Food Review,,"Mathios. A.D., and P.M. Ippolito",,1998,,,,Article,,
0583-AC60,,4,Food Safety Efforts Accelerate in the 1990’s,Food Review,,"Crutchfield, Stephen, Tanya Roberts, Jean Buzby, and Paul Frenzen ",,2001,,,,Article,,
0583-AC60,,4,Offsetting Behavior in Reducing High Cholesterol: Substitution of Medication for Diet and Lifestyle Changes,The Journal of Choice Modelling,,"Mancino, Lisa, and Fred Kuchler",,2009,,,,Article,
0583-AC60,,4,The Imperative to Warn: Disentangling the ‘‘Right to Know’’ from the ‘‘Need to Know’’ about Consumer Product Hazards,Yale Journal on Regulation,,"Noah, Lars",,1994,,,,Article,
0583-AC60,,4,"Information, Advertising, and Health: A Study of the Cereal Market."" In Economics of Food Safety, ed. Julie Caswell","Elseview Science Publishing Co., New York.",,"Ippolito, Pauline M., and Alan Mathios   ",,1991,,,,Book,
0583-AC60,,4,Informational Approaches to Regulation,"MIT Press, Cambridge, MA",,"Magat, Wewsley, and W. Kip Viscusi",,1992,,,,Book,
0583-AC60,,4,Read the Label: Reducing Risk by Providing Information,"Westview Press, Boulder CO",,"Hadden, Susan G",,1986,,,,Book,
0583-AC60,,4,"What, When and Where American Eat",The NMI Health and Wellness Trends Database,,National Marketing Institute,,2003,,,,Database,As reported in Food Technology
0583-AC60,,4,Assigning Value to Life: Comparing Methods for Valuing Health Risks,"U.S. Dept. Agric., Econ. Res. Service, Agricultural Economic Report No. 784",,"Kuchler, Fred and Elise Golan",,1999,,,,Government Report,
0583-AC60,,4,"Consumer Use of Information, Implications for Food Policy"," U.S. Dept. of Agr., Econ. Res. Serv., Agricultural Handbook No. 715.",,"Aldrich, Lorna",,1999,,,,Government Report,
0583-AC60,,4,Economics of Food Labeling,"U.S. Dept. of Agr., Econ. Res. Serv., AER No. 793",,"Golan Elise, Fred Kuchler, and Lorraine Mitchell",,2000,,,,Government Report,
0583-AC60,,4,FDA Labeling Cost Model,"U.S. Food and Drug Administration, Center for Food Safety and Applied Nutrition. Research",,"Muth, M.K., E.C. Gledhill, and S.A. Karns",,2003,,,,Government Report,Prepared by RTI International
